Year,Round,W_Region,W_Seed,W_Team,W_Score,L_Region,L_Seed,L_Team,L_Score,OT
2000,First Round (Round of 64),3,1,Duke,82,3,16,Lamar,55,0
2000,First Round (Round of 64),3,8,Kansas,81,3,9,DePaul,77,0
2000,First Round (Round of 64),3,5,Florida,69,3,12,Butler,68,0
2000,First Round (Round of 64),3,4,Illinois,68,3,13,Penn,58,0
2000,First Round (Round of 64),3,11,Pepperdine,77,3,6,Indiana,57,0
2000,First Round (Round of 64),3,3,Oklahoma State,86,3,14,Hofstra,66,0
2000,First Round (Round of 64),3,10,Seton Hall,72,3,7,Oregon,71,0
2000,First Round (Round of 64),3,2,Temple,73,3,15,Lafayette,47,0
2000,First Round (Round of 64),2,1,Michigan State,65,2,16,Valparaiso,38,0
2000,First Round (Round of 64),2,8,Utah,48,2,9,Saint Louis,45,0
2000,First Round (Round of 64),2,5,Kentucky,85,2,12,St. Bonaventure,80,0
2000,First Round (Round of 64),2,4,Syracuse,79,2,13,Samford,65,0
2000,First Round (Round of 64),2,6,UCLA,65,2,11,Ball State,57,0
2000,First Round (Round of 64),2,3,Maryland,74,2,14,Iona,59,0
2000,First Round (Round of 64),2,7,Auburn,72,2,10,Creighton,69,0
2000,First Round (Round of 64),2,2,Iowa State,88,2,15,Central Connecticut State,78,0
2000,First Round (Round of 64),4,1,Stanford,84,4,16,South Carolina State,65,0
2000,First Round (Round of 64),4,8,North Carolina,84,4,9,Missouri,70,0
2000,First Round (Round of 64),4,5,UConn,75,4,12,Utah State,67,0
2000,First Round (Round of 64),4,4,Tennessee,63,4,13,Louisiana-Lafayette,58,0
2000,First Round (Round of 64),4,6,Miami (FL),75,4,11,Arkansas,71,0
2000,First Round (Round of 64),4,3,Ohio State,87,4,14,Appalachian State,61,0
2000,First Round (Round of 64),4,7,Tulsa,89,4,10,UNLV,62,0
2000,First Round (Round of 64),4,2,Cincinnati,64,4,15,UNC Wilmington,47,0
2000,First Round (Round of 64),1,1,Arizona,71,1,16,Jackson State,47,0
2000,First Round (Round of 64),1,8,Wisconsin,66,1,9,Fresno State,56,0
2000,First Round (Round of 64),1,5,Texas,77,1,12,Indiana State,61,0
2000,First Round (Round of 64),1,4,LSU,64,1,13,Southeast Missouri State,61,0
2000,First Round (Round of 64),1,6,Purdue,62,1,11,Dayton,61,0
2000,First Round (Round of 64),1,3,Oklahoma,74,1,14,Winthrop,50,0
2000,First Round (Round of 64),1,10,Gonzaga,77,1,7,Louisville,66,0
2000,First Round (Round of 64),1,2,St. John's,61,1,15,Northern Arizona,56,0
2000,Second Round (Round of 32),3,1,Duke,69,3,8,Kansas,64,0
2000,Second Round (Round of 32),3,5,Florida,93,3,4,Illinois,76,0
2000,Second Round (Round of 32),3,3,Oklahoma State,75,3,11,Pepperdine,67,0
2000,Second Round (Round of 32),3,10,Seton Hall,67,3,2,Temple,65,1
2000,Second Round (Round of 32),2,1,Michigan State,73,2,8,Utah,61,0
2000,Second Round (Round of 32),2,4,Syracuse,52,2,5,Kentucky,50,0
2000,Second Round (Round of 32),2,6,UCLA,105,2,3,Maryland,70,0
2000,Second Round (Round of 32),2,2,Iowa State,79,2,7,Auburn,60,0
2000,Second Round (Round of 32),4,8,North Carolina,60,4,1,Stanford,53,0
2000,Second Round (Round of 32),4,4,Tennessee,65,4,5,UConn,51,0
