Gtm,Date,Location,Opp_name,Type,Rslt,Tm,Opp_score,OT,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,eFG%_opp,TOV%_opp,ORB%_opp,FT/FGA_opp
1,2010-11-12,"",Fresno State,REG (Non-Conf),W,83,56,"",107.6,72.6,77.1,.393,.344,.573,56.0,60.0,9.1,2.8,.541,15.2,25.0,.279,.368,18.6,20.9,.246
2,2010-11-17,"",Utah State,REG (Non-Conf),W,78,72,"",108.6,100.3,71.8,.484,.419,.511,52.2,50.0,9.7,14.6,.444,10.6,33.3,.371,.548,17.9,25.8,.288
3,2010-11-20,"",Chicago State,REG (Non-Conf),W,109,60,"",122.7,67.5,88.8,.463,.378,.545,60.0,60.5,18.0,4.4,.530,6.5,35.3,.268,.389,22.9,7.7,.175
4,2010-11-23,"",Mississippi Valley State,REG (Non-Conf),W,86,36,"",102.7,43.0,83.8,.389,.375,.504,62.4,60.7,15.5,11.1,.444,13.2,36.6,.306,.275,27.7,13.6,.050
5,2010-11-26,N,South Florida,REG (Non-Conf),W,77,75,2OT,96.6,94.0,63.8,.436,.333,.409,41.0,60.0,15.0,11.4,.385,5.0,32.7,.218,.509,24.0,39.1,.370
6,2010-11-27,N,St. Mary's (CA),REG (Non-Conf),W,74,73,"",102.8,101.5,72.0,.365,.269,.606,51.0,35.7,15.3,10.3,.587,18.7,19.0,.250,.529,21.3,25.0,.373
7,2010-12-01,@,Creighton,REG (Non-Conf),W,77,65,"",118.1,99.7,65.2,.215,.292,.537,56.9,51.6,10.7,16.7,.531,7.7,35.3,.123,.451,9.5,23.7,.164
8,2010-12-04,N,Hawaii,REG (Non-Conf),W,78,57,"",114.7,83.8,68.0,.293,.328,.590,47.0,58.6,5.9,8.7,.552,12.0,30.8,.241,.314,18.6,42.5,.339
9,2010-12-08,N,Vermont,REG (Non-Conf),W,86,58,"",116.4,78.5,73.9,.220,.305,.660,52.9,60.6,16.2,4.8,.636,18.7,22.2,.186,.400,18.9,26.8,.167
10,2010-12-11,N,Arizona,REG (Non-Conf),W,87,65,"",115.8,86.5,75.1,.554,.286,.615,55.7,27.6,9.3,18.4,.563,12.4,28.6,.429,.400,17.8,21.2,.283
11,2010-12-18,N,UCLA,REG (Non-Conf),L,79,86,"",106.2,115.6,74.4,.608,.333,.601,50.0,18.5,2.7,6.7,.569,22.4,38.5,.412,.525,11.4,41.2,.361
12,2010-12-21,@,Weber State,REG (Non-Conf),W,72,66,"",98.2,90.1,73.3,.313,.388,.468,50.0,44.0,12.3,23.5,.425,10.5,28.6,.224,.466,19.6,25.0,.207
13,2010-12-23,"",UTEP,REG (Non-Conf),W,89,68,"",115.6,88.3,77.0,.344,.391,.598,57.4,75.9,9.1,1.9,.547,15.8,36.7,.297,.460,17.3,26.3,.159
14,2010-12-30,@,Buffalo,REG (Non-Conf),W,90,82,"",116.6,106.2,77.2,.468,.323,.594,52.4,56.7,13.0,11.1,.548,13.7,33.3,.355,.619,23.4,26.7,.153
15,2011-01-01,"","",REG (Non-Conf),W,93,57,"",134.0,82.1,69.4,.400,.500,.651,68.2,76.7,7.2,9.5,.600,13.3,46.7,.350,.415,11.9,13.9,.046
16,2011-01-05,@,UNLV,REG (Conf),W,89,77,"",116.2,100.5,76.6,.413,.444,.591,50.6,32.1,3.9,4.3,.556,14.7,30.3,.302,.462,13.4,34.1,.242
17,2011-01-08,"",Air Force,REG (Conf),W,76,66,"",112.3,97.5,67.7,.386,.526,.563,61.0,62.5,5.9,3.2,.500,16.2,39.4,.333,.521,16.9,11.5,.333
18,2011-01-11,@,Utah,REG (Conf),W,104,79,"",126.7,96.2,82.1,.316,.316,.595,40.0,50.0,14.6,8.7,.566,5.4,23.1,.237,.474,23.7,38.7,.414
19,2011-01-18,"",TCU,REG (Conf),W,83,67,"",112.9,91.2,73.5,.473,.327,.616,54.8,51.9,8.2,6.4,.564,16.2,20.7,.382,.446,13.3,22.7,.138
20,2011-01-22,@,Colorado State,REG (Conf),W,94,85,"",129.2,116.8,72.8,.403,.419,.636,46.6,54.8,5.5,11.9,.589,8.7,30.0,.339,.545,14.3,35.7,.429
21,2011-01-26,"",San Diego State,REG (Conf),W,71,58,"",108.3,88.4,65.6,.339,.268,.546,47.0,40.0,12.2,21.4,.491,9.7,27.6,.286,.395,14.8,37.8,.145
22,2011-01-29,@,New Mexico,REG (Conf),L,77,86,"",102.3,114.3,75.3,.299,.299,.503,50.0,50.0,13.3,2.4,.478,11.6,27.8,.194,.574,13.6,23.3,.262
23,2011-02-02,@,Wyoming,REG (Conf),W,69,62,"",93.0,83.6,74.2,.390,.407,.493,51.5,25.0,16.2,16.2,.449,17.7,27.8,.271,.451,22.7,20.0,.314
24,2011-02-05,"",UNLV,REG (Conf),W,78,64,"",108.2,88.8,72.1,.439,.404,.566,43.7,69.6,9.7,16.2,.474,14.8,20.0,.421,.350,15.2,39.0,.367
25,2011-02-09,@,Air Force,REG (Conf),W,90,52,"",125.9,72.7,71.5,.193,.526,.723,60.3,72.7,12.6,16.2,.711,18.4,20.8,.158,.414,20.6,15.4,.069
26,2011-02-12,"",Utah,REG (Conf),W,72,59,"",103.4,84.8,69.6,.436,.218,.542,53.1,70.8,17.2,7.9,.473,13.1,25.8,.364,.482,21.9,21.2,.070
27,2011-02-19,@,TCU,REG (Conf),W,79,56,"",117.9,83.6,67.0,.667,.521,.625,55.6,63.6,3.0,6.5,.573,13.7,20.7,.500,.408,10.5,20.9,.046
28,2011-02-23,"",Colorado State,REG (Conf),W,84,76,"",103.8,94.0,80.9,.754,.404,.542,64.2,54.5,11.1,9.8,.430,19.7,45.2,.614,.509,18.5,19.4,.293
29,2011-02-26,@,San Diego State,REG (Conf),W,80,67,"",117.4,98.3,68.1,.241,.414,.619,46.4,66.7,11.7,15.2,.586,15.7,24.1,.207,.444,13.5,37.5,.175
30,2011-03-02,"",New Mexico,REG (Conf),L,64,82,"",82.4,105.6,77.7,.373,.441,.461,41.0,60.0,14.2,18.4,.381,13.7,16.7,.322,.543,20.7,24.0,.328
31,2011-03-05,"",Wyoming,REG (Conf),W,102,78,"",137.6,105.2,74.1,.453,.359,.656,59.3,37.1,5.4,4.5,.617,10.4,36.7,.359,.560,11.6,17.2,.224
32,2011-03-10,N,TCU,CTOURN,W,64,58,"",105.7,95.8,60.6,.420,.460,.534,57.9,61.9,11.6,15.4,.480,16.7,35.5,.320,.544,18.7,15.4,.200
33,2011-03-11,N,New Mexico,CTOURN,W,87,76,"",123.6,107.9,70.4,.235,.368,.575,48.4,32.4,12.8,8.1,.559,7.4,33.3,.162,.556,17.2,35.5,.113
34,2011-03-12,N,San Diego State,CTOURN,L,54,72,"",88.7,118.2,60.9,.220,.407,.414,46.4,36.8,3.3,8.5,.373,12.1,36.1,.169,.492,8.0,42.4,.177
