Gtm,Date,Location,Opp_name,Type,Rslt,Tm,Opp_score,OT,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,eFG%_opp,TOV%_opp,ORB%_opp,FT/FGA_opp
1,2010-11-18,"",Western Illinois,REG (Non-Conf),W,66,61,"",94.3,87.1,70.0,.482,.357,.479,50.0,52.2,10.0,15.4,.464,13.8,27.0,.250,.465,20.5,24.2,.140
2,2010-11-20,"",North Florida,REG (Non-Conf),W,96,58,"",109.3,66.0,87.9,.386,.243,.580,59.1,55.6,20.5,27.6,.557,17.9,37.1,.257,.447,36.6,16.1,.340
3,2010-11-23,N,Wyoming,REG (Non-Conf),W,72,62,"",96.7,83.2,74.5,.179,.403,.495,57.3,76.9,10.7,10.8,.463,21.6,45.0,.149,.422,22.6,28.6,.373
4,2010-11-24,N,La Salle,REG (Non-Conf),W,83,71,"",113.5,97.1,73.1,.171,.329,.468,51.4,53.1,13.7,10.0,.445,5.3,40.9,.122,.585,23.9,32.1,.170
5,2010-11-28,"",ArkansasâPine Bluff,REG (Non-Conf),W,91,63,"",118.0,81.7,77.1,.448,.190,.647,50.8,50.0,16.9,15.4,.612,19.5,32.0,.345,.471,28.4,36.1,.294
6,2010-11-30,N,Georgetown,REG (Non-Conf),L,102,111,OT,121.2,131.9,74.8,.484,.281,.648,42.9,47.2,16.6,5.4,.617,13.2,25.8,.359,.674,18.0,36.0,.261
7,2010-12-02,@,Oregon,REG (Non-Conf),W,83,80,"",109.0,105.1,76.1,.453,.302,.644,50.9,65.5,6.6,22.9,.604,22.8,28.6,.358,.508,18.4,35.3,.339
8,2010-12-08,"",Vanderbilt,REG (Non-Conf),W,85,82,OT,103.7,100.1,72.8,.272,.284,.465,52.0,41.9,9.8,8.8,.432,9.9,37.0,.185,.602,19.7,24.1,.186
9,2010-12-11,"",Presbyterian,REG (Non-Conf),W,70,55,"",103.8,81.5,67.5,.138,.414,.566,54.5,85.2,13.3,16.1,.552,16.3,25.0,.103,.467,26.3,14.8,.261
10,2010-12-16,"",Oral Roberts,REG (Non-Conf),W,81,62,"",117.3,89.8,69.0,.297,.219,.555,43.9,40.0,10.1,15.2,.508,11.0,38.7,.250,.306,22.1,51.4,.653
11,2010-12-18,"",Central Arkansas,REG (Non-Conf),W,116,63,"",144.1,78.3,80.5,.235,.382,.767,49.2,73.3,18.6,22.0,.757,15.6,40.9,.191,.364,22.9,46.5,.227
12,2010-12-22,N,Illinois,REG (Non-Conf),W,75,64,"",104.1,88.9,72.0,.441,.203,.526,42.1,69.2,9.7,7.7,.475,12.3,21.2,.322,.421,13.7,41.9,.071
13,2010-12-27,"",Northern Illinois,REG (Non-Conf),W,97,61,"",117.8,74.1,82.4,.415,.323,.623,51.4,70.3,15.8,14.0,.615,14.3,28.1,.262,.341,19.8,31.0,.242
