Gtm,Date,Location,Opp_name,Type,Rslt,Tm,Opp_score,OT,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,eFG%_opp,TOV%_opp,ORB%_opp,FT/FGA_opp
1,2010-11-12,"","",REG (Non-Conf),W,93,52,"",118.5,66.3,78.5,.456,.324,.562,54.1,64.5,19.1,12.1,.522,13.6,39.0,.324,.450,34.8,27.3,.140
2,2010-11-16,"",Wyoming,REG (Non-Conf),W,67,53,"",103.1,81.5,65.0,.281,.421,.519,54.5,45.5,9.2,4.2,.456,15.7,37.5,.263,.404,22.5,29.4,.319
3,2010-11-21,@,Arizona,REG (Non-Conf),L,70,93,"",93.1,123.7,75.2,.355,.339,.483,33.9,50.0,9.3,0.0,.411,16.2,28.6,.306,.546,15.9,58.3,.630
4,2010-11-23,@,Santa Clara,REG (Non-Conf),L,84,87,"",111.2,115.2,75.5,.411,.464,.628,47.5,53.6,10.6,0.0,.589,19.3,26.7,.321,.594,19.7,32.3,.453
5,2010-11-26,N,Valparaiso,REG (Non-Conf),L,61,76,"",89.3,111.3,68.3,.574,.340,.510,55.6,31.3,4.4,7.4,.415,27.8,40.6,.468,.531,17.2,29.0,.490
6,2010-11-27,N,Bethune-Cookman,REG (Non-Conf),W,69,45,"",113.5,74.0,60.8,.472,.444,.783,68.5,63.6,4.9,0.0,.764,34.3,50.0,.389,.324,12.6,25.0,.185
7,2010-12-04,"","",REG (Non-Conf),W,84,52,"",118.9,73.6,70.7,.418,.200,.637,63.6,37.9,11.3,9.4,.582,15.4,26.9,.364,.337,15.9,12.5,.327
8,2010-12-12,@,Illinois,REG (Non-Conf),L,76,86,"",101.9,115.4,74.6,.308,.462,.638,48.2,52.0,8.0,5.0,.596,28.7,34.6,.269,.565,17.3,40.0,.258
9,2010-12-18,@,Denver,REG (Non-Conf),L,68,71,"",116.1,121.2,58.6,.868,.395,.633,65.1,50.0,3.4,15.0,.513,20.7,40.0,.763,.614,9.9,13.0,.386
10,2010-12-20,@,Colorado State,REG (Non-Conf),L,61,75,"",83.8,103.1,72.8,.358,.434,.492,47.4,76.2,6.9,3.4,.472,24.4,24.1,.208,.522,17.8,28.6,.587
11,2010-12-22,@,LouisianaâMonroe,REG (Non-Conf),L,75,78,"",106.2,110.4,70.7,.660,.480,.571,53.3,45.0,5.7,6.7,.480,19.6,43.5,.540,.609,19.3,36.4,.478
12,2010-12-29,@,Portland State,REG (Conf),W,79,66,"",113.6,94.9,69.6,.311,.295,.564,54.4,54.8,8.6,5.6,.557,12.5,32.1,.180,.528,17.3,24.1,.167
13,2010-12-31,@,Eastern Washington,REG (Conf),W,75,73,"",114.9,111.8,65.3,.638,.255,.612,55.4,47.8,9.2,15.4,.543,17.5,40.9,.511,.538,15.5,35.3,.302
14,2011-01-06,"",Montana,REG (Conf),W,63,45,"",104.5,74.6,60.3,.308,.365,.529,50.8,40.9,11.6,2.9,.490,14.4,26.7,.231,.359,20.3,28.6,.261
15,2011-01-08,"",Montana State,REG (Conf),W,72,58,"",97.5,78.5,73.9,.444,.352,.550,60.9,45.8,8.1,6.3,.519,22.5,36.7,.296,.375,19.9,17.6,.365
16,2011-01-13,"",Idaho State,REG (Conf),W,57,37,"",89.6,58.2,63.6,.304,.391,.541,48.4,52.4,9.4,3.1,.543,21.0,14.8,.152,.269,20.1,27.0,.173
17,2011-01-20,@,Sacramento State,REG (Conf),W,77,72,"",112.2,104.9,68.6,.511,.489,.659,47.9,58.3,10.2,13.0,.628,18.2,11.1,.383,.542,20.8,30.0,.417
18,2011-01-22,"",Weber State,REG (Conf),W,65,46,"",104.4,73.9,62.3,.500,.460,.525,59.0,68.4,14.5,4.5,.470,12.7,31.3,.360,.420,24.0,10.3,.205
19,2011-01-29,@,Weber State,REG (Conf),L,71,72,"",111.8,113.4,63.5,.278,.352,.581,54.1,45.8,4.7,4.0,.528,12.8,23.3,.259,.541,11.6,16.1,.388
20,2011-01-31,@,Northern Arizona,REG (Conf),L,54,65,"",77.4,93.1,69.8,.250,.367,.402,53.5,55.0,2.9,11.9,.375,18.3,29.4,.150,.439,13.1,24.3,.263
