Gtm,Date,Location,Opp_name,Type,Rslt,Tm,Opp_score,OT,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,eFG%_opp,TOV%_opp,ORB%_opp,FT/FGA_opp
1,2010-11-13,"",McNeese State,REG (Non-Conf),W,118,64,"",124.2,67.4,95.0,.457,.326,.527,72.0,55.8,12.6,14.3,.533,9.7,58.3,.217,.391,27.0,13.3,.382
2,2010-11-16,"",Eastern Washington,REG (Non-Conf),W,98,72,"",121.8,89.5,80.5,.224,.434,.583,47.1,75.7,17.4,11.1,.572,10.6,36.6,.145,.482,24.8,37.9,.298
3,2010-11-22,N,Virginia,REG (Non-Conf),W,106,63,"",142.7,84.8,74.3,.188,.377,.705,53.5,55.0,10.8,9.5,.703,10.7,33.3,.130,.414,19.5,31.7,.259
4,2010-11-23,N,Kentucky,REG (Non-Conf),L,67,74,"",85.0,93.9,78.8,.338,.200,.444,41.6,36.0,10.2,14.9,.408,15.7,26.3,.215,.414,15.8,43.6,.328
5,2010-11-24,N,Michigan State,REG (Non-Conf),L,71,76,"",98.1,105.0,72.4,.481,.288,.556,47.8,52.0,9.7,7.1,.538,19.0,31.8,.288,.569,23.2,37.5,.353
6,2010-11-30,"",Long Beach State,REG (Non-Conf),W,102,75,"",131.1,96.4,77.8,.149,.388,.711,54.0,58.5,12.9,16.7,.716,17.3,36.0,.090,.492,19.8,34.2,.246
7,2010-12-04,"",Texas Tech,REG (Non-Conf),W,108,79,"",129.5,94.7,83.4,.315,.233,.643,58.1,51.2,10.8,15.1,.623,14.3,50.0,.233,.484,21.1,33.3,.286
8,2010-12-06,"",Portland,REG (Non-Conf),W,94,72,"",131.1,100.4,71.7,.466,.397,.664,55.6,64.5,11.2,5.6,.647,11.3,33.3,.328,.508,15.9,24.2,.164
9,2010-12-11,@,Texas A&M,REG (Non-Conf),L,62,63,"",86.4,87.8,71.7,.302,.415,.512,44.4,55.0,12.5,6.3,.434,24.8,28.6,.302,.411,21.0,42.9,.304
10,2010-12-18,"",San Francisco,REG (Non-Conf),W,80,52,"",121.3,78.8,66.0,.181,.361,.512,55.2,63.6,13.6,21.6,.500,4.9,40.5,.111,.433,22.0,26.7,.135
11,2010-12-22,"",Nevada,REG (Non-Conf),W,90,60,"",121.0,80.6,74.4,.181,.349,.499,57.9,51.4,9.4,14.6,.488,5.3,42.9,.108,.300,12.7,26.1,.400
12,2010-12-29,@,Southern California,REG (Conf),W,73,67,OT,98.7,90.6,65.7,.564,.345,.523,60.6,31.8,4.1,8.8,.464,19.6,38.7,.400,.391,12.5,20.0,.436
13,2010-12-31,@,UCLA,REG (Conf),W,74,63,"",111.9,95.3,66.1,.259,.259,.568,52.4,58.6,6.1,2.5,.534,12.1,33.3,.207,.373,12.8,30.3,.490
14,2011-01-06,"",Oregon,REG (Conf),W,87,69,"",116.1,92.1,74.9,.143,.371,.582,55.7,52.8,12.0,15.9,.586,13.8,37.9,.071,.451,18.0,28.1,.230
15,2011-01-08,"",Oregon State,REG (Conf),W,103,72,"",136.2,95.2,75.6,.343,.371,.633,57.7,51.3,11.9,23.3,.629,10.9,46.9,.214,.426,15.9,33.3,.328
16,2011-01-13,@,Stanford,REG (Conf),L,56,58,"",87.0,90.1,64.3,.207,.448,.440,55.9,52.4,6.2,2.5,.431,18.0,41.9,.103,.431,15.3,28.6,.275
17,2011-01-16,@,California,REG (Conf),W,92,71,"",121.6,93.8,75.7,.231,.446,.638,60.3,58.8,7.9,6.4,.623,13.2,32.1,.169,.474,14.4,17.1,.298
18,2011-01-20,"",Arizona,REG (Conf),W,85,68,"",109.9,87.9,77.3,.517,.383,.569,56.1,55.2,6.5,15.6,.542,15.8,31.3,.333,.442,14.5,20.6,.250
19,2011-01-22,"",Arizona State,REG (Conf),W,88,75,"",121.9,103.9,72.2,.456,.351,.634,56.0,51.6,13.9,13.5,.596,12.6,29.6,.351,.587,19.7,13.0,.269
20,2011-01-30,@,Washington State,REG (Conf),L,80,87,"",94.7,102.9,84.5,.468,.500,.528,61.1,52.2,9.5,11.1,.460,24.1,37.8,.371,.548,13.6,14.3,.306
21,2011-02-03,@,Oregon State,REG (Conf),L,56,68,"",74.1,90.0,75.5,.306,.468,.394,41.3,60.0,2.6,2.4,.379,15.5,16.3,.145,.458,19.5,25.0,.500
22,2011-02-05,@,Oregon,REG (Conf),L,76,81,"",104.7,111.6,72.6,.186,.458,.592,55.6,63.3,2.8,12.2,.602,18.9,27.6,.085,.500,9.9,20.6,.306
23,2011-02-10,"",California,REG (Conf),W,109,77,"",139.8,98.8,78.0,.092,.408,.687,57.1,69.8,5.1,21.6,.678,10.2,44.8,.079,.500,17.5,32.4,.328
24,2011-02-12,"",Stanford,REG (Conf),W,87,76,"",110.9,96.9,78.5,.444,.460,.570,46.9,53.3,7.6,15.4,.556,16.4,31.4,.270,.550,21.9,34.5,.167
25,2011-02-17,@,Arizona State,REG (Conf),W,79,62,"",116.8,91.7,67.6,.536,.464,.562,51.9,84.0,3.0,20.4,.518,11.4,35.3,.375,.424,10.7,35.6,.091
26,2011-02-19,@,Arizona,REG (Conf),L,86,87,"",110.9,112.2,77.6,.286,.254,.601,38.6,58.8,10.3,22.4,.579,13.3,24.0,.206,.530,20.1,50.0,.239
27,2011-02-22,@,Seattle,REG (Non-Conf),W,95,74,"",119.5,93.1,79.5,.700,.300,.594,67.1,51.6,6.3,20.5,.550,17.5,59.4,.483,.457,17.6,26.3,.362
28,2011-02-27,"",Washington State,REG (Conf),L,69,80,"",95.5,110.7,72.3,.353,.397,.435,54.5,56.5,6.9,12.5,.397,16.8,50.0,.221,.453,16.6,38.7,.604
29,2011-03-03,"",UCLA,REG (Conf),W,70,63,"",99.0,89.1,70.7,.459,.246,.471,48.0,59.1,7.1,11.1,.410,14.9,37.2,.328,.440,21.9,37.5,.207
30,2011-03-05,"",Southern California,REG (Conf),L,60,62,"",95.8,98.9,62.7,.415,.302,.473,41.0,38.1,9.6,18.2,.415,9.9,18.8,.302,.448,15.5,34.5,.396
31,2011-03-10,N,Washington State,CTOURN,W,89,87,"",117.4,114.8,75.8,.209,.418,.604,50.0,58.8,10.6,2.5,.590,12.0,31.0,.149,.556,15.0,32.3,.270
32,2011-03-11,N,Oregon,CTOURN,W,69,51,"",106.0,78.3,65.1,.305,.373,.511,55.7,70.8,7.7,12.5,.466,14.0,37.8,.237,.357,14.9,24.2,.196
33,2011-03-12,N,Arizona,CTOURN,W,77,75,OT,107.8,105.0,63.5,.212,.379,.530,57.8,40.0,7.0,8.6,.523,14.2,39.4,.121,.491,10.2,22.6,.357
