Gtm,Date,Location,Opp_name,Type,Rslt,Tm,Opp_score,OT,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,eFG%_opp,TOV%_opp,ORB%_opp,FT/FGA_opp
1,2011-11-12,"",Savannah State,REG (Non-Conf),W,83,54,"",123.6,80.4,67.2,.235,.294,.732,60.0,64.7,11.9,25.0,.745,19.8,38.9,.137,.397,19.6,29.7,.138
2,2011-11-14,"",UNC Greensboro,REG (Non-Conf),W,86,45,"",121.1,63.4,71.0,.328,.403,.555,60.9,56.7,14.1,6.3,.515,11.4,51.4,.254,.343,24.2,28.1,.148
3,2011-11-21,N,Kansas,REG (Non-Conf),L,63,67,"",94.0,100.0,67.0,.327,.436,.496,48.3,27.3,7.5,11.4,.464,14.8,22.6,.218,.520,16.3,24.1,.275
4,2011-11-22,@,"",REG (Non-Conf),W,88,61,"",129.1,89.5,68.2,.316,.368,.671,66.1,57.6,8.8,10.0,.658,18.6,50.0,.228,.509,22.7,20.0,.132
5,2011-11-23,N,Memphis,REG (Non-Conf),W,91,88,OT,111.4,107.7,72.6,.300,.200,.569,51.6,44.1,12.2,8.7,.529,10.1,29.7,.243,.548,18.8,18.5,.302
6,2011-11-28,"",IUPUI,REG (Non-Conf),W,81,58,"",124.5,89.1,65.1,.194,.269,.553,55.3,60.6,6.1,7.1,.530,8.7,42.4,.149,.375,11.4,34.9,.217
7,2011-12-01,@,Alabama,REG (Non-Conf),W,57,55,"",102.9,99.3,55.4,.208,.354,.540,50.0,61.9,9.0,7.4,.510,15.9,25.9,.167,.477,14.7,24.0,.326
8,2011-12-03,"",NJIT,REG (Non-Conf),W,84,44,"",125.6,65.8,66.9,.370,.444,.661,68.3,55.6,7.5,41.9,.611,18.1,40.0,.333,.318,15.4,13.2,.164
9,2011-12-10,"",Howard,REG (Non-Conf),W,62,48,"",88.3,68.4,70.2,.857,.265,.450,50.0,43.8,10.0,11.4,.337,14.8,26.5,.592,.370,26.2,25.0,.304
10,2011-12-17,"",American,REG (Non-Conf),W,81,55,"",121.5,82.5,66.7,.392,.314,.669,62.0,60.0,12.0,9.7,.647,16.6,29.4,.294,.463,20.6,21.2,.093
11,2011-12-22,"",Memphis,REG (Non-Conf),W,70,59,"",105.0,88.5,66.7,.588,.275,.536,54.8,59.1,15.0,7.9,.480,18.7,43.3,.412,.461,23.4,34.4,.235
12,2011-12-28,@,Louisville,REG (Conf),W,71,68,"",107.2,102.7,66.2,.500,.229,.598,54.5,47.8,6.0,5.6,.552,21.2,30.8,.375,.483,11.7,30.0,.167
13,2011-12-31,"",Providence,REG (Conf),W,49,40,"",80.6,65.8,60.8,.254,.288,.371,48.7,38.9,9.9,21.1,.331,9.6,31.6,.169,.284,17.7,34.2,.216
14,2012-01-04,"",Marquette,REG (Conf),W,73,70,"",107.0,102.6,68.2,.535,.419,.677,48.8,66.7,13.2,11.8,.698,24.0,18.8,.302,.519,20.6,33.3,.308
15,2012-01-07,@,West Virginia,REG (Conf),L,62,74,"",88.4,105.5,70.1,.351,.246,.466,46.9,43.5,11.4,11.1,.421,18.4,30.6,.246,.542,20.3,32.1,.458
16,2012-01-09,"",Cincinnati,REG (Conf),L,64,68,"",104.7,111.3,61.1,.227,.227,.656,54.5,53.8,8.2,10.8,.659,25.9,31.6,.136,.500,13.0,28.0,.360
17,2012-01-15,@,St. John's (NY),REG (Conf),W,69,49,"",111.3,79.0,62.0,.328,.310,.515,58.6,68.0,12.9,13.6,.491,15.2,54.5,.207,.315,16.9,37.8,.278
18,2012-01-17,@,DePaul,REG (Conf),W,83,75,"",111.1,100.4,74.7,.491,.228,.590,70.5,43.3,12.0,17.9,.588,20.4,56.0,.281,.508,13.4,19.4,.156
19,2012-01-21,"",Rutgers,REG (Conf),W,52,50,"",82.9,79.7,62.7,.878,.341,.448,56.9,66.7,11.2,21.6,.329,19.4,37.9,.610,.434,21.0,24.1,.075
20,2012-01-28,@,Pittsburgh,REG (Conf),L,60,72,"",88.1,105.8,68.1,.211,.298,.478,40.0,54.2,8.8,11.4,.465,14.9,17.6,.123,.552,20.4,23.8,.396
21,2012-02-01,"",Connecticut,REG (Conf),W,58,44,"",87.7,66.5,66.2,.313,.271,.526,46.8,61.9,9.1,10.0,.490,21.4,15.4,.229,.317,14.3,30.6,.100
22,2012-02-04,"",South Florida,REG (Conf),W,75,45,"",112.9,67.7,66.4,.652,.261,.622,57.4,69.6,9.0,9.4,.554,13.0,23.8,.522,.353,22.5,21.2,.176
23,2012-02-08,@,Syracuse,REG (Conf),L,61,64,OT,92.3,96.8,58.8,.254,.333,.432,61.5,76.2,12.1,15.4,.373,16.5,52.6,.222,.413,11.3,30.0,.190
24,2012-02-12,"",St. John's (NY),REG (Conf),W,71,61,"",123.5,106.1,57.5,.490,.469,.588,57.1,70.8,3.5,21.9,.561,11.7,40.0,.327,.462,7.6,29.0,.250
25,2012-02-18,@,Providence,REG (Conf),W,63,53,"",97.2,81.8,64.8,.500,.326,.553,50.7,76.2,3.1,15.2,.533,17.4,17.9,.304,.296,10.4,26.8,.389
26,2012-02-21,@,Seton Hall,REG (Conf),L,55,73,"",101.7,135.0,54.1,.319,.319,.508,52.1,47.4,11.1,10.7,.457,16.9,36.7,.255,.707,13.8,22.2,.366
27,2012-02-25,"",Villanova,REG (Conf),W,67,46,"",102.4,70.3,65.5,.442,.250,.532,63.8,41.7,6.1,13.2,.490,18.2,44.0,.308,.310,16.7,21.2,.300
