Gtm,Date,Location,Opp_name,Type,Rslt,Tm,Opp_score,OT,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,eFG%_opp,TOV%_opp,ORB%_opp,FT/FGA_opp
1,2011-11-11,"",Marist,REG (Non-Conf),W,108,58,"",140.2,75.3,77.0,.200,.133,.658,64.9,52.2,10.4,28.9,.640,9.9,46.7,.160,.365,15.9,23.4,.190
2,2011-11-15,N,Kansas,REG (Non-Conf),W,75,65,"",98.9,85.8,75.8,.569,.294,.579,50.7,53.8,6.6,29.5,.578,22.7,25.8,.314,.373,16.3,27.8,.356
3,2011-11-19,N,Penn State,REG (Non-Conf),W,85,47,"",126.4,69.9,67.2,.547,.377,.636,51.3,67.9,10.4,20.0,.623,13.0,30.0,.358,.321,14.2,36.0,.060
4,2011-11-20,N,Old Dominion,REG (Non-Conf),W,62,52,"",91.1,76.4,68.1,.321,.245,.508,56.9,41.7,10.3,22.0,.491,25.6,37.1,.189,.366,15.8,24.3,.196
5,2011-11-23,"",Radford,REG (Non-Conf),W,88,40,"",115.2,52.4,76.4,.387,.242,.599,64.9,35.5,14.4,25.0,.540,17.9,41.9,.339,.277,20.1,18.6,.062
6,2011-11-26,"",Portland,REG (Non-Conf),W,87,63,"",122.2,88.5,71.2,.565,.274,.553,50.7,71.4,16.9,23.7,.508,4.8,32.4,.387,.467,20.8,29.4,.098
7,2011-12-01,"",St. John's (NY),REG (Non-Conf),W,81,59,"",104.5,76.1,77.5,.435,.232,.486,56.3,57.1,11.6,38.3,.442,12.6,41.5,.290,.333,17.1,28.2,.317
8,2011-12-03,"",North Carolina,REG (Non-Conf),W,73,72,"",109.6,108.1,66.6,.286,.270,.510,52.2,32.1,10.5,16.7,.476,11.2,41.2,.206,.508,16.3,37.1,.183
9,2011-12-10,@,Indiana,REG (Non-Conf),L,72,73,"",102.0,103.4,70.6,.315,.130,.580,48.1,30.0,14.2,16.3,.574,20.5,36.0,.185,.509,21.4,41.4,.241
10,2011-12-17,"",Chattanooga,REG (Non-Conf),W,87,62,"",114.7,81.7,75.9,.206,.485,.583,54.8,51.5,6.6,16.7,.574,14.8,32.4,.132,.397,16.5,25.6,.190
11,2011-12-20,"",Samford,REG (Non-Conf),W,82,50,"",134.0,81.7,61.2,.226,.339,.597,66.1,41.9,11.4,23.3,.573,9.3,48.4,.177,.467,21.6,12.0,.152
12,2011-12-22,"",Loyola (MD),REG (Non-Conf),W,87,63,"",130.7,94.6,66.6,.712,.231,.625,55.6,50.0,3.0,10.9,.567,11.5,37.0,.538,.451,9.3,30.6,.131
13,2011-12-28,"",Lamar,REG (Non-Conf),W,86,64,"",111.8,83.2,76.9,.623,.264,.626,53.8,57.7,5.2,18.9,.557,19.8,32.3,.509,.400,17.2,26.5,.185
14,2011-12-31,"",Louisville,REG (Non-Conf),W,69,62,"",84.0,75.5,82.1,.754,.281,.446,63.6,58.8,7.3,15.9,.325,20.5,41.2,.561,.355,15.8,18.6,.290
15,2012-01-03,N,Little Rock,REG (Non-Conf),W,73,51,"",111.2,77.7,65.7,.286,.286,.574,71.2,50.0,4.6,27.3,.554,23.0,62.1,.196,.361,12.0,21.6,.115
16,2012-01-07,"",South Carolina,REG (Conf),W,79,64,"",120.4,97.6,65.6,.449,.224,.664,45.8,44.8,6.1,19.0,.643,20.1,27.3,.327,.438,12.7,43.2,.125
17,2012-01-11,@,Auburn,REG (Conf),W,68,53,"",110.3,86.0,61.6,.316,.351,.519,46.3,43.5,16.2,17.9,.465,10.9,37.9,.263,.422,20.9,44.0,.196
18,2012-01-14,@,Tennessee,REG (Conf),W,65,62,"",95.4,91.0,68.1,.592,.102,.518,53.2,33.3,11.7,22.9,.449,17.2,30.3,.429,.462,19.6,20.7,.269
