Gtm,Date,Location,Opp_name,Type,Rslt,Tm,Opp_score,OT,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,eFG%_opp,TOV%_opp,ORB%_opp,FT/FGA_opp
1,2011-11-11,"",Mount St. Mary's,REG (Non-Conf),W,91,37,"",127.9,52.0,71.2,.313,.297,.619,52.4,72.2,26.7,13.5,.594,12.0,42.3,.234,.309,31.8,40.5,.055
2,2011-11-14,"",Norfolk State,REG (Non-Conf),W,99,68,"",117.4,80.6,84.3,.484,.339,.649,58.1,78.8,13.0,9.7,.605,14.6,25.0,.387,.518,27.4,14.7,.200
3,2011-11-18,N,Winthrop,REG (Non-Conf),W,95,73,"",128.3,98.6,74.1,.648,.352,.673,50.0,58.1,8.1,12.5,.657,15.5,26.9,.444,.509,16.4,28.6,.263
4,2011-11-20,N,Ole Miss,REG (Non-Conf),W,96,66,"",116.1,79.8,82.7,.827,.212,.663,47.9,55.2,9.7,9.1,.606,19.0,34.8,.635,.340,17.8,46.0,.167
5,2011-11-21,N,Norfolk State,REG (Non-Conf),W,59,57,"",89.2,86.2,66.2,.259,.345,.453,53.5,68.2,12.1,18.9,.422,17.7,37.8,.172,.398,15.5,29.4,.169
6,2011-11-28,"",Jacksonville,REG (Non-Conf),W,88,56,"",128.4,81.7,68.5,.547,.302,.659,50.0,71.0,10.2,5.7,.670,11.9,28.0,.321,.418,19.7,35.1,.082
7,2011-12-03,@,Wisconsin,REG (Non-Conf),W,61,54,"",93.8,83.1,65.0,.317,.183,.442,59.4,30.4,4.6,9.7,.400,15.8,44.4,.217,.370,16.7,24.2,.340
8,2011-12-06,N,Washington,REG (Non-Conf),W,79,77,"",106.3,103.7,74.3,.435,.274,.528,40.6,74.1,9.4,6.3,.484,11.8,25.0,.306,.529,18.0,45.9,.074
9,2011-12-10,"",Green Bay,REG (Non-Conf),W,79,61,"",104.4,80.6,75.7,.266,.188,.548,47.8,68.8,19.8,7.5,.531,18.2,30.6,.172,.474,27.0,33.3,.103
10,2011-12-17,"",Northern Colorado,REG (Non-Conf),W,93,72,"",121.7,94.2,76.4,.610,.390,.611,59.3,82.1,10.5,15.0,.534,13.6,37.0,.508,.446,14.7,21.9,.393
11,2011-12-19,@,Louisiana State,REG (Non-Conf),L,59,67,"",89.8,101.9,65.7,.241,.397,.456,48.4,33.3,16.7,9.4,.431,17.8,35.1,.155,.616,24.4,32.0,.326
12,2011-12-22,"",Milwaukee,REG (Non-Conf),W,64,50,"",96.6,75.5,66.3,.357,.196,.489,50.7,54.5,7.5,12.5,.411,15.5,39.4,.321,.300,18.8,40.5,.233
13,2011-12-29,"",Vanderbilt,REG (Non-Conf),L,57,74,"",80.5,104.5,70.8,.508,.254,.389,45.7,63.2,9.9,3.7,.347,16.0,32.6,.271,.571,22.0,33.3,.367
14,2012-01-01,"",Villanova,REG (Conf),W,81,77,"",108.0,102.7,75.0,.617,.250,.522,48.6,65.4,13.3,12.8,.483,14.4,43.2,.383,.461,17.5,45.7,.281
15,2012-01-04,@,Georgetown,REG (Conf),L,70,73,"",102.6,107.0,68.2,.385,.346,.569,51.2,65.2,13.2,4.0,.519,20.6,33.3,.308,.698,24.0,18.8,.302
16,2012-01-07,@,Syracuse,REG (Conf),L,66,73,"",88.7,98.1,74.4,.404,.456,.486,45.9,60.9,14.8,2.4,.456,19.1,25.0,.246,.459,17.3,34.2,.279
17,2012-01-11,"",St. John's (NY),REG (Conf),W,83,64,"",116.6,89.9,71.2,.305,.203,.614,57.8,69.7,11.2,12.2,.593,18.2,40.0,.220,.444,18.5,26.5,.296
18,2012-01-14,"",Pittsburgh,REG (Conf),W,62,57,"",105.3,96.8,58.9,.306,.408,.552,50.0,77.3,15.3,11.5,.520,21.1,41.4,.224,.500,24.4,40.7,.239
19,2012-01-16,"",Louisville,REG (Conf),W,74,63,"",100.5,85.5,73.7,.295,.361,.532,43.9,76.0,14.9,10.0,.475,16.8,26.5,.262,.468,20.1,37.5,.063
20,2012-01-21,@,Providence,REG (Conf),W,79,72,"",115.5,105.2,68.4,.370,.204,.622,46.2,72.4,4.4,10.2,.620,15.9,32.1,.222,.413,12.7,43.2,.317
21,2012-01-24,"",South Florida,REG (Conf),W,67,47,"",101.4,71.2,66.1,.362,.328,.493,50.8,65.2,19.7,9.7,.457,6.9,26.5,.241,.400,27.7,16.0,.244
22,2012-01-28,@,Villanova,REG (Conf),W,82,78,"",98.8,93.9,83.0,.492,.262,.511,47.1,68.0,9.6,13.2,.438,16.6,29.7,.385,.483,21.8,33.3,.333
23,2012-01-31,"",Seton Hall,REG (Conf),W,66,59,"",93.5,83.6,70.6,.583,.333,.538,52.2,81.0,9.9,6.3,.479,21.7,27.6,.417,.437,19.5,28.9,.063
24,2012-02-04,@,Notre Dame,REG (Conf),L,59,76,"",87.7,113.0,67.3,.141,.203,.432,44.8,64.0,10.4,3.0,.406,10.5,24.2,.109,.598,16.4,28.0,.161
25,2012-02-06,@,DePaul,REG (Conf),W,89,76,"",124.0,105.9,71.8,.377,.164,.619,50.0,53.1,9.8,6.4,.549,10.0,26.9,.361,.524,13.5,32.4,.159
26,2012-02-11,"",Cincinnati,REG (Conf),W,95,78,"",129.5,106.3,73.4,.400,.300,.665,41.8,64.7,15.0,7.4,.625,8.9,25.0,.333,.455,15.0,46.2,.254
27,2012-02-18,@,Connecticut,REG (Conf),W,79,64,"",117.6,95.3,67.2,.481,.407,.595,53.4,62.5,7.4,2.3,.537,13.1,32.1,.389,.491,16.0,26.7,.226
28,2012-02-22,"",Rutgers,REG (Conf),W,82,65,"",111.7,88.5,73.4,.429,.286,.608,45.3,60.0,17.7,16.3,.580,17.2,37.5,.304,.470,23.7,48.3,.045
29,2012-02-24,@,West Virginia,REG (Conf),W,61,60,"",90.3,88.8,67.6,.417,.333,.530,43.1,50.0,17.8,7.7,.531,19.6,22.2,.208,.432,22.2,42.1,.153
30,2012-02-29,@,Cincinnati,REG (Conf),L,61,72,"",85.8,101.2,71.1,.194,.419,.451,53.5,66.7,2.8,2.4,.411,20.1,37.1,.161,.439,8.6,30.6,.212
31,2012-03-03,"",Georgetown,REG (Conf),W,83,69,"",115.1,95.7,72.1,.900,.240,.581,50.7,54.2,15.3,4.4,.500,14.4,35.5,.660,.437,15.8,38.6,.222
32,2012-03-08,N,Louisville,CTOURN,L,71,84,"",82.6,97.7,86.0,.235,.191,.470,44.7,36.7,11.6,6.8,.456,25.6,38.5,.132,.409,17.5,50.0,.273
