Gtm,Date,Location,Opp_name,Type,Rslt,Tm,Opp_score,OT,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,eFG%_opp,TOV%_opp,ORB%_opp,FT/FGA_opp
1,2011-11-15,"",Belmont,REG (Non-Conf),W,97,81,"",119.8,100.0,81.0,.586,.241,.654,40.9,58.8,8.6,14.9,.647,10.8,17.2,.379,.433,18.2,40.5,.343
2,2011-11-21,N,Michigan,REG (Non-Conf),L,61,73,"",88.5,105.9,69.0,.456,.351,.440,39.0,31.6,11.6,13.3,.368,10.3,16.2,.333,.600,18.2,22.7,.260
3,2011-11-22,N,Tennessee,REG (Non-Conf),W,99,97,2OT,109.8,107.5,72.2,.386,.129,.598,40.5,36.1,10.0,13.2,.557,12.7,11.8,.300,.453,14.1,37.8,.405
4,2011-11-23,N,Georgetown,REG (Non-Conf),L,88,91,OT,107.7,111.4,72.6,.349,.270,.599,48.4,45.2,4.9,8.9,.548,18.8,18.5,.302,.529,10.1,29.7,.243
5,2011-11-28,"",Jackson State,REG (Non-Conf),W,70,45,"",107.6,69.2,65.1,.510,.204,.575,49.1,50.0,23.1,23.1,.561,15.3,37.0,.306,.337,28.7,40.0,.192
6,2011-12-03,"",Austin Peay,REG (Non-Conf),W,91,60,"",117.7,77.6,77.3,.429,.446,.675,56.9,71.9,10.4,8.1,.705,22.0,42.9,.214,.347,16.1,36.4,.139
7,2011-12-06,@,Miami (FL),REG (Non-Conf),W,71,54,"",104.4,79.4,68.0,.333,.200,.511,56.7,42.9,14.7,18.4,.475,9.2,33.3,.233,.402,16.8,20.6,.161
8,2011-12-11,"",Murray State,REG (Non-Conf),L,72,76,"",99.1,104.6,72.6,.328,.311,.511,52.5,60.0,12.4,15.2,.459,17.5,35.5,.262,.519,16.3,30.0,.396
9,2011-12-17,@,Louisville,REG (Non-Conf),L,87,95,"",100.3,109.6,86.7,.683,.238,.521,51.2,42.3,11.5,17.0,.460,16.9,35.7,.460,.450,13.6,34.1,.457
10,2011-12-19,"",Lipscomb,REG (Non-Conf),W,85,75,"",130.6,115.3,65.1,.310,.276,.639,61.0,54.5,1.5,18.4,.621,10.7,43.5,.224,.524,6.6,27.8,.143
11,2011-12-22,@,Georgetown,REG (Non-Conf),L,59,70,"",88.5,105.0,66.7,.333,.255,.499,45.2,63.6,10.5,10.8,.461,23.4,34.4,.235,.480,18.7,43.3,.412
12,2011-12-29,"",Robert Morris,REG (Non-Conf),W,64,47,"",97.6,71.7,65.6,.378,.244,.603,56.0,65.2,6.1,25.5,.578,27.4,37.5,.267,.254,8.2,35.3,.174
13,2011-12-31,"",Charlotte,REG (Non-Conf),W,67,58,"",102.8,89.0,65.2,.532,.277,.569,54.2,47.6,4.6,33.3,.511,21.4,41.7,.404,.315,10.7,39.6,.262
14,2012-01-04,"",Tennessee,REG (Non-Conf),W,69,51,"",100.4,74.2,68.7,.283,.302,.574,58.6,72.0,14.6,8.1,.519,21.0,30.4,.264,.405,19.7,22.9,.069
15,2012-01-07,@,UAB,REG (Conf),W,62,59,"",97.3,92.6,63.7,.386,.227,.595,51.2,50.0,11.0,32.4,.591,24.6,33.3,.227,.457,18.2,30.0,.370
16,2012-01-11,"",Southern Mississippi,REG (Conf),W,60,58,"",90.6,87.6,66.2,.522,.217,.523,49.2,42.1,9.1,27.6,.457,18.5,14.8,.391,.421,14.5,26.3,.175
17,2012-01-14,@,Houston,REG (Conf),W,89,55,"",124.1,76.7,71.7,.311,.230,.635,58.0,44.1,13.9,13.6,.607,13.6,33.3,.246,.348,17.2,23.1,.286
18,2012-01-18,@,UCF,REG (Conf),L,67,68,"",105.3,106.8,63.7,.216,.216,.596,51.9,57.7,4.7,8.8,.578,18.8,20.0,.157,.519,10.1,20.7,.222
19,2012-01-21,"",SMU,REG (Conf),W,63,45,"",101.8,72.7,61.9,.352,.296,.500,60.3,56.5,17.8,10.5,.444,16.0,43.3,.278,.380,23.6,21.4,.217
20,2012-01-25,"",Rice,REG (Conf),W,73,51,"",110.6,77.3,66.0,.317,.238,.503,59.7,51.9,12.1,12.1,.476,12.1,40.6,.206,.452,24.8,20.0,.310
21,2012-01-28,"",Marshall,REG (Conf),W,83,76,"",114.5,104.9,72.5,.593,.185,.600,47.4,50.0,8.3,16.2,.574,14.8,29.6,.389,.500,16.9,36.7,.407
22,2012-02-01,@,Southern Mississippi,REG (Conf),L,72,75,"",113.5,118.2,63.5,.354,.292,.642,38.8,33.3,7.9,7.3,.615,13.8,15.0,.271,.455,11.6,44.8,.429
23,2012-02-04,"",Xavier,REG (Non-Conf),W,72,68,"",104.0,98.2,69.2,.549,.275,.560,47.2,50.0,10.1,7.7,.471,15.7,23.3,.471,.519,17.5,21.7,.222
24,2012-02-08,@,East Carolina,REG (Conf),W,70,59,"",100.5,84.7,69.7,.217,.267,.529,49.2,67.9,18.7,14.6,.508,15.4,25.8,.150,.439,19.0,29.4,.158
25,2012-02-11,"",UAB,REG (Conf),W,79,45,"",129.2,73.6,61.2,.367,.490,.686,57.8,69.2,13.1,13.0,.673,13.5,18.2,.265,.420,19.8,4.3,.182
26,2012-02-15,@,Tulane,REG (Conf),W,82,64,"",117.9,92.0,69.6,.364,.255,.636,47.2,50.0,18.7,5.9,.655,14.6,26.9,.182,.529,25.1,33.3,.173
27,2012-02-18,"",UTEP,REG (Conf),L,58,60,"",98.5,101.9,58.9,.521,.354,.484,47.4,55.6,8.5,12.5,.417,13.1,27.3,.375,.500,15.6,25.0,.395
28,2012-02-22,"",East Carolina,REG (Conf),W,70,47,"",98.3,66.0,71.2,.446,.179,.516,56.9,50.0,21.1,19.4,.482,19.1,43.8,.286,.357,31.5,30.3,.245
