Gtm,Date,Location,Opp_name,Type,Rslt,Tm,Opp_score,OT,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,eFG%_opp,TOV%_opp,ORB%_opp,FT/FGA_opp
1,2011-11-11,"","",REG (Non-Conf),W,59,33,"",91.4,51.1,64.5,.179,.500,.486,50.7,54.5,10.8,15.6,.473,14.1,17.6,.107,.310,24.2,17.1,.040
2,2011-11-14,"",Towson,REG (Non-Conf),W,64,47,"",101.9,74.8,62.8,.296,.463,.519,50.0,52.0,12.7,7.1,.519,18.5,35.3,.148,.476,28.5,30.8,.167
3,2011-11-17,"",Western Illinois,REG (Non-Conf),W,59,55,"",106.2,99.0,55.6,.524,.476,.562,46.5,68.4,7.2,4.0,.536,16.0,34.8,.333,.573,27.8,40.0,.195
4,2011-11-21,N,Memphis,REG (Non-Conf),W,73,61,"",105.9,88.5,69.0,.360,.400,.623,61.0,55.6,2.9,16.2,.600,18.2,22.7,.260,.368,10.3,16.2,.333
5,2011-11-22,N,Duke,REG (Non-Conf),L,75,82,"",115.3,126.1,65.1,.143,.333,.557,53.7,32.3,6.1,12.0,.548,11.8,36.7,.095,.685,16.9,25.0,.413
6,2011-11-23,N,UCLA,REG (Non-Conf),W,79,63,"",126.8,101.1,62.3,.426,.298,.699,56.4,48.3,9.6,10.5,.691,19.9,42.9,.298,.455,16.0,35.3,.236
7,2011-11-29,@,Virginia,REG (Non-Conf),L,58,70,"",92.2,111.3,62.9,.140,.440,.544,42.1,36.4,8.0,10.7,.540,17.1,7.4,.080,.500,11.2,26.7,.321
8,2011-12-03,"",Iowa State,REG (Non-Conf),W,76,66,"",108.1,93.8,70.3,.321,.518,.589,47.9,51.9,2.8,2.5,.545,14.6,20.7,.268,.403,12.9,33.3,.179
9,2011-12-10,N,Oakland,REG (Non-Conf),W,90,80,"",120.2,106.8,74.9,.407,.519,.698,56.5,67.7,4.0,5.3,.713,20.9,27.6,.241,.508,13.4,18.2,.339
10,2011-12-13,"",ArkansasâPine Bluff,REG (Non-Conf),W,63,50,"",94.6,75.1,66.6,.160,.520,.586,57.1,77.3,10.5,8.3,.570,26.1,25.9,.120,.425,22.4,13.8,.094
11,2011-12-17,"",Alabama A&M,REG (Non-Conf),W,87,57,"",122.0,79.9,71.3,.382,.400,.669,59.1,63.3,9.8,10.3,.636,18.8,35.7,.309,.395,17.1,23.7,.129
12,2011-12-22,"",Bradley,REG (Non-Conf),W,77,66,"",114.9,98.5,67.0,.118,.456,.536,49.3,80.6,4.5,2.4,.529,7.7,28.6,.074,.492,14.4,29.4,.117
13,2011-12-29,"",Penn State,REG (Conf),W,71,53,"",114.7,85.6,61.9,.283,.472,.590,53.3,60.0,11.3,7.9,.547,11.7,28.6,.245,.434,18.1,25.0,.132
14,2012-01-01,"",Minnesota,REG (Conf),W,61,56,"",103.6,95.1,58.9,.442,.385,.485,56.7,45.0,3.4,3.3,.442,13.7,41.2,.288,.510,18.5,23.1,.122
15,2012-01-05,@,Indiana,REG (Conf),L,71,73,"",104.2,107.2,68.1,.190,.414,.561,50.0,48.1,11.7,2.6,.552,16.0,23.3,.121,.622,20.5,19.2,.245
16,2012-01-08,"",Wisconsin,REG (Conf),W,59,41,"",108.4,75.3,54.4,.417,.313,.513,55.7,31.6,12.9,0.0,.438,13.5,42.9,.354,.382,18.4,33.3,.039
17,2012-01-11,"",Northwestern,REG (Conf),W,66,64,OT,98.7,95.7,59.4,.242,.455,.448,52.4,45.5,9.0,8.6,.386,8.7,34.1,.227,.563,21.4,13.6,.208
18,2012-01-14,@,Iowa,REG (Conf),L,59,75,"",92.6,117.8,63.7,.327,.596,.491,44.4,45.0,3.1,0.0,.462,14.3,24.2,.212,.509,10.6,33.3,.370
19,2012-01-17,"",Michigan State,REG (Conf),W,60,59,"",103.9,102.1,57.8,.289,.467,.586,32.6,34.8,13.8,14.3,.578,13.5,4.3,.178,.550,21.1,39.1,.080
20,2012-01-21,@,Arkansas,REG (Non-Conf),L,64,66,"",103.0,106.2,62.2,.115,.459,.497,54.1,60.0,3.2,2.7,.475,13.5,32.4,.098,.552,12.1,18.5,.271
21,2012-01-24,@,Purdue,REG (Conf),W,66,64,"",110.0,106.7,60.0,.180,.280,.608,58.8,55.6,3.3,3.8,.600,18.1,31.8,.120,.529,13.5,20.7,.173
22,2012-01-29,@,Ohio State,REG (Conf),L,49,64,"",81.4,106.3,60.2,.075,.472,.446,37.3,52.6,8.3,2.6,.434,19.1,20.7,.057,.454,13.8,46.7,.278
23,2012-02-01,"",Indiana,REG (Conf),W,68,56,"",116.0,95.6,58.6,.413,.478,.618,43.1,59.1,8.5,6.1,.576,8.3,12.0,.326,.500,20.8,26.9,.191
24,2012-02-05,@,Michigan State,REG (Conf),L,54,64,"",90.6,107.4,59.6,.250,.458,.503,27.8,78.9,10.1,0.0,.469,15.7,10.0,.188,.543,21.3,50.0,.304
25,2012-02-08,@,Nebraska,REG (Conf),W,62,46,"",119.5,88.7,51.9,.087,.522,.647,42.6,66.7,11.6,0.0,.641,7.7,9.5,.065,.446,21.0,30.8,.109
26,2012-02-12,"",Illinois,REG (Conf),W,70,61,"",112.4,98.0,62.3,.478,.348,.620,44.6,56.5,16.1,0.0,.576,13.8,17.4,.370,.463,17.3,36.4,.204
27,2012-02-18,"",Ohio State,REG (Conf),W,56,51,"",98.4,89.7,56.9,.298,.277,.522,41.4,36.4,5.3,0.0,.500,13.0,15.4,.191,.418,17.6,37.5,.204
