Gtm,Date,Location,Opp_name,Type,Rslt,Tm,Opp_score,OT,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,eFG%_opp,TOV%_opp,ORB%_opp,FT/FGA_opp
1,2011-11-11,"","",REG (Non-Conf),W,83,66,"",109.4,87.0,75.9,.469,.375,.530,55.6,60.0,11.9,9.8,.531,12.3,35.0,.234,.464,20.6,18.8,.273
2,2011-11-14,"",Nevada,REG (Non-Conf),W,71,67,"",100.6,94.9,70.6,.302,.413,.493,57.7,69.2,8.5,22.9,.468,12.2,39.4,.190,.381,11.7,28.9,.373
3,2011-11-17,"",Canisius,REG (Non-Conf),W,95,70,"",119.5,88.1,79.5,.481,.370,.716,55.8,84.8,13.8,21.4,.713,22.3,27.3,.333,.500,23.1,23.3,.167
4,2011-11-20,"",Morgan State,REG (Non-Conf),W,92,55,"",117.6,70.3,78.3,.269,.343,.609,61.0,82.9,24.3,10.0,.612,18.4,44.4,.149,.368,25.6,24.4,.228
5,2011-11-22,"",Cal Poly,REG (Non-Conf),W,75,52,"",107.8,74.8,69.6,.608,.333,.571,55.2,65.2,17.3,22.5,.490,17.6,39.3,.490,.381,21.6,33.3,.063
6,2011-11-25,N,Southern California,REG (Non-Conf),W,66,55,"",104.6,87.2,63.1,.392,.451,.545,55.8,57.1,9.5,11.1,.480,19.9,43.3,.333,.533,25.8,27.3,.130
7,2011-11-26,N,North Carolina,REG (Non-Conf),W,90,80,"",111.0,98.6,81.1,.254,.451,.566,55.4,71.0,3.7,5.3,.528,14.0,31.7,.211,.455,10.9,21.4,.303
8,2011-11-30,@,UC Santa Barbara,REG (Non-Conf),W,94,88,2OT,112.7,105.5,66.7,.333,.431,.564,47.0,54.5,3.6,6.1,.528,15.2,28.6,.250,.479,10.6,34.1,.264
9,2011-12-04,@,Wichita State,REG (Non-Conf),L,70,89,"",114.8,146.0,61.0,.451,.392,.565,47.1,54.2,3.3,9.7,.520,10.2,29.6,.333,.704,8.7,33.3,.241
10,2011-12-07,N,"",REG (Non-Conf),W,94,50,"",133.7,71.1,70.3,.324,.352,.574,61.7,67.6,22.8,2.9,.535,8.9,47.4,.254,.549,34.9,13.6,.122
11,2011-12-10,@,Wisconsin,REG (Non-Conf),L,51,62,"",80.8,98.3,63.1,.304,.261,.484,43.3,44.4,7.9,3.6,.446,22.2,14.3,.217,.463,13.8,31.3,.222
12,2011-12-14,"",UTEP,REG (Non-Conf),W,65,54,"",96.0,79.7,67.7,.500,.320,.525,53.3,52.4,14.8,17.1,.480,18.5,35.5,.340,.422,25.4,27.6,.216
13,2011-12-17,N,Illinois,REG (Non-Conf),W,64,48,"",87.6,65.7,73.0,.400,.220,.538,54.2,50.0,13.7,23.7,.470,22.2,18.5,.340,.310,16.4,24.4,.143
14,2011-12-19,"",LouisianaâMonroe,REG (Non-Conf),W,81,63,"",128.0,99.6,63.3,.581,.535,.738,48.9,80.0,17.4,20.0,.744,17.9,33.3,.395,.510,23.8,37.5,.216
15,2011-12-23,"",California,REG (Non-Conf),W,85,68,"",112.2,89.7,75.8,.200,.343,.554,56.3,64.7,7.9,8.7,.550,14.5,33.3,.114,.418,14.3,22.0,.279
16,2011-12-28,"",Central Arkansas,REG (Non-Conf),W,124,75,"",146.1,88.4,84.9,.214,.457,.804,57.1,85.1,17.7,8.5,.800,18.9,45.8,.171,.485,25.1,35.9,.149
17,2011-12-31,@,Hawaii,REG (Non-Conf),W,74,69,"",97.1,90.5,76.2,.235,.265,.489,52.5,40.0,7.9,10.0,.471,17.5,43.2,.147,.366,14.9,39.5,.299
18,2012-01-05,@,Cal State Bakersfield,REG (Non-Conf),W,89,57,"",123.8,79.3,71.9,.348,.485,.578,60.6,56.3,9.7,11.1,.553,12.5,48.6,.242,.386,16.9,27.8,.228
19,2012-01-14,@,San Diego State,REG (Conf),L,67,69,"",89.1,91.7,75.2,.309,.397,.430,56.9,37.5,12.0,19.5,.412,15.2,39.1,.162,.482,18.9,11.5,.291
20,2012-01-18,"",TCU,REG (Conf),W,101,78,"",127.8,98.7,79.0,.438,.328,.653,55.1,75.7,7.6,17.3,.664,15.3,39.4,.250,.407,11.6,33.3,.300
21,2012-01-21,"",New Mexico,REG (Conf),W,80,63,"",120.2,94.6,66.6,.328,.362,.597,46.0,56.7,16.5,17.1,.578,17.3,48.3,.224,.447,24.7,55.9,.211
22,2012-01-25,@,Boise State,REG (Conf),W,77,72,OT,97.5,91.2,70.2,.319,.493,.485,53.6,54.2,10.1,10.5,.442,15.0,33.3,.232,.446,15.8,23.1,.215
23,2012-01-28,@,Air Force,REG (Conf),W,65,63,OT,92.8,89.9,62.3,.321,.464,.503,55.7,79.2,17.1,0.0,.500,18.9,27.3,.161,.521,23.4,10.7,.298
