Gtm,Date,Location,Opp_name,Type,Rslt,Tm,Opp_score,OT,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,eFG%_opp,TOV%_opp,ORB%_opp,FT/FGA_opp
1,2011-11-11,@,NC State,REG (Non-Conf),L,75,84,"",95.1,106.6,78.8,.394,.379,.479,42.7,43.5,8.9,2.1,.424,13.3,27.7,.288,.485,15.0,37.1,.303
2,2011-11-13,"",North Carolina,REG (Non-Conf),L,75,91,"",94.9,115.2,79.0,.381,.444,.504,39.3,32.0,12.7,0.0,.460,11.8,18.9,.270,.611,19.4,29.2,.463
3,2011-11-16,"","",REG (Non-Conf),W,126,75,"",147.2,87.6,85.6,.291,.291,.644,66.7,77.6,18.7,15.4,.634,11.7,65.8,.198,.430,22.2,32.6,.313
4,2011-11-21,"","",REG (Non-Conf),W,89,48,"",135.7,73.2,65.6,.491,.321,.681,62.1,66.7,15.2,20.0,.689,15.5,41.4,.302,.417,21.7,21.6,.056
5,2011-11-24,N,Connecticut,REG (Non-Conf),L,63,73,"",94.9,110.0,66.4,.214,.411,.511,40.8,47.8,13.6,8.0,.473,16.3,26.7,.179,.628,24.3,36.8,.298
6,2011-11-25,N,College of Charleston,REG (Non-Conf),L,66,68,"",99.1,102.1,66.6,.220,.356,.506,52.9,32.0,4.5,2.8,.483,19.7,41.2,.153,.500,15.4,35.3,.172
7,2011-11-26,N,Utah,REG (Non-Conf),W,87,65,"",126.2,94.3,69.0,.415,.369,.559,51.5,48.3,7.3,2.6,.515,7.2,42.9,.308,.465,19.7,38.7,.211
8,2011-12-01,@,Gardner-Webb,REG (Conf),W,66,60,"",93.2,84.7,70.9,.860,.233,.545,48.6,52.6,9.9,9.7,.477,18.8,16.7,.581,.406,15.5,28.6,.125
9,2011-12-04,"",USC Upstate,REG (Non-Conf),W,88,81,"",114.2,105.1,77.1,.608,.157,.669,53.3,62.5,10.4,10.4,.657,18.6,39.1,.412,.463,17.6,37.8,.265
10,2011-12-15,"","",REG (Non-Conf),W,109,61,"",133.8,74.9,81.5,.362,.174,.674,67.6,68.2,14.7,15.9,.667,14.8,48.0,.246,.397,20.2,20.9,.175
11,2011-12-20,@,Tennessee,REG (Non-Conf),L,68,72,"",101.6,107.5,67.0,.490,.388,.563,46.3,63.6,9.0,2.8,.520,18.8,25.0,.347,.500,14.7,38.5,.200
