Gtm,Date,Location,Opp_name,Type,Rslt,Tm,Opp_score,OT,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,eFG%_opp,TOV%_opp,ORB%_opp,FT/FGA_opp
1,2011-11-11,"",UNC Asheville,REG (Non-Conf),W,84,75,"",106.6,95.1,78.8,.424,.288,.530,57.3,72.4,12.7,17.1,.485,15.0,37.1,.303,.424,13.3,27.7,.288
2,2011-11-13,"",Morehead State,REG (Non-Conf),W,91,61,"",138.0,92.5,65.9,.407,.426,.706,62.5,78.8,6.1,18.8,.685,15.7,52.4,.315,.489,21.5,29.6,.319
3,2011-11-16,"",Princeton,REG (Non-Conf),W,60,58,"",94.2,91.1,63.7,.204,.148,.507,60.7,57.7,12.6,14.7,.491,19.1,37.0,.130,.481,14.5,17.2,.132
4,2011-11-19,N,Vanderbilt,REG (Non-Conf),L,79,86,"",106.0,115.3,74.6,.355,.177,.545,47.8,51.6,16.1,3.4,.532,15.2,29.4,.210,.602,17.7,33.3,.389
5,2011-11-21,N,Texas,REG (Non-Conf),W,77,74,"",113.4,109.0,67.9,1.000,.273,.593,47.5,70.0,10.3,8.1,.500,14.5,27.6,.750,.519,16.7,33.3,.358
6,2011-11-25,"",Elon,REG (Non-Conf),W,82,67,"",113.5,92.7,72.2,.300,.157,.513,61.3,43.8,5.5,16.2,.493,12.1,47.4,.186,.466,14.9,24.3,.203
7,2011-11-30,"",Indiana,REG (Non-Conf),L,75,86,"",100.4,115.1,74.7,.333,.152,.491,52.1,50.0,9.4,20.4,.447,16.4,42.1,.242,.540,15.1,36.4,.306
8,2011-12-04,@,Stanford,REG (Non-Conf),L,72,76,"",99.6,105.1,72.3,.364,.309,.558,45.0,30.8,6.9,11.4,.536,20.9,28.6,.236,.405,11.9,40.6,.500
9,2011-12-11,"",North Carolina Central,REG (Non-Conf),W,65,60,"",96.8,89.4,67.1,.407,.426,.504,60.7,75.0,10.4,2.4,.435,19.9,46.2,.333,.466,16.3,26.7,.103
10,2011-12-17,"",Syracuse,REG (Non-Conf),L,72,88,"",109.9,134.4,65.5,.154,.269,.645,52.0,70.0,4.6,8.1,.644,24.4,38.1,.096,.653,10.5,37.9,.113
11,2011-12-20,N,St. Bonaventure,REG (Non-Conf),W,67,65,"",105.3,102.2,63.6,.224,.241,.522,51.5,84.0,15.7,20.6,.483,14.6,36.4,.190,.454,16.0,33.3,.296
12,2011-12-22,"",Northeastern,REG (Non-Conf),W,88,59,"",129.5,86.8,68.0,.188,.313,.631,59.4,72.7,2.9,14.3,.602,12.5,38.7,.172,.417,13.3,21.2,.150
13,2011-12-29,"",Campbell,REG (Non-Conf),W,87,81,"",121.9,113.5,71.4,.525,.186,.590,65.0,53.6,7.0,9.3,.500,16.0,48.3,.475,.588,12.0,19.4,.246
