Gtm,Date,Location,Opp_name,Type,Rslt,Tm,Opp_score,OT,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,eFG%_opp,TOV%_opp,ORB%_opp,FT/FGA_opp
1,2011-11-12,"",Mississippi Valley State,REG (Non-Conf),W,80,67,"",113.8,95.3,70.3,.537,.352,.590,56.9,79.2,7.1,5.0,.519,14.0,32.3,.444,.508,15.2,20.6,.048
2,2011-11-14,"",Detroit Mercy,REG (Non-Conf),W,59,53,"",87.1,78.2,67.8,.660,.319,.478,49.4,63.2,5.9,6.4,.447,17.4,21.9,.362,.353,13.3,31.9,.074
3,2011-11-16,"",Sam Houston State,REG (Non-Conf),W,74,41,"",109.7,60.8,67.4,.392,.373,.612,49.2,77.8,14.8,7.9,.627,12.9,10.3,.196,.368,24.5,15.6,.038
4,2011-11-18,"",Delaware State,REG (Non-Conf),W,93,69,"",139.2,103.3,66.8,.459,.377,.626,66.1,66.7,1.5,2.7,.582,10.8,54.8,.361,.481,10.8,22.6,.315
5,2011-11-21,N,Missouri,REG (Non-Conf),L,58,87,"",81.7,122.5,71.0,.352,.296,.460,39.0,40.0,7.0,2.3,.407,17.1,10.8,.259,.627,11.0,13.6,.327
6,2011-11-22,N,Georgia,REG (Non-Conf),L,57,61,"",89.4,95.7,63.8,.609,.435,.481,41.5,43.8,11.0,11.1,.391,11.9,14.8,.457,.528,19.4,30.8,.094
7,2011-11-27,"",Bryant,REG (Non-Conf),W,84,59,"",118.9,83.5,70.7,.234,.391,.591,58.3,77.4,5.7,7.7,.570,12.3,32.3,.172,.400,11.4,22.0,.108
8,2011-11-30,@,Gonzaga,REG (Non-Conf),L,53,73,"",75.9,104.5,69.8,.346,.269,.438,42.4,30.0,11.5,6.5,.404,21.9,22.9,.212,.508,16.0,35.5,.180
9,2011-12-04,N,Maryland,REG (Non-Conf),L,71,78,"",113.5,124.7,62.5,.400,.382,.542,41.3,41.7,4.8,9.1,.500,8.4,31.3,.291,.491,10.2,48.4,.463
10,2011-12-08,"",Maine,REG (Non-Conf),W,87,78,"",125.5,112.5,69.3,.500,.357,.628,58.5,62.1,4.3,10.6,.589,12.6,34.6,.375,.587,10.9,18.5,.063
11,2011-12-10,"",Dartmouth,REG (Non-Conf),W,65,47,"",101.4,73.3,64.1,.254,.339,.491,51.5,66.7,12.5,30.6,.432,9.6,25.0,.237,.340,19.7,23.5,.260
12,2011-12-17,N,Indiana,REG (Non-Conf),L,58,69,"",89.5,106.4,64.8,.762,.262,.507,42.1,56.3,9.3,10.0,.429,17.3,22.2,.524,.447,14.0,40.0,.316
13,2011-12-19,"",Sacred Heart,REG (Non-Conf),W,106,65,"",155.6,95.4,68.1,.596,.298,.725,63.2,71.4,8.8,12.8,.693,5.2,40.0,.474,.446,16.0,18.8,.268
14,2011-12-27,"",Pittsburgh,REG (Conf),W,72,59,"",122.9,100.7,58.6,.340,.358,.585,45.3,66.7,8.5,8.7,.575,7.5,32.1,.208,.408,11.9,44.4,.167
15,2012-01-04,@,Cincinnati,REG (Conf),L,55,71,"",82.8,106.9,66.4,.175,.444,.403,52.1,52.4,6.0,13.3,.373,16.0,34.1,.127,.509,9.6,23.3,.228
16,2012-01-07,@,Louisville,REG (Conf),W,67,65,2OT,92.0,89.3,58.2,.460,.413,.436,47.5,50.0,9.6,7.7,.357,12.5,31.1,.349,.462,21.7,31.4,.327
17,2012-01-10,"",South Florida,REG (Conf),W,60,49,"",103.0,84.1,58.3,.220,.280,.543,44.8,66.7,13.7,9.5,.530,14.0,23.1,.140,.391,17.1,37.5,.109
18,2012-01-14,"",Connecticut,REG (Conf),L,53,67,"",88.1,111.3,60.2,.123,.400,.385,41.7,42.9,5.0,2.4,.369,10.4,34.9,.077,.481,13.8,48.3,.278
19,2012-01-16,@,Rutgers,REG (Conf),L,58,65,"",94.4,105.8,61.4,.250,.385,.498,49.2,56.5,8.1,10.0,.510,15.9,30.0,.096,.500,14.0,31.0,.182
20,2012-01-21,"",Syracuse,REG (Conf),W,67,58,"",107.3,92.9,62.4,.675,.400,.634,60.7,85.0,3.2,10.0,.600,24.3,34.6,.475,.406,12.7,20.0,.245
21,2012-01-25,@,Seton Hall,REG (Conf),W,55,42,"",90.0,68.7,61.1,.865,.514,.527,48.6,61.5,8.2,14.0,.419,19.9,16.7,.649,.281,15.4,35.4,.175
22,2012-01-29,@,Connecticut,REG (Conf),W,50,48,"",96.7,92.8,51.7,.255,.468,.474,52.9,76.5,7.7,8.8,.436,11.7,37.0,.191,.436,14.8,29.2,.149
23,2012-02-04,"",Marquette,REG (Conf),W,76,59,"",113.0,87.7,67.3,.196,.411,.621,55.2,78.6,10.4,13.7,.598,16.4,28.0,.161,.406,10.5,24.2,.109
24,2012-02-08,@,West Virginia,REG (Conf),W,55,51,"",105.7,98.0,52.0,.298,.447,.513,50.0,40.0,5.8,4.8,.479,8.5,28.6,.213,.431,4.8,30.0,.017
25,2012-02-11,"",DePaul,REG (Conf),W,84,76,"",124.2,112.3,67.7,.346,.308,.694,60.8,58.1,5.9,10.4,.654,16.5,31.6,.308,.539,9.2,21.9,.109
26,2012-02-15,"",Rutgers,REG (Conf),W,71,53,"",112.7,84.2,63.0,.640,.320,.544,49.2,80.0,3.2,2.4,.470,12.1,33.3,.480,.420,17.6,34.4,.107
27,2012-02-18,@,Villanova,REG (Conf),W,74,70,OT,105.3,99.6,62.5,.258,.470,.499,44.6,80.0,11.4,2.3,.470,8.6,27.0,.182,.437,13.2,37.8,.238
28,2012-02-22,"",West Virginia,REG (Conf),W,71,44,"",129.8,80.4,54.7,.250,.364,.721,53.8,63.0,11.0,7.0,.716,15.5,31.3,.182,.324,13.0,36.1,.167
29,2012-02-25,@,St. John's (NY),REG (Conf),L,58,61,"",91.1,95.8,63.7,.106,.470,.418,46.0,60.0,7.9,8.3,.409,9.2,34.2,.061,.500,21.9,36.0,.298
30,2012-02-27,@,Georgetown,REG (Conf),L,41,59,"",74.6,107.3,55.0,.208,.354,.389,37.3,43.8,12.7,0.0,.365,17.3,22.6,.125,.568,18.0,40.0,.205
31,2012-03-02,"",Providence,REG (Conf),W,75,69,"",112.3,103.3,66.8,.473,.182,.557,54.2,76.9,4.5,7.8,.518,11.8,35.5,.327,.423,6.2,31.7,.127
32,2012-03-08,N,South Florida,CTOURN,W,57,53,OT,93.1,86.6,54.4,.413,.348,.518,49.2,83.3,6.5,13.2,.478,12.7,10.3,.283,.455,13.6,13.3,.055
33,2012-03-09,N,Louisville,CTOURN,L,50,64,"",85.5,109.5,58.5,.358,.321,.403,50.9,52.6,15.4,2.9,.377,16.2,44.4,.189,.610,20.0,35.3,.060
