Gtm,Date,Location,Opp_name,Type,Rslt,Tm,Opp_score,OT,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,eFG%_opp,TOV%_opp,ORB%_opp,FT/FGA_opp
1,2011-11-11,"",Tennessee State,REG (Non-Conf),W,71,37,"",111.0,57.9,63.9,.375,.333,.628,56.9,64.0,14.1,14.7,.604,18.7,33.3,.271,.340,30.4,22.2,.106
2,2011-11-15,@,Southern Illinois,REG (Non-Conf),W,61,42,"",97.5,67.1,62.6,.346,.269,.504,49.3,54.5,11.2,13.3,.471,10.4,16.1,.231,.218,19.8,22.2,.641
3,2011-11-20,"",Washington,REG (Non-Conf),W,77,64,"",113.9,94.7,67.6,.302,.396,.635,41.7,57.1,8.9,2.1,.613,11.7,14.8,.226,.458,19.4,36.4,.169
4,2011-11-24,N,Boston College,REG (Non-Conf),W,62,51,"",101.0,83.1,61.4,.308,.385,.520,42.6,59.1,11.4,7.7,.481,10.5,20.0,.231,.500,28.9,29.2,.186
5,2011-11-25,N,Villanova,REG (Non-Conf),W,80,68,"",120.7,102.6,66.3,.431,.529,.651,48.1,53.8,7.5,8.1,.647,10.2,14.3,.275,.529,16.6,15.4,.250
6,2011-11-27,N,Oklahoma,REG (Non-Conf),W,83,63,"",123.3,93.6,67.3,.417,.354,.722,51.9,65.5,1.5,2.0,.698,16.1,20.0,.333,.442,15.2,28.1,.167
7,2011-11-29,@,Loyola Marymount,REG (Non-Conf),L,68,75,"",110.5,121.9,61.5,.725,.425,.632,46.2,52.6,6.5,2.8,.563,21.8,30.4,.575,.520,13.7,41.4,.490
8,2011-12-03,"",Portland,REG (Non-Conf),W,73,53,"",121.1,87.9,60.3,.458,.354,.624,59.6,52.0,11.6,8.8,.594,15.8,43.5,.333,.500,23.9,25.0,.233
9,2011-12-07,"",Vermont,REG (Non-Conf),W,62,43,"",100.6,69.7,61.7,.277,.383,.583,56.4,56.5,13.0,5.9,.574,24.2,36.0,.170,.386,27.1,26.7,.205
10,2011-12-10,"","",REG (Non-Conf),W,72,62,"",103.3,89.0,69.7,.508,.390,.491,55.4,39.1,12.9,8.1,.424,10.9,35.3,.373,.564,25.0,13.6,.191
11,2011-12-17,"",Alabama State,REG (Non-Conf),W,65,35,"",111.3,59.9,58.4,.404,.404,.580,60.7,77.3,13.7,19.4,.564,20.0,37.9,.255,.302,18.8,18.8,.125
12,2011-12-22,"",Arkansas State,REG (Non-Conf),W,70,46,"",123.3,81.1,56.8,.093,.389,.621,55.1,48.3,8.8,16.7,.620,12.4,36.4,.056,.372,16.9,29.6,.234
13,2011-12-27,"",Texas Southern,REG (Non-Conf),W,71,39,"",107.5,59.0,66.1,.365,.288,.582,55.6,68.0,15.1,23.1,.538,16.4,31.0,.288,.327,25.0,23.5,.143
14,2011-12-31,@,New Mexico,REG (Non-Conf),L,60,64,"",97.4,103.9,61.6,.302,.340,.495,47.4,43.5,6.5,0.0,.462,11.7,21.9,.208,.513,16.5,20.0,.615
15,2012-01-04,@,Dayton,REG (Conf),L,72,79,OT,91.9,100.9,69.6,.419,.306,.484,40.3,41.7,10.2,4.9,.427,16.8,24.3,.306,.500,22.7,40.0,.436
16,2012-01-07,"",George Washington,REG (Conf),W,78,56,"",120.8,86.7,64.6,.267,.250,.577,62.7,43.3,12.4,11.4,.558,14.0,51.9,.183,.468,21.3,25.0,.255
17,2012-01-11,"",Temple,REG (Conf),L,67,72,"",100.8,108.4,66.4,.226,.258,.488,57.1,42.3,12.0,10.9,.468,12.7,40.0,.145,.613,18.3,14.3,.132
18,2012-01-14,@,Charlotte,REG (Conf),W,68,67,"",95.5,94.1,71.2,.193,.386,.546,51.9,65.4,16.9,3.1,.535,21.5,28.1,.123,.620,29.3,13.6,.217
19,2012-01-21,"",Duquesne,REG (Conf),W,68,41,"",111.2,67.0,61.2,.412,.353,.558,57.4,58.3,16.3,17.5,.539,12.9,37.5,.255,.345,20.7,29.7,.055
20,2012-01-25,@,Xavier,REG (Conf),W,73,68,"",105.4,98.2,69.3,.549,.412,.568,50.0,81.8,14.4,6.9,.500,16.8,27.6,.431,.464,22.9,21.7,.690
21,2012-01-28,@,Massachusetts,REG (Conf),L,59,72,"",78.1,95.4,75.5,.284,.358,.388,49.2,47.8,9.3,0.0,.381,16.5,33.3,.119,.550,24.1,21.7,.340
22,2012-02-01,"",St. Bonaventure,REG (Conf),W,86,62,"",131.1,94.5,65.6,.574,.389,.626,61.4,39.3,9.1,7.4,.556,10.4,34.8,.481,.577,23.3,9.5,.436
23,2012-02-04,"",Dayton,REG (Conf),W,58,50,"",87.4,75.4,66.3,.689,.378,.486,46.3,66.7,10.6,6.1,.444,16.7,20.0,.400,.281,13.9,32.4,.316
24,2012-02-08,@,Saint Joseph's,REG (Conf),W,72,60,"",109.5,91.3,65.7,.377,.377,.576,39.3,50.0,13.7,2.9,.547,13.8,24.1,.264,.431,21.8,44.4,.314
25,2012-02-11,@,La Salle,REG (Conf),W,59,51,"",86.1,74.5,68.5,.197,.295,.442,48.4,59.1,16.1,5.0,.402,20.3,35.1,.164,.440,26.9,32.0,.140
26,2012-02-15,"",Richmond,REG (Conf),W,64,50,"",103.6,80.9,61.8,.444,.267,.587,61.1,59.1,6.5,11.1,.544,19.3,31.8,.333,.363,14.5,18.8,.255
27,2012-02-18,"",Fordham,REG (Conf),W,66,46,"",112.4,78.3,58.7,.180,.443,.498,51.4,76.0,13.6,7.7,.484,8.3,33.3,.115,.390,19.1,30.6,.140
28,2012-02-25,@,Rhode Island,REG (Conf),L,62,64,"",99.5,102.7,62.3,.164,.475,.471,44.3,63.6,8.0,6.8,.443,8.4,27.0,.131,.417,12.0,36.4,.352
29,2012-02-28,"",Xavier,REG (Conf),W,70,59,"",105.3,88.8,66.5,.421,.368,.512,46.2,68.2,9.0,7.7,.439,10.5,19.4,.351,.452,16.5,29.4,.231
