Gtm,Date,Location,Opp_name,Type,Rslt,Tm,Opp_score,OT,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,eFG%_opp,TOV%_opp,ORB%_opp,FT/FGA_opp
1,2011-11-11,"",Oregon,REG (Non-Conf),W,78,64,"",106.9,87.7,73.0,.409,.424,.495,53.5,59.3,15.1,18.2,.477,9.2,36.6,.227,.547,24.7,23.3,.113
2,2011-11-13,"",Cleveland State,REG (Non-Conf),L,58,71,"",81.8,100.1,70.9,.510,.333,.458,48.4,33.3,14.1,8.1,.392,24.0,34.2,.353,.546,20.1,30.8,.222
3,2011-11-15,"",Bucknell,REG (Non-Conf),W,80,68,"",119.7,101.8,66.8,.221,.441,.532,57.1,41.9,3.0,7.3,.529,6.2,34.2,.118,.510,11.7,8.0,.314
4,2011-11-19,N,NC State,REG (Non-Conf),W,86,79,"",115.3,106.0,74.6,.611,.463,.617,52.2,50.0,10.7,2.0,.602,17.7,33.3,.389,.532,15.2,29.4,.210
5,2011-11-21,N,Oregon State,REG (Non-Conf),W,64,62,"",89.8,87.0,71.3,.109,.345,.553,50.9,46.2,7.0,4.3,.536,27.6,32.0,.091,.450,18.4,34.4,.133
6,2011-11-25,"",Monmouth,REG (Non-Conf),W,95,73,"",124.3,95.5,76.5,.482,.446,.690,65.5,50.0,11.8,5.1,.670,17.9,39.1,.357,.517,20.5,15.6,.224
7,2011-11-28,"",Xavier,REG (Non-Conf),L,70,82,OT,87.8,102.8,70.9,.188,.344,.502,38.5,59.3,8.8,16.9,.477,20.5,22.2,.141,.419,13.0,47.6,.270
8,2011-12-02,@,Louisville,REG (Non-Conf),L,60,62,OT,90.5,93.5,58.9,.545,.591,.542,44.4,55.6,10.6,5.0,.523,22.4,21.4,.318,.458,18.7,37.1,.117
9,2011-12-07,@,Davidson,REG (Non-Conf),W,87,83,"",114.0,108.8,76.3,.419,.242,.585,50.8,26.7,5.2,15.4,.540,16.8,37.5,.323,.484,11.7,34.5,.393
10,2011-12-17,"",Indiana State,REG (Non-Conf),L,55,61,"",83.1,92.2,66.2,.360,.440,.470,52.5,47.4,6.0,13.3,.440,20.4,22.6,.220,.529,20.1,14.3,.137
11,2011-12-19,"",Longwood,REG (Non-Conf),W,99,71,"",126.3,90.6,78.4,.296,.408,.611,53.4,36.1,14.0,5.1,.592,11.0,34.4,.211,.525,23.0,23.1,.153
12,2011-12-21,"",Lafayette,REG (Non-Conf),W,89,58,"",126.6,82.5,70.3,.100,.500,.708,60.3,60.0,12.8,5.6,.708,19.3,26.9,.067,.472,21.7,12.5,.130
13,2011-12-29,@,Marquette,REG (Non-Conf),W,74,57,"",104.5,80.5,70.8,.490,.449,.613,54.3,73.9,12.7,9.1,.571,22.0,33.3,.367,.347,16.0,32.6,.271
