Gtm,Date,Location,Opp_name,Type,Rslt,Tm,Opp_score,OT,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,eFG%_opp,TOV%_opp,ORB%_opp,FT/FGA_opp
1,2011-11-11,"",Saint Joseph's,REG (Non-Conf),L,61,72,"",82.6,97.5,73.9,.397,.279,.377,57.1,44.4,8.1,8.6,.294,12.9,37.5,.309,.551,19.8,10.3,.367
2,2011-11-14,"",Tennessee State,REG (Non-Conf),W,52,49,"",76.9,72.5,67.6,.261,.413,.503,53.4,63.2,8.9,9.1,.467,32.6,30.0,.196,.402,25.8,21.4,.261
3,2011-11-17,N,Tulsa,REG (Non-Conf),L,49,65,"",68.4,90.8,71.6,.104,.463,.348,42.5,55.6,7.0,4.9,.328,15.6,22.7,.075,.446,18.3,33.3,.268
4,2011-11-18,N,Louisiana State,REG (Non-Conf),L,57,76,"",78.0,103.9,73.1,.519,.462,.440,39.7,29.4,9.6,10.6,.375,23.6,31.6,.346,.460,18.6,51.4,.286
5,2011-11-20,N,VCU,REG (Non-Conf),L,64,69,"",95.4,102.9,67.1,.605,.442,.578,48.3,50.0,8.9,22.2,.570,25.6,31.6,.349,.438,16.9,43.6,.357
6,2011-11-23,"",VCU,REG (Non-Conf),L,45,68,"",72.4,109.5,62.1,.462,.359,.473,44.8,56.3,9.7,8.6,.474,30.6,25.8,.205,.558,20.6,33.3,.192
7,2011-11-26,"",Southeastern Louisiana,REG (Non-Conf),W,72,67,"",95.2,88.6,75.7,.615,.250,.536,55.4,59.1,7.9,11.4,.462,23.8,36.4,.462,.483,20.5,25.0,.169
8,2011-12-01,"",Murray State,REG (Non-Conf),L,59,70,"",91.8,109.0,64.2,.250,.214,.471,54.0,54.2,3.1,20.5,.446,19.3,45.5,.161,.480,16.9,36.7,.412
9,2011-12-04,"",Bowling Green,REG (Non-Conf),W,60,53,"",82.5,72.9,72.7,.689,.400,.502,54.3,61.1,9.6,11.5,.433,26.0,26.7,.467,.357,16.9,25.0,.127
10,2011-12-07,@,Southern Illinois,REG (Non-Conf),W,62,55,"",88.4,78.4,70.2,.625,.188,.498,54.7,52.4,10.0,4.7,.469,20.4,33.3,.354,.370,22.5,22.6,.278
11,2011-12-10,@,IUPUI,REG (Non-Conf),L,76,84,"",101.3,111.9,75.0,.323,.323,.531,49.3,34.6,4.0,6.7,.492,16.4,26.5,.242,.491,12.0,28.6,.518
12,2011-12-17,"",Furman,REG (Non-Conf),L,63,76,"",96.2,116.0,65.5,.417,.400,.438,46.7,50.0,10.7,10.0,.425,12.2,33.3,.200,.598,16.1,28.6,.659
13,2011-12-23,@,Louisville,REG (Non-Conf),L,60,70,"",85.5,99.8,70.2,.327,.288,.499,43.1,47.8,12.8,10.3,.500,23.1,33.3,.154,.445,22.4,48.6,.382
14,2011-12-29,@,LouisianaâMonroe,REG (Conf),W,76,71,OT,106.6,99.6,63.4,.736,.245,.531,58.1,63.6,9.8,5.0,.453,17.3,48.4,.528,.509,19.7,32.3,.250
15,2011-12-31,"",Florida International,REG (Conf),L,63,81,"",86.0,110.6,73.3,.382,.455,.485,52.2,68.4,4.1,13.5,.409,20.7,23.7,.327,.480,11.6,12.9,.660
16,2012-01-05,"",LouisianaâLafayette,REG (Conf),L,70,72,OT,89.7,92.2,69.4,.253,.240,.417,46.3,44.0,10.2,2.2,.360,9.7,31.1,.213,.508,22.5,34.3,.164
17,2012-01-07,"",Troy,REG (Conf),L,65,67,"",95.7,98.6,67.9,.315,.463,.524,47.6,65.2,11.8,7.3,.491,19.5,30.0,.222,.492,18.8,36.4,.115
18,2012-01-12,@,North Texas,REG (Conf),L,67,84,"",89.5,112.2,74.9,.103,.321,.410,47.9,29.6,8.0,9.3,.391,9.9,31.9,.077,.618,17.5,23.1,.291
19,2012-01-15,@,Denver,REG (Conf),L,65,78,"",106.9,128.3,60.8,.388,.306,.560,53.2,54.5,4.9,16.7,.510,15.9,30.8,.306,.702,15.5,19.0,.255
20,2012-01-21,"",Little Rock,REG (Conf),W,65,53,"",96.7,78.9,67.2,.286,.446,.511,50.0,56.5,10.4,12.5,.464,12.4,18.8,.232,.461,23.7,14.3,.118
21,2012-01-26,@,Florida Atlantic,REG (Conf),L,66,67,"",97.7,99.2,67.6,.364,.182,.512,52.5,47.8,10.4,0.0,.455,16.8,32.3,.291,.509,17.4,25.0,.222
22,2012-01-28,@,Florida International,REG (Conf),W,61,51,"",82.3,68.8,74.1,.483,.448,.428,52.5,81.3,12.1,2.4,.362,18.3,32.5,.328,.330,23.6,27.5,.302
23,2012-02-04,"",South Alabama,REG (Conf),W,75,66,"",119.4,105.1,62.8,.321,.264,.614,53.3,44.8,11.1,10.9,.604,18.6,44.0,.208,.482,13.2,40.0,.193
24,2012-02-09,@,Middle Tennessee,REG (Conf),L,64,72,"",84.1,94.6,76.1,.215,.323,.447,47.1,50.0,5.3,7.1,.385,16.3,28.9,.215,.410,11.5,38.3,.254
25,2012-02-11,@,Troy,REG (Conf),L,77,83,"",100.6,108.4,76.5,.422,.406,.501,46.7,46.2,5.2,9.5,.477,14.5,30.0,.250,.508,14.9,34.3,.367
26,2012-02-16,"",Florida Atlantic,REG (Conf),W,64,57,"",95.4,84.9,67.1,.491,.164,.472,50.0,31.8,7.5,8.7,.409,17.1,44.1,.345,.408,20.1,44.7,.062
27,2012-02-18,@,South Alabama,REG (Conf),L,61,66,"",82.3,89.1,74.1,.190,.270,.444,43.2,42.3,6.7,11.5,.437,18.9,26.3,.095,.387,17.2,38.9,.290
28,2012-02-23,"",Arkansas State,REG (Conf),W,79,76,"",111.7,107.5,70.7,.522,.370,.688,31.4,65.4,9.9,12.2,.630,21.8,9.1,.457,.417,15.3,51.7,.574
