Gtm,Date,Location,Opp_name,Type,Rslt,Tm,Opp_score,OT,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,eFG%_opp,TOV%_opp,ORB%_opp,FT/FGA_opp
1,2011-11-13,"",Charleston Southern,REG (Non-Conf),W,85,57,"",109.7,73.6,77.5,.397,.379,.617,60.9,54.8,6.5,23.7,.629,17.9,48.1,.207,.331,24.2,29.7,.258
2,2011-11-17,N,Colorado,REG (Non-Conf),W,67,58,"",97.2,84.2,68.9,.133,.383,.525,58.5,44.4,14.5,7.9,.517,19.0,33.3,.083,.480,22.7,15.6,.224
3,2011-11-18,N,Alabama,REG (Non-Conf),L,60,70,"",84.3,98.3,71.2,.231,.308,.416,52.6,40.9,9.8,11.1,.392,19.1,38.6,.138,.443,16.4,28.1,.434
4,2011-11-20,N,Temple,REG (Non-Conf),L,74,78,OT,94.7,99.8,69.5,.314,.286,.460,50.6,51.7,6.4,15.9,.443,11.1,29.5,.171,.508,14.0,21.2,.242
5,2011-11-25,N,UAB,REG (Non-Conf),W,68,46,"",99.8,67.5,68.2,.566,.264,.506,58.7,57.1,8.8,2.7,.425,16.2,41.4,.434,.330,20.8,26.5,.208
6,2011-12-01,"",Cal State Fullerton,REG (Non-Conf),W,75,60,"",98.7,78.9,76.0,.411,.304,.560,57.6,63.0,11.8,6.1,.527,21.2,32.3,.286,.510,28.4,14.3,.157
7,2011-12-04,"",UNLV,REG (Non-Conf),W,89,70,"",146.0,114.8,61.0,.352,.426,.706,52.9,62.5,4.9,3.2,.704,8.7,33.3,.241,.520,10.2,29.6,.333
8,2011-12-07,@,Tulsa,REG (Non-Conf),W,77,67,"",116.5,101.3,66.1,.609,.283,.649,55.8,50.0,7.6,16.1,.587,16.8,18.2,.500,.540,12.9,16.7,.260
9,2011-12-10,"",Utah State,REG (Non-Conf),W,83,76,"",117.5,107.6,70.6,.491,.439,.590,63.6,61.5,4.2,13.5,.553,15.6,43.3,.351,.587,16.2,12.0,.288
10,2011-12-14,"",Chicago State,REG (Non-Conf),W,94,44,"",120.7,56.5,77.9,.389,.486,.551,64.2,75.0,12.8,13.9,.507,9.5,41.0,.292,.291,22.8,14.3,.218
11,2011-12-19,"","",REG (Non-Conf),W,102,53,"",125.5,65.2,81.3,.371,.290,.699,60.0,53.8,18.5,7.0,.694,18.0,36.4,.258,.313,21.8,26.3,.203
12,2011-12-28,@,Bradley,REG (Conf),W,90,51,"",124.8,70.7,72.1,.349,.254,.613,61.6,54.5,15.3,4.9,.579,16.0,50.0,.270,.282,18.9,30.2,.364
13,2011-12-31,"",Creighton,REG (Conf),L,61,68,"",88.8,99.0,68.7,.439,.456,.443,55.4,47.4,7.3,7.7,.377,12.7,29.4,.316,.500,15.0,16.1,.259
14,2012-01-04,@,Evansville,REG (Conf),W,67,66,"",112.8,111.1,59.4,.295,.250,.668,60.0,57.7,8.4,14.3,.636,23.0,31.6,.250,.529,12.0,22.6,.212
15,2012-01-07,@,Southern Illinois,REG (Conf),W,83,73,"",117.9,103.7,70.4,.431,.328,.594,54.8,44.8,7.1,0.0,.569,15.7,35.3,.293,.547,15.8,21.4,.283
16,2012-01-10,"",Illinois State,REG (Conf),W,65,62,"",105.2,100.3,61.8,.415,.340,.512,53.1,40.9,4.9,14.3,.453,11.2,30.3,.321,.462,13.0,22.6,.245
17,2012-01-13,"",Bradley,REG (Conf),W,78,41,"",117.4,61.7,66.4,.288,.346,.660,60.9,58.6,9.0,4.3,.635,19.1,31.8,.231,.305,15.6,23.8,.085
18,2012-01-15,@,Indiana State,REG (Conf),W,75,65,"",118.2,102.4,63.5,.558,.385,.570,47.9,47.6,7.9,6.8,.500,12.0,36.4,.442,.437,13.6,42.5,.159
19,2012-01-18,@,Northern Iowa,REG (Conf),W,71,68,"",110.9,106.3,64.0,.500,.396,.598,48.1,34.8,9.4,3.1,.531,11.9,15.4,.417,.538,14.4,19.2,.231
20,2012-01-21,"",Southern Illinois,REG (Conf),W,85,42,"",120.1,59.4,70.8,.361,.262,.595,52.3,51.5,11.3,17.5,.574,11.2,30.0,.246,.360,27.5,28.6,.120
21,2012-01-25,"",Evansville,REG (Conf),W,86,74,"",120.6,103.8,71.3,.696,.196,.703,57.1,65.5,5.6,15.2,.674,15.2,13.3,.522,.475,12.4,23.5,.283
22,2012-01-28,@,Drake,REG (Conf),L,86,93,3OT,93.4,101.0,67.0,.250,.329,.506,46.9,48.4,11.9,5.4,.454,17.5,24.4,.224,.473,12.6,30.0,.329
23,2012-02-01,@,Missouri State,REG (Conf),W,74,67,"",114.5,103.6,64.7,.255,.382,.600,54.5,59.3,6.2,8.6,.564,14.0,30.8,.218,.509,13.8,24.1,.179
24,2012-02-04,"",Indiana State,REG (Conf),W,71,66,"",100.8,93.7,70.4,.536,.143,.505,48.5,43.5,9.9,20.5,.420,11.4,26.7,.429,.459,16.9,34.2,.164
25,2012-02-08,"",Northern Iowa,REG (Conf),W,82,57,"",133.3,92.6,61.5,.068,.322,.673,59.3,60.6,9.8,6.7,.661,11.6,33.3,.068,.471,16.1,20.0,.176
26,2012-02-11,@,Creighton,REG (Conf),W,89,68,"",136.4,104.2,65.3,.309,.291,.706,63.2,53.1,0.0,8.8,.655,12.5,36.4,.309,.447,8.2,20.0,.298
27,2012-02-15,"",Missouri State,REG (Conf),W,73,58,"",118.6,94.3,61.5,.357,.452,.743,52.9,68.0,6.5,6.1,.726,19.6,10.5,.286,.445,8.5,21.9,.016
28,2012-02-18,@,Davidson,REG (Non-Conf),W,91,74,"",128.6,104.5,70.8,.382,.164,.700,60.0,42.9,4.2,17.1,.682,13.3,23.8,.291,.508,10.3,17.6,.177
29,2012-02-22,@,Illinois State,REG (Conf),W,68,55,"",104.3,84.3,65.2,.145,.418,.578,50.0,57.7,13.8,5.3,.564,19.2,23.3,.109,.434,17.9,25.0,.170
30,2012-02-25,"",Drake,REG (Conf),W,81,58,"",108.2,77.4,74.9,.308,.385,.544,59.4,55.2,10.7,22.2,.492,11.8,30.3,.262,.432,19.2,9.7,.119
31,2012-03-02,N,Indiana State,CTOURN,W,72,48,"",108.0,72.0,66.7,.081,.226,.559,64.5,48.4,13.5,16.7,.556,16.8,42.3,.048,.317,16.2,19.4,.288
32,2012-03-03,N,Illinois State,CTOURN,L,64,65,"",94.4,95.9,67.8,.270,.365,.450,54.1,27.3,5.9,8.6,.405,16.5,36.8,.206,.402,10.7,27.8,.357
