Gtm,Date,Location,Opp_name,Type,Rslt,Tm,Opp_score,OT,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,eFG%_opp,TOV%_opp,ORB%_opp,FT/FGA_opp
1,2011-11-11,"",Morgan State,REG (Non-Conf),W,74,63,"",97.0,82.6,76.3,.421,.246,.541,52.2,64.3,10.5,16.3,.544,18.0,27.3,.211,.345,13.8,25.0,.397
2,2011-11-15,"",IPFW,REG (Non-Conf),W,86,63,"",112.1,82.1,76.7,.386,.368,.638,50.7,59.4,7.8,20.9,.658,19.2,24.1,.193,.358,15.6,31.0,.224
3,2011-11-18,"",Miami (OH),REG (Non-Conf),W,66,60,"",96.6,87.8,68.3,.350,.150,.472,54.1,53.8,16.1,13.3,.450,11.4,31.4,.200,.510,24.8,15.4,.204
4,2011-11-25,"",Georgia,REG (Non-Conf),W,70,56,"",103.8,83.1,67.4,.612,.163,.553,58.2,66.7,7.4,10.0,.520,18.1,35.7,.388,.384,18.0,25.6,.232
5,2011-11-28,@,Vanderbilt,REG (Non-Conf),W,82,70,OT,102.8,87.8,70.9,.365,.203,.472,61.5,28.6,10.0,9.5,.419,13.0,47.6,.270,.477,20.5,22.2,.141
6,2011-12-03,"",Purdue,REG (Non-Conf),W,66,63,"",97.2,92.8,67.9,.659,.293,.613,56.6,40.9,8.8,7.9,.610,29.0,40.9,.390,.455,16.5,32.3,.214
7,2011-12-07,@,Butler,REG (Non-Conf),W,73,61,"",98.1,81.9,74.4,.698,.226,.517,48.0,42.9,10.7,2.4,.415,15.6,30.3,.547,.323,17.5,38.1,.339
8,2011-12-10,"",Cincinnati,REG (Non-Conf),W,76,53,"",110.6,77.1,68.7,.321,.250,.589,53.8,55.2,8.7,17.8,.563,15.7,35.5,.232,.287,12.2,29.4,.295
9,2011-12-18,"",Oral Roberts,REG (Non-Conf),L,42,64,"",65.4,99.6,64.2,.212,.212,.367,54.1,64.7,3.1,13.9,.337,22.9,31.3,.135,.509,12.8,20.7,.125
10,2011-12-22,N,Long Beach State,REG (Non-Conf),L,58,68,"",89.6,105.0,64.7,.255,.235,.507,46.2,39.1,9.3,10.0,.480,20.8,28.6,.176,.541,15.0,33.3,.306
11,2011-12-24,N,Hawaii,REG (Non-Conf),L,82,84,OT,99.3,101.7,73.4,.373,.358,.520,52.1,40.0,12.1,1.9,.515,15.1,34.2,.194,.508,16.8,28.6,.277
12,2011-12-25,N,Southern Illinois,REG (Non-Conf),W,87,77,"",114.3,101.1,76.1,.941,.157,.589,48.4,54.2,7.9,10.0,.500,11.9,33.3,.706,.436,12.0,38.2,.229
13,2011-12-31,"",Gonzaga,REG (Non-Conf),L,65,72,"",89.6,99.2,72.6,.322,.305,.478,39.7,36.0,16.5,10.0,.449,13.9,17.1,.203,.508,20.2,36.4,.203
14,2012-01-04,@,La Salle,REG (Conf),L,70,80,"",91.0,104.0,77.0,.323,.226,.490,54.9,48.0,5.2,10.3,.435,16.4,22.6,.258,.469,8.4,20.0,.292
15,2012-01-07,@,Fordham,REG (Conf),W,67,59,"",101.6,89.5,66.0,.393,.268,.504,59.4,78.3,6.1,10.0,.464,16.4,37.5,.268,.434,12.4,21.6,.245
16,2012-01-11,"",Duquesne,REG (Conf),W,78,50,"",133.6,85.7,58.4,.250,.286,.623,58.7,62.5,10.3,15.8,.616,14.9,53.6,.161,.370,12.7,37.1,.185
17,2012-01-14,"",St. Bonaventure,REG (Conf),W,77,64,"",108.1,89.8,71.2,.352,.296,.611,51.8,74.1,8.4,0.0,.574,18.2,21.4,.278,.441,19.6,17.9,.373
18,2012-01-18,"",Saint Joseph's,REG (Conf),W,68,55,"",103.9,84.0,65.4,.273,.291,.547,44.8,66.7,10.7,18.4,.527,11.4,25.9,.182,.411,23.8,38.7,.161
19,2012-01-21,@,Dayton,REG (Conf),L,72,87,"",103.1,124.6,69.9,.429,.250,.534,40.3,61.5,5.7,3.8,.536,11.8,17.6,.214,.602,14.0,32.1,.407
20,2012-01-25,"",Saint Louis,REG (Conf),L,68,73,"",98.2,105.4,69.3,.762,.310,.594,50.0,64.7,7.2,13.3,.464,22.9,21.7,.690,.500,16.8,27.6,.431
21,2012-01-28,@,Charlotte,REG (Conf),W,74,70,"",110.0,104.1,67.3,.271,.254,.556,46.7,62.1,8.9,0.0,.534,11.9,25.0,.186,.500,18.7,28.6,.400
22,2012-02-01,@,George Washington,REG (Conf),W,59,58,"",90.9,89.4,64.9,.377,.226,.472,51.4,59.1,4.6,2.4,.462,13.8,21.2,.189,.435,9.6,23.1,.065
23,2012-02-04,@,Memphis,REG (Non-Conf),L,68,72,"",98.2,104.0,69.2,.278,.278,.556,52.8,68.0,5.8,2.7,.519,17.5,21.7,.222,.471,15.7,23.3,.471
24,2012-02-08,"",Rhode Island,REG (Conf),W,84,66,"",104.7,82.3,80.2,.439,.193,.610,63.9,63.3,11.2,17.1,.553,19.8,30.8,.368,.413,18.5,11.4,.222
25,2012-02-11,@,Temple,REG (Conf),L,72,85,"",101.9,120.3,70.6,.288,.237,.537,41.5,46.2,9.9,5.0,.492,14.1,23.3,.237,.542,11.7,42.9,.333
26,2012-02-18,"",Dayton,REG (Conf),W,86,83,OT,106.2,102.5,72.0,.638,.207,.569,48.6,28.6,8.6,11.8,.517,16.6,27.3,.448,.477,18.0,34.1,.323
27,2012-02-21,@,Massachusetts,REG (Conf),L,73,80,"",93.8,102.8,77.8,.288,.407,.544,58.1,75.0,9.0,8.8,.500,23.0,28.6,.237,.525,15.7,17.6,.262
28,2012-02-25,"",Richmond,REG (Conf),W,65,57,"",103.7,90.9,62.7,.274,.177,.464,63.3,44.0,9.6,10.0,.419,13.6,48.6,.210,.531,21.4,13.0,.125
29,2012-02-28,@,Saint Louis,REG (Conf),L,59,70,"",88.8,105.3,66.5,.346,.250,.487,53.8,52.4,3.0,13.9,.452,16.5,29.4,.231,.439,10.5,19.4,.351
30,2012-03-03,"",Charlotte,REG (Conf),W,72,63,"",106.3,93.0,67.7,.491,.263,.512,47.1,44.0,13.3,20.0,.465,10.2,30.6,.333,.442,17.5,35.3,.167
31,2012-03-09,N,Dayton,CTOURN,W,70,69,"",106.7,105.2,65.6,.580,.260,.549,54.4,41.7,4.6,14.3,.520,11.1,25.9,.360,.463,11.0,20.0,.352
32,2012-03-10,N,Saint Louis,CTOURN,W,71,64,"",111.4,100.4,63.7,.467,.244,.646,55.8,37.5,4.7,6.7,.589,16.7,20.0,.400,.463,12.4,21.9,.259
33,2012-03-11,N,St. Bonaventure,CTOURN,L,56,67,"",86.9,104.0,64.5,.322,.220,.412,40.3,35.0,7.8,2.9,.356,8.1,28.6,.237,.441,18.2,44.4,.431
