Gtm,Date,Location,Opp_name,Type,Rslt,Tm,Opp_score,OT,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,eFG%_opp,TOV%_opp,ORB%_opp,FT/FGA_opp
1,2012-11-11,"",UT Martin,REG (Non-Conf),W,80,57,"",102.4,72.9,78.2,.458,.356,.557,62.8,67.9,7.7,22.2,.551,20.9,38.2,.254,.328,11.6,18.2,.194
2,2012-11-13,"",Mississippi Valley State,REG (Non-Conf),W,102,60,"",123.0,72.3,83.0,.357,.257,.623,71.4,51.3,8.4,15.6,.614,15.5,48.3,.229,.398,17.0,12.2,.141
3,2012-11-18,"",North Carolina A&T,REG (Non-Conf),W,93,39,"",113.9,47.8,81.7,.329,.400,.575,57.1,66.7,18.4,27.3,.600,13.8,33.3,.129,.174,19.7,27.3,.242
4,2012-11-20,"",Campbell,REG (Non-Conf),W,91,72,"",114.3,90.4,79.6,.531,.359,.568,65.7,40.6,11.3,18.0,.570,14.9,40.0,.281,.516,15.8,8.6,.148
5,2012-11-23,N,Iowa State,REG (Non-Conf),W,78,70,"",98.8,88.7,78.9,.417,.333,.543,48.6,44.0,13.9,12.5,.458,15.3,25.8,.383,.433,18.1,33.3,.179
6,2012-11-24,N,Oregon,REG (Non-Conf),W,77,66,"",106.5,91.3,72.3,.422,.375,.501,48.8,54.2,13.8,7.9,.461,16.3,42.9,.281,.391,21.6,44.7,.418
7,2012-12-01,"",Alabama,REG (Non-Conf),W,58,56,"",92.0,88.8,63.0,.237,.186,.442,47.5,30.4,14.3,17.4,.407,14.4,39.4,.169,.474,20.4,42.3,.035
8,2012-12-06,"",Little Rock,REG (Non-Conf),W,87,53,"",103.0,62.7,84.5,.338,.282,.528,57.8,58.8,27.2,14.3,.514,17.1,40.6,.197,.430,35.3,25.0,.200
9,2012-12-08,"",Maryland Eastern Shore,REG (Non-Conf),W,92,60,"",117.5,76.6,78.3,.200,.387,.560,64.5,66.7,7.7,20.9,.553,14.6,52.9,.120,.343,14.5,26.2,.209
10,2012-12-15,N,Marshall,REG (Non-Conf),W,72,56,"",109.1,84.8,66.0,.203,.266,.513,55.6,48.3,13.6,9.7,.500,13.6,45.2,.125,.488,26.4,34.4,.326
11,2012-12-19,N,Xavier,REG (Non-Conf),W,60,45,"",90.4,67.8,66.3,.297,.375,.411,57.5,38.1,13.6,20.0,.367,15.1,46.2,.203,.396,20.1,29.4,.057
12,2012-12-22,"",Wright State,REG (Non-Conf),W,68,58,"",99.6,85.0,68.3,.309,.265,.436,56.8,46.2,8.8,26.3,.419,11.4,43.6,.162,.390,14.0,31.0,.203
13,2012-12-27,"",New Mexico,REG (Non-Conf),L,54,55,"",84.3,85.9,64.1,.063,.406,.410,54.7,55.0,10.9,11.4,.398,14.3,40.0,.047,.454,19.1,27.6,.111
14,2012-12-31,@,Pittsburgh,REG (Conf),W,70,61,"",111.6,97.2,62.8,.686,.314,.518,52.6,33.3,4.8,9.5,.441,10.6,42.9,.490,.442,12.3,37.9,.288
15,2013-01-05,"",St. John's (NY),REG (Conf),L,52,53,"",73.5,74.9,70.7,.183,.433,.399,49.3,42.1,11.3,6.5,.383,19.7,25.0,.100,.409,22.0,24.2,.145
16,2013-01-07,"",Notre Dame,REG (Conf),L,60,66,"",104.0,114.4,57.7,.224,.429,.553,58.7,78.3,3.5,15.6,.561,14.2,27.3,.102,.594,11.4,12.5,.188
17,2013-01-12,@,Rutgers,REG (Conf),W,68,58,"",115.0,98.1,59.1,.604,.415,.499,54.3,30.0,6.8,11.1,.425,8.1,41.7,.434,.425,12.8,32.4,.245
18,2013-01-15,@,DePaul,REG (Conf),W,75,70,"",106.0,98.9,70.8,.738,.310,.661,52.7,60.0,2.8,23.1,.667,25.1,25.0,.452,.485,12.5,25.8,.091
19,2013-01-19,"",Marquette,REG (Conf),W,71,69,OT,99.6,96.8,63.3,.500,.448,.495,48.6,55.0,7.0,32.4,.414,13.3,36.8,.397,.387,12.5,38.9,.339
20,2013-01-21,@,Syracuse,REG (Conf),L,55,57,"",100.8,104.5,54.5,.182,.582,.460,56.9,72.2,3.7,3.1,.418,13.1,40.6,.164,.520,10.1,23.1,.100
21,2013-01-30,"",Rutgers,REG (Conf),W,62,54,"",91.9,80.0,67.5,.604,.438,.502,60.4,77.8,10.4,25.8,.427,21.6,43.3,.438,.458,27.3,17.4,.208
22,2013-02-02,@,Seton Hall,REG (Conf),W,65,59,"",101.3,91.9,64.2,.551,.531,.526,52.9,72.2,14.0,18.2,.449,16.3,35.5,.429,.436,18.1,32.4,.200
23,2013-02-06,@,Providence,REG (Conf),L,50,54,"",86.5,93.4,57.8,.417,.271,.435,56.9,44.4,8.7,9.4,.406,19.6,42.4,.229,.449,14.9,28.1,.204
24,2013-02-09,"",Pittsburgh,REG (Conf),L,52,62,"",85.1,101.4,61.1,.423,.481,.416,49.1,50.0,6.5,8.3,.346,13.8,25.8,.308,.500,11.0,23.1,.409
