Gtm,Date,Location,Opp_name,Type,Rslt,Tm,Opp_score,OT,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,eFG%_opp,TOV%_opp,ORB%_opp,FT/FGA_opp
1,2012-11-09,"",Montana,REG (Non-Conf),W,72,65,"",109.6,98.9,65.7,.774,.151,.497,70.2,35.0,7.6,0.0,.387,11.0,51.6,.585,.534,19.1,7.7,.409
2,2012-11-15,"","",REG (Non-Conf),W,93,50,"",128.5,69.1,72.4,.354,.246,.612,65.5,48.6,16.6,21.9,.562,9.5,54.5,.308,.330,24.1,27.8,.340
3,2012-11-21,@,Denver,REG (Non-Conf),W,60,53,"",90.1,79.6,66.6,.358,.283,.484,62.2,54.5,4.5,9.4,.462,18.4,34.4,.208,.336,9.3,16.7,.197
4,2012-11-24,@,Washington,REG (Non-Conf),W,73,55,"",116.9,88.1,62.4,.149,.269,.509,67.8,51.7,6.4,5.1,.493,13.3,59.4,.104,.470,14.9,22.2,.160
5,2012-11-26,"",Northern Colorado,REG (Non-Conf),W,85,69,"",128.9,104.6,66.0,.426,.352,.655,57.4,72.4,7.6,0.0,.593,15.6,41.7,.389,.466,10.4,32.4,.237
6,2012-12-01,"",Evansville,REG (Non-Conf),W,79,72,"",114.5,104.3,69.0,.481,.278,.595,70.9,46.2,11.6,9.1,.546,17.4,48.1,.370,.600,16.5,7.1,.109
7,2012-12-05,@,Colorado,REG (Non-Conf),L,61,70,"",94.3,108.3,64.7,.271,.322,.458,59.1,28.6,6.2,8.1,.407,16.3,42.9,.220,.520,9.8,22.6,.360
8,2012-12-08,@,IllinoisâChicago,REG (Non-Conf),L,55,64,"",88.7,103.3,62.0,.351,.175,.414,65.1,52.6,4.8,13.8,.368,18.4,58.8,.228,.450,14.2,27.6,.380
9,2012-12-17,"",North Florida,REG (Non-Conf),W,83,55,"",128.5,85.1,64.6,.295,.180,.597,64.4,71.0,12.4,8.3,.566,10.3,42.9,.230,.500,21.8,16.1,.170
10,2012-12-19,"",Cal State Bakersfield,REG (Non-Conf),W,78,58,"",116.5,86.6,67.0,.519,.296,.579,57.6,66.7,4.5,7.4,.546,11.8,32.3,.352,.441,18.2,14.3,.255
11,2012-12-22,N,Portland,REG (Non-Conf),W,70,53,"",113.5,85.9,61.7,.259,.259,.537,50.8,35.7,9.7,0.0,.491,9.7,34.5,.224,.434,18.3,33.3,.132
12,2012-12-23,N,Virginia Tech,REG (Non-Conf),W,88,52,"",137.0,81.0,64.2,.429,.381,.580,58.3,73.3,10.9,6.3,.563,7.3,48.6,.270,.415,19.8,32.4,.151
13,2012-12-29,"","",REG (Non-Conf),W,80,55,"",104.2,71.6,76.8,.383,.233,.564,58.5,55.2,6.5,9.5,.533,16.5,26.5,.267,.355,11.5,18.8,.087
14,2013-01-02,"",UTEP,REG (Non-Conf),W,62,58,"",99.3,92.9,62.4,.460,.180,.509,54.7,36.4,6.4,9.1,.460,15.3,28.1,.320,.418,11.8,18.8,.347
15,2013-01-05,"",St. Bonaventure,REG (Non-Conf),W,85,64,"",122.0,91.8,69.7,.527,.291,.618,66.2,48.3,4.3,16.2,.582,13.8,40.7,.382,.421,9.0,17.1,.175
16,2013-01-12,@,San Diego State,REG (Conf),L,72,79,OT,94.8,104.0,67.5,.253,.293,.428,60.0,33.3,5.3,9.1,.400,10.6,40.0,.160,.492,10.9,17.5,.290
17,2013-01-16,"",Air Force,REG (Conf),W,79,40,"",119.9,60.7,65.9,.418,.327,.599,66.7,71.4,7.6,3.7,.564,17.5,42.9,.309,.402,28.4,10.3,.065
