Gtm,Date,Location,Opp_name,Type,Rslt,Tm,Opp_score,OT,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,eFG%_opp,TOV%_opp,ORB%_opp,FT/FGA_opp
1,2012-11-09,"","",REG (Non-Conf),W,93,67,"",121.4,87.5,76.6,.364,.333,.601,54.9,65.6,5.2,23.7,.561,9.4,24.2,.288,.439,14.5,18.4,.298
2,2012-11-13,@,New Mexico,REG (Non-Conf),L,81,86,"",109.2,115.9,74.2,.313,.469,.551,41.9,66.7,5.4,5.4,.516,9.8,25.7,.234,.444,12.8,37.0,.704
3,2012-11-17,@,Milwaukee,REG (Non-Conf),L,68,73,"",91.3,98.0,74.5,.492,.237,.467,52.2,52.4,16.1,0.0,.390,16.1,31.4,.373,.500,20.9,25.0,.490
4,2012-11-22,N,Vanderbilt,REG (Non-Conf),W,75,62,"",116.7,96.5,64.3,.172,.362,.598,54.4,48.3,6.2,5.3,.578,12.5,31.0,.138,.500,16.7,21.4,.107
5,2012-11-23,N,West Virginia,REG (Non-Conf),W,63,60,"",94.4,89.9,66.8,.537,.390,.612,42.4,60.0,10.5,4.3,.561,28.0,22.7,.415,.433,19.0,45.9,.133
6,2012-11-25,N,Gonzaga,REG (Non-Conf),L,67,81,"",93.9,113.5,71.4,.362,.328,.493,42.6,47.6,12.6,2.9,.414,16.1,26.3,.328,.622,20.3,30.4,.408
7,2012-12-01,@,Chattanooga,REG (Conf),W,81,55,"",116.8,79.3,69.4,.293,.500,.613,50.0,77.8,8.7,2.6,.586,12.0,22.6,.224,.330,15.3,24.2,.440
8,2012-12-05,"",Charlotte,REG (Non-Conf),L,69,73,"",102.7,108.6,67.2,.532,.234,.586,41.1,52.2,6.0,0.0,.543,18.1,23.1,.383,.508,17.2,43.3,.220
9,2012-12-08,"",Wofford,REG (Conf),W,63,56,"",96.4,85.7,65.3,.408,.408,.538,56.3,45.0,9.2,20.0,.480,17.0,25.8,.327,.420,15.0,15.2,.161
10,2012-12-15,"",UNC Wilmington,REG (Non-Conf),W,77,61,"",122.0,96.6,63.1,.377,.415,.616,57.6,46.2,11.1,6.0,.575,13.8,34.6,.302,.500,12.7,24.2,.070
11,2012-12-22,@,Drexel,REG (Non-Conf),L,58,69,"",103.8,123.5,55.9,.372,.512,.573,27.1,52.6,10.7,5.3,.535,15.1,17.4,.279,.538,18.0,64.0,.226
12,2012-12-29,@,Richmond,REG (Non-Conf),W,70,64,"",104.5,95.5,67.0,.543,.326,.605,59.6,71.4,6.0,12.1,.511,23.7,25.0,.500,.520,14.9,10.7,.240
13,2013-01-02,N,Duke,REG (Non-Conf),L,50,67,"",77.1,103.4,64.8,.232,.339,.402,52.4,52.9,4.6,17.1,.339,18.4,30.8,.214,.511,17.5,12.5,.435
14,2013-01-05,"",UNC Greensboro,REG (Conf),W,85,53,"",121.9,76.0,69.7,.429,.476,.561,69.9,51.9,8.6,10.8,.492,13.7,51.4,.365,.389,17.4,11.1,.204
15,2013-01-12,@,Furman,REG (Conf),W,81,73,"",119.1,107.4,68.0,.310,.397,.609,51.7,42.9,11.8,5.7,.569,14.2,31.0,.259,.538,17.2,27.6,.327
16,2013-01-14,@,Georgia Southern,REG (Conf),L,57,70,"",101.1,124.2,56.4,.200,.473,.473,48.2,60.0,0.0,5.1,.455,7.7,30.3,.127,.582,7.9,26.1,.265
17,2013-01-17,"",The Citadel,REG (Conf),W,70,38,"",105.3,57.2,66.5,.386,.421,.519,54.4,50.0,19.6,12.0,.482,16.2,36.4,.263,.347,33.1,20.8,.361
18,2013-01-19,"",College of Charleston,REG (Conf),W,77,68,"",110.8,97.8,69.5,.444,.296,.589,57.4,38.5,7.2,6.5,.519,13.3,33.3,.389,.492,15.5,18.5,.169
19,2013-01-24,@,Western Carolina,REG (Conf),W,79,74,"",121.1,113.4,65.2,.468,.447,.688,53.6,60.0,4.6,6.7,.660,20.7,29.2,.362,.526,9.5,28.1,.224
20,2013-01-26,@,Appalachian State,REG (Conf),W,79,56,"",119.5,84.7,66.1,.404,.404,.637,55.4,55.6,7.6,4.9,.596,16.2,24.0,.327,.330,9.4,25.0,.396
21,2013-01-31,"",Samford,REG (Conf),W,71,51,"",120.3,86.4,59.0,.479,.375,.602,58.8,47.8,5.1,14.7,.531,12.0,30.4,.417,.457,15.8,17.9,.196
22,2013-02-02,@,Wofford,REG (Conf),W,68,57,"",110.6,92.7,61.5,.628,.209,.609,48.0,38.1,9.8,15.6,.512,12.5,12.5,.558,.490,17.9,19.2,.184
23,2013-02-07,"",Western Carolina,REG (Conf),W,73,59,"",105.6,85.4,69.1,.429,.464,.542,51.4,69.6,8.7,6.9,.473,14.0,32.3,.357,.391,13.1,34.1,.072
24,2013-02-09,"",Appalachian State,REG (Conf),W,87,52,"",120.5,72.0,72.2,.429,.339,.645,59.4,70.0,6.9,4.5,.598,12.9,25.0,.357,.333,15.7,22.2,.200
25,2013-02-14,@,College of Charleston,REG (Conf),W,75,59,"",110.4,86.8,68.0,.241,.444,.623,51.6,55.6,10.3,8.5,.593,16.6,16.0,.204,.444,14.1,25.6,.065
26,2013-02-16,@,The Citadel,REG (Conf),W,72,57,"",120.2,95.2,59.9,.383,.383,.648,50.0,70.8,13.4,3.1,.596,12.6,14.3,.340,.534,20.9,14.3,.227
27,2013-02-20,"",Furman,REG (Conf),W,73,36,"",123.4,60.9,59.2,.213,.361,.543,63.6,59.3,8.5,14.3,.508,8.2,39.4,.180,.284,17.7,12.1,.250
28,2013-02-23,"",Montana,REG (Non-Conf),W,93,87,OT,126.4,118.3,65.4,.475,.328,.622,48.4,53.3,8.2,2.1,.549,9.7,32.3,.426,.540,13.9,36.4,.323
29,2013-02-27,@,Elon,REG (Conf),W,69,63,"",105.7,96.5,65.3,.560,.460,.545,49.2,47.6,7.7,0.0,.500,12.4,22.6,.380,.500,16.6,23.3,.145
30,2013-03-02,"",Georgia Southern,REG (Conf),W,83,48,"",120.4,69.6,68.9,.400,.255,.634,57.1,54.8,13.1,14.7,.609,14.4,25.0,.291,.319,20.4,18.8,.383
31,2013-03-09,N,Georgia Southern,CTOURN,W,86,59,"",130.0,89.2,66.2,.440,.560,.711,52.0,71.4,4.5,2.6,.690,15.4,18.2,.340,.394,16.9,21.4,.468
32,2013-03-10,N,Appalachian State,CTOURN,W,65,62,"",104.9,100.1,61.9,.216,.373,.578,46.2,68.0,9.7,5.7,.569,16.4,17.9,.137,.531,18.0,20.8,.229
33,2013-03-11,N,College of Charleston,CTOURN,W,74,55,"",117.6,87.4,62.9,.412,.314,.607,53.1,46.4,3.2,8.5,.588,10.3,21.7,.275,.307,8.0,29.3,.351
