Gtm,Date,Location,Opp_name,Type,Rslt,Tm,Opp_score,OT,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,eFG%_opp,TOV%_opp,ORB%_opp,FT/FGA_opp
1,2012-11-09,"",Denver,REG (Non-Conf),W,65,58,"",105.8,94.4,61.4,.267,.267,.641,52.3,62.5,9.8,17.4,.600,26.2,25.0,.244,.533,21.5,25.0,.222
2,2012-11-16,N,Quinnipiac,REG (Non-Conf),L,92,98,OT,105.5,112.4,77.5,.403,.312,.501,47.0,30.0,8.0,4.3,.442,8.0,35.6,.312,.621,24.8,28.6,.448
3,2012-11-17,N,Wake Forest,REG (Non-Conf),W,94,68,"",123.3,89.2,76.2,.194,.418,.642,53.3,65.7,6.6,6.7,.627,15.1,39.1,.149,.422,20.2,37.8,.328
4,2012-11-19,N,IllinoisâChicago,REG (Non-Conf),L,81,86,"",107.3,113.9,75.5,.159,.362,.546,54.5,31.3,7.9,6.3,.514,14.9,33.3,.145,.582,15.9,20.0,.400
5,2012-11-28,"",Niagara,REG (Conf),W,83,72,"",113.3,98.3,73.3,.339,.419,.577,51.4,64.3,9.6,9.5,.548,16.3,40.6,.242,.477,16.9,39.5,.154
6,2012-12-05,@,Saint Peter's,REG (Conf),L,62,64,"",85.5,88.2,72.6,.375,.250,.470,50.7,45.5,9.6,4.5,.429,19.5,32.4,.250,.442,20.2,30.3,.183
7,2012-12-08,N,Rutgers,REG (Non-Conf),L,73,81,"",88.7,98.5,82.3,.286,.397,.510,34.3,54.2,12.2,2.2,.437,20.1,17.1,.286,.532,25.0,46.9,.242
8,2012-12-15,@,Georgia,REG (Non-Conf),W,81,78,OT,103.7,99.9,69.4,.254,.571,.574,29.7,62.1,11.5,4.1,.556,13.5,12.1,.175,.475,16.9,51.6,.328
9,2012-12-18,"",Liberty,REG (Non-Conf),W,87,69,"",129.4,102.7,67.2,.231,.631,.603,52.1,72.4,7.4,8.1,.585,11.1,41.7,.169,.465,14.6,37.8,.281
10,2012-12-20,@,La Salle,REG (Non-Conf),L,74,88,"",89.0,105.8,83.2,.113,.324,.495,48.7,35.5,12.0,3.7,.472,17.6,18.9,.099,.549,14.0,24.4,.141
11,2012-12-23,"",Norfolk State,REG (Non-Conf),W,100,72,"",127.0,91.4,78.8,.403,.433,.626,62.1,70.6,8.9,18.8,.582,14.0,35.3,.328,.525,16.3,9.4,.131
12,2012-12-28,@,Saint Joseph's,REG (Non-Conf),L,91,96,"",121.8,128.5,74.7,.216,.392,.558,56.1,57.1,2.7,2.8,.541,11.9,45.9,.149,.664,14.5,31.0,.328
13,2012-12-31,@,St. Bonaventure,REG (Non-Conf),W,93,74,"",121.9,97.0,76.3,.322,.458,.684,53.1,67.7,9.2,6.1,.636,18.1,29.2,.305,.436,13.4,32.5,.186
14,2013-01-04,@,Siena,REG (Conf),W,66,62,"",103.3,97.1,63.9,.310,.362,.496,45.5,54.5,4.7,9.8,.440,10.7,28.6,.259,.457,13.5,35.5,.155
15,2013-01-06,"",Manhattan,REG (Conf),W,78,70,"",110.3,99.0,70.7,.510,.314,.616,40.0,75.0,11.3,10.5,.569,17.0,21.7,.392,.527,23.1,44.4,.196
16,2013-01-10,@,Marist,REG (Conf),W,86,82,"",116.7,111.3,73.7,.137,.301,.553,50.8,42.9,16.3,5.6,.541,10.4,33.3,.096,.640,20.1,25.9,.158
17,2013-01-13,"",Canisius,REG (Conf),W,97,87,"",134.0,120.2,72.4,.277,.508,.659,48.4,65.7,9.7,11.1,.662,13.0,36.7,.169,.594,16.6,40.6,.172
18,2013-01-18,"",Fairfield,REG (Conf),W,84,73,"",118.4,102.9,71.0,.484,.313,.534,49.3,33.3,9.9,12.5,.492,9.2,38.9,.328,.492,15.4,40.5,.138
19,2013-01-20,@,Rider,REG (Conf),L,62,67,"",88.9,96.1,69.7,.464,.429,.454,40.6,36.8,11.5,7.9,.384,13.9,24.3,.339,.500,19.5,40.6,.136
20,2013-01-25,"",Saint Peter's,REG (Conf),W,90,71,"",130.5,102.9,69.0,.400,.345,.688,52.1,65.6,5.8,8.8,.691,8.4,13.6,.255,.555,12.2,15.4,.182
21,2013-01-27,@,Loyola (MD),REG (Conf),W,79,71,"",115.0,103.3,68.7,.463,.389,.600,49.3,42.3,4.4,8.3,.546,14.3,32.1,.370,.438,6.9,39.5,.111
22,2013-01-31,@,Niagara,REG (Conf),L,90,93,OT,111.0,114.7,72.1,.475,.377,.602,50.0,53.3,3.7,13.3,.549,18.5,34.4,.377,.464,6.0,39.6,.193
23,2013-02-02,@,Canisius,REG (Conf),L,74,77,"",104.6,108.9,70.7,.192,.397,.465,60.0,62.1,5.7,16.0,.445,11.2,43.9,.123,.527,11.7,20.6,.345
24,2013-02-07,"",Marist,REG (Conf),L,104,105,2OT,106.9,107.9,77.8,.329,.317,.548,52.7,61.1,7.2,3.4,.506,12.1,25.6,.256,.506,10.9,24.0,.238
25,2013-02-09,"",Rider,REG (Conf),W,78,71,"",119.6,108.9,65.2,.520,.280,.626,55.1,48.0,6.1,3.8,.570,12.6,29.2,.420,.587,15.5,20.0,.192
26,2013-02-15,@,Manhattan,REG (Conf),L,73,74,2OT,95.1,96.4,61.4,.308,.323,.490,43.7,44.0,11.7,6.5,.446,13.9,31.3,.231,.471,17.9,46.2,.147
27,2013-02-18,@,Fairfield,REG (Conf),L,64,66,"",99.8,102.9,64.2,.268,.250,.507,40.0,34.8,15.6,9.4,.446,11.2,21.9,.250,.500,20.0,39.3,.222
