Gtm,Date,Location,Opp_name,Type,Rslt,Tm,Opp_score,OT,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,eFG%_opp,TOV%_opp,ORB%_opp,FT/FGA_opp
1,2012-11-09,"",Gardner-Webb,REG (Non-Conf),W,76,59,"",100.9,78.3,75.3,.268,.169,.475,60.3,42.4,15.9,6.1,.472,18.4,48.8,.127,.455,25.4,25.7,.164
2,2012-11-11,"",Florida Atlantic,REG (Non-Conf),W,80,56,"",102.0,71.4,78.4,.380,.211,.477,59.0,74.2,8.9,15.6,.479,16.9,47.6,.169,.352,19.3,29.3,.213
3,2012-11-16,@,Long Beach State,REG (Non-Conf),W,78,63,"",100.7,81.3,77.5,.147,.347,.486,56.6,56.7,12.9,15.9,.467,13.9,40.0,.107,.399,15.8,23.7,.116
4,2012-11-19,N,Mississippi State,REG (Non-Conf),W,95,49,"",122.3,63.1,77.7,.115,.410,.577,54.2,59.5,18.0,20.9,.571,12.7,39.0,.077,.300,23.3,31.0,.217
5,2012-11-20,N,Butler,REG (Non-Conf),L,71,82,"",95.6,110.4,74.3,.190,.349,.517,42.9,48.1,12.1,0.0,.484,17.9,25.0,.159,.585,21.7,33.3,.377
6,2012-11-21,@,"",REG (Non-Conf),W,112,70,"",146.7,91.7,76.4,.304,.391,.709,59.4,60.5,19.6,16.1,.717,10.2,46.7,.188,.485,21.4,29.4,.108
7,2012-11-27,@,Indiana,REG (Non-Conf),L,59,83,"",76.0,106.9,77.7,.203,.116,.390,43.6,30.8,7.7,7.4,.384,13.7,22.5,.087,.500,11.1,34.2,.122
8,2012-12-01,"",UAB,REG (Non-Conf),W,102,84,"",113.2,93.2,90.1,.300,.329,.638,60.6,75.7,5.5,8.2,.600,20.0,38.7,.257,.500,18.1,20.0,.105
9,2012-12-08,"",East Tennessee State,REG (Non-Conf),W,78,55,"",98.7,69.6,79.0,.096,.425,.511,51.9,96.8,16.5,7.9,.500,15.5,30.8,.068,.395,24.5,26.3,.097
10,2012-12-15,"",East Carolina,REG (Non-Conf),W,93,87,"",115.4,107.9,80.6,.358,.209,.593,52.8,58.8,7.4,5.0,.552,13.3,26.5,.284,.493,10.1,23.7,.313
11,2012-12-19,@,Texas,REG (Non-Conf),L,67,85,"",78.6,99.7,85.3,.478,.284,.408,51.8,52.4,11.7,7.0,.336,18.0,37.8,.328,.446,13.1,31.6,.257
12,2012-12-22,"",McNeese State,REG (Non-Conf),W,97,63,"",124.8,81.0,77.7,.297,.378,.574,59.1,82.9,6.4,5.4,.561,14.2,48.8,.189,.377,10.9,31.9,.110
13,2012-12-29,"",UNLV,REG (Non-Conf),W,79,73,"",109.2,100.9,72.3,.600,.182,.559,44.8,42.9,16.6,7.1,.536,14.5,30.3,.364,.525,19.8,41.2,.186
14,2013-01-06,@,Virginia,REG (Conf),L,52,61,"",80.2,94.1,64.8,.333,.333,.440,49.2,47.4,6.2,5.7,.422,16.9,16.7,.176,.531,16.0,17.2,.184
15,2013-01-10,"",Miami (FL),REG (Conf),L,59,68,"",90.1,103.8,65.5,.133,.250,.462,51.7,62.5,13.7,11.1,.450,14.7,30.3,.083,.557,16.9,20.0,.170
16,2013-01-12,@,Florida State,REG (Conf),W,77,72,"",118.8,111.0,64.8,.267,.333,.570,65.4,55.2,7.7,7.1,.550,16.1,51.9,.183,.590,14.7,20.0,.260
17,2013-01-19,"",Maryland,REG (Conf),W,62,52,"",87.2,73.1,71.1,.277,.262,.421,45.8,60.9,15.5,12.2,.392,14.0,32.6,.169,.406,26.0,34.5,.170
18,2013-01-23,"",Georgia Tech,REG (Conf),W,79,63,"",96.8,77.2,81.7,.314,.243,.491,46.7,63.3,11.0,16.7,.471,14.8,27.3,.186,.387,19.6,34.8,.067
19,2013-01-26,@,NC State,REG (Conf),L,83,91,"",100.2,109.9,82.8,.141,.310,.548,44.6,63.6,7.2,7.7,.521,15.6,22.2,.127,.546,17.4,27.6,.308
20,2013-01-29,@,Boston College,REG (Conf),W,82,70,"",118.3,101.0,69.3,.323,.210,.573,56.9,66.7,2.9,2.8,.540,11.2,33.3,.242,.509,13.5,22.6,.232
21,2013-02-02,"",Virginia Tech,REG (Conf),W,72,60,OT,100.3,83.6,63.8,.422,.375,.469,56.9,66.7,8.4,6.1,.414,13.5,42.5,.297,.419,16.3,25.0,.129
22,2013-02-05,"",Wake Forest,REG (Conf),W,87,62,"",109.5,78.0,79.5,.403,.242,.589,50.7,62.5,8.8,0.0,.589,15.9,20.6,.226,.455,25.0,18.2,.218
23,2013-02-09,@,Miami (FL),REG (Conf),L,61,87,"",90.0,128.4,67.8,.092,.308,.450,43.1,40.0,4.4,9.7,.431,11.7,26.5,.077,.675,17.2,33.3,.175
24,2013-02-13,@,Duke,REG (Conf),L,68,73,"",94.8,101.8,71.7,.348,.273,.442,49.3,32.0,11.2,7.5,.417,14.5,40.9,.197,.500,20.6,37.9,.304
25,2013-02-16,"",Virginia,REG (Conf),W,93,81,"",132.4,115.3,70.2,.508,.475,.635,60.4,62.1,15.7,6.3,.602,8.7,34.5,.373,.698,19.4,8.3,.132
26,2013-02-19,@,Georgia Tech,REG (Conf),W,70,58,"",97.7,80.9,71.7,.258,.303,.472,46.8,76.0,19.5,5.4,.424,8.6,24.4,.212,.466,23.1,27.8,.069
27,2013-02-23,"",NC State,REG (Conf),W,76,65,"",107.2,91.7,70.9,.250,.328,.531,45.1,67.9,12.7,11.1,.508,11.2,25.7,.172,.484,19.2,36.1,.098
28,2013-02-28,@,Clemson,REG (Conf),W,68,59,"",105.1,91.2,64.7,.273,.400,.547,43.1,73.1,10.8,7.3,.545,12.7,22.6,.145,.431,19.2,38.2,.155
29,2013-03-03,"",Florida State,REG (Conf),W,79,58,"",119.2,87.5,66.3,.179,.268,.650,50.8,64.5,9.1,6.8,.634,15.3,29.2,.107,.403,17.5,34.3,.129
30,2013-03-06,@,Maryland,REG (Conf),W,79,68,"",113.2,97.5,69.8,.436,.436,.595,49.2,52.0,15.8,10.0,.545,15.3,33.3,.345,.452,16.6,37.1,.175
31,2013-03-09,"",Duke,REG (Conf),L,53,69,"",86.3,112.3,61.4,.210,.226,.389,46.6,47.6,9.8,5.9,.347,13.9,42.1,.161,.602,20.4,45.0,.204
32,2013-03-15,N,Florida State,CTOURN,W,83,62,"",121.8,91.0,68.1,.190,.349,.604,52.6,64.5,11.7,7.7,.571,9.2,32.1,.175,.480,23.2,27.6,.255
33,2013-03-16,N,Maryland,CTOURN,W,79,76,"",107.7,103.6,73.4,.426,.344,.539,45.7,44.4,8.2,7.5,.500,8.7,18.2,.295,.475,12.0,29.7,.295
34,2013-03-17,N,Miami (FL),CTOURN,L,77,87,"",117.8,133.1,65.4,.183,.483,.590,44.1,63.0,9.2,0.0,.558,10.9,28.1,.167,.610,10.5,37.0,.254
