Gtm,Date,Location,Opp_name,Type,Rslt,Tm,Opp_score,OT,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,eFG%_opp,TOV%_opp,ORB%_opp,FT/FGA_opp
1,2012-11-09,"","",REG (Non-Conf),W,118,77,"",125.1,81.6,94.3,.276,.316,.686,65.0,54.2,11.7,16.4,.697,17.3,33.3,.158,.424,16.6,16.0,.127
2,2012-11-12,@,Campbell,REG (Non-Conf),W,71,67,"",100.4,94.8,70.3,.381,.270,.477,53.4,64.3,7.1,10.3,.460,16.8,44.7,.206,.474,17.1,37.1,.207
3,2012-11-17,"","",REG (Non-Conf),W,92,43,"",117.8,55.1,78.1,.250,.279,.605,54.1,47.2,17.9,24.4,.574,13.6,36.7,.206,.287,27.6,34.1,.131
4,2012-11-20,@,Louisiana State,REG (Non-Conf),L,95,102,"",105.6,113.4,89.9,.538,.246,.582,44.0,34.4,13.3,7.3,.538,20.5,39.5,.385,.553,18.9,51.4,.439
5,2012-11-26,@,Texas A&M,REG (Non-Conf),L,65,78,"",93.1,111.7,69.8,.355,.403,.449,44.3,60.0,8.6,20.9,.379,15.2,33.3,.290,.623,17.1,40.0,.123
6,2012-11-30,@,Oklahoma,REG (Non-Conf),L,65,69,"",90.4,95.9,71.9,.310,.310,.488,45.5,27.3,7.0,9.1,.431,19.4,26.5,.259,.438,14.8,34.4,.357
7,2012-12-04,"",Louisiana Tech,REG (Non-Conf),W,89,83,"",102.3,95.4,87.0,.516,.274,.576,51.0,52.9,8.0,7.0,.589,22.2,36.1,.258,.393,12.5,40.0,.202
8,2012-12-15,"","",REG (Non-Conf),W,95,78,"",115.0,94.5,82.6,.303,.408,.546,49.4,56.8,14.5,6.8,.546,14.7,40.5,.158,.522,24.2,40.5,.119
9,2012-12-29,@,Arkansas,REG (Non-Conf),L,61,79,"",77.2,99.9,79.1,.677,.226,.372,39.8,52.9,11.4,9.6,.282,13.7,26.4,.419,.486,15.4,40.0,.141
10,2012-12-31,"","",REG (Non-Conf),W,102,52,"",129.0,65.8,79.1,.329,.250,.580,66.7,53.8,20.2,12.9,.553,10.2,48.7,.237,.383,28.2,15.4,.340
11,2013-01-03,"",McNeese State,REG (Conf),W,78,63,"",103.1,83.3,75.6,.219,.188,.552,50.7,46.9,6.6,16.7,.531,16.5,34.5,.156,.384,13.9,38.6,.096
12,2013-01-05,"",Lamar,REG (Conf),W,86,58,"",105.4,71.1,81.6,.493,.282,.491,49.5,46.4,14.7,9.0,.430,10.2,35.6,.352,.343,20.1,37.5,.143
13,2013-01-07,@,Sam Houston State,REG (Conf),W,73,64,"",103.0,90.3,70.9,.424,.339,.515,50.6,66.7,11.3,5.9,.492,14.5,32.5,.254,.427,19.3,29.7,.309
14,2013-01-10,@,Oral Roberts,REG (Conf),L,74,80,"",106.1,114.7,69.7,.185,.215,.523,33.3,41.4,12.9,10.9,.492,11.3,30.6,.154,.534,18.2,63.0,.310
15,2013-01-12,@,Central Arkansas,REG (Conf),W,100,88,"",121.8,107.2,82.1,.561,.333,.598,50.0,72.4,7.3,7.3,.530,15.2,38.5,.455,.471,12.4,39.0,.353
16,2013-01-17,"",Nicholls State,REG (Conf),L,78,93,"",89.5,106.7,87.2,.356,.178,.457,53.8,44.8,13.8,12.0,.425,21.2,43.9,.219,.532,16.5,35.1,.435
17,2013-01-19,"",Southeastern Louisiana,REG (Conf),W,103,68,"",131.3,86.7,78.4,.441,.294,.626,53.9,54.1,10.2,7.1,.625,8.9,34.3,.265,.429,19.9,29.3,.357
18,2013-01-26,"",Stephen F. Austin,REG (Conf),W,61,57,"",85.7,80.1,71.1,.439,.368,.443,42.3,42.9,19.7,21.6,.404,13.8,21.1,.263,.458,27.0,33.3,.271
19,2013-01-31,@,Lamar,REG (Conf),W,85,63,"",104.2,77.2,81.6,.183,.254,.551,55.7,62.9,18.4,11.9,.535,17.2,36.4,.127,.433,23.9,27.0,.183
20,2013-02-03,@,McNeese State,REG (Conf),W,86,74,"",113.5,97.6,75.8,.439,.364,.539,52.2,67.9,10.6,10.3,.470,11.1,35.1,.364,.500,15.5,28.1,.276
21,2013-02-07,"",Oral Roberts,REG (Conf),W,85,73,"",106.7,91.6,79.7,.338,.265,.538,50.7,58.1,26.4,6.4,.515,20.2,51.4,.221,.509,29.7,50.0,.309
22,2013-02-09,"",Central Arkansas,REG (Conf),W,93,73,"",105.6,82.9,88.1,.348,.391,.578,53.7,73.5,20.4,5.5,.572,20.7,37.5,.203,.465,24.3,31.0,.083
