Gtm,Date,Location,Opp_name,Type,Rslt,Tm,Opp_score,OT,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,eFG%_opp,TOV%_opp,ORB%_opp,FT/FGA_opp
1,2012-11-09,"",Indiana State,REG (Non-Conf),W,86,59,"",117.1,80.4,73.4,.732,.286,.570,63.6,63.0,6.8,14.7,.518,17.5,54.3,.500,.358,16.2,28.6,.267
2,2012-11-13,"",UC Irvine,REG (Non-Conf),W,80,79,OT,92.6,91.4,76.8,.365,.162,.461,43.3,50.0,12.7,5.9,.392,9.4,18.6,.297,.466,17.8,34.0,.151
3,2012-11-15,"",James Madison,REG (Non-Conf),W,100,70,"",131.1,91.8,76.3,.393,.262,.691,60.3,75.0,10.5,11.1,.664,15.2,30.8,.311,.484,14.6,18.9,.143
4,2012-11-19,N,Georgetown,REG (Non-Conf),L,70,78,"",94.8,105.6,73.9,.242,.288,.476,53.3,66.7,8.1,9.8,.447,15.0,28.1,.167,.609,17.3,17.9,.200
5,2012-11-20,N,Georgia,REG (Non-Conf),W,60,56,"",99.2,92.6,60.5,.667,.244,.506,50.0,26.3,9.9,5.6,.444,14.4,31.0,.444,.424,13.6,35.1,.102
6,2012-11-25,"",Cal Poly,REG (Non-Conf),L,68,70,"",105.5,108.6,64.5,.453,.245,.528,50.0,66.7,6.2,10.3,.500,12.3,23.3,.283,.528,11.2,26.5,.241
7,2012-11-28,"",Cal State Northridge,REG (Non-Conf),W,82,56,"",102.5,70.0,80.0,.219,.188,.580,56.9,76.5,13.7,19.1,.563,18.5,29.0,.156,.363,17.5,22.0,.041
8,2012-12-01,N,San Diego State,REG (Non-Conf),L,69,78,"",97.3,110.0,70.9,.172,.313,.498,56.1,59.3,8.5,3.7,.484,16.8,36.7,.109,.602,19.8,22.2,.241
9,2012-12-08,N,Texas,REG (Non-Conf),W,65,63,"",89.9,87.2,72.3,.270,.175,.457,48.0,42.3,12.5,7.1,.429,12.3,23.7,.175,.403,13.3,27.0,.210
10,2012-12-15,"",Prairie View A&M,REG (Non-Conf),W,95,53,"",125.2,69.9,75.9,.407,.390,.675,55.4,75.8,11.9,18.0,.636,16.6,28.0,.339,.383,21.1,27.5,.063
11,2012-12-18,"",Long Beach State,REG (Non-Conf),W,89,70,"",136.6,107.4,65.2,.321,.286,.689,53.6,63.6,15.3,5.7,.661,9.8,28.0,.268,.552,16.3,25.8,.103
