Gtm,Date,Location,Opp_name,Type,Rslt,Tm,Opp_score,OT,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,eFG%_opp,TOV%_opp,ORB%_opp,FT/FGA_opp
1,2013-11-08,@,Akron,REG (Non-Conf),L,63,72,"",81.3,93.0,77.5,.305,.237,.466,48.4,26.1,10.3,10.8,.441,22.8,33.3,.186,.483,19.2,32.1,.254
2,2013-11-11,"","",REG (Non-Conf),W,76,49,"",101.5,65.4,74.9,.233,.370,.469,53.4,57.1,16.0,22.6,.432,11.9,36.6,.178,.331,22.8,31.9,.129
3,2013-11-16,"",Ole Miss,REG (Non-Conf),L,70,72,"",85.2,87.6,82.2,.343,.386,.430,54.4,38.5,8.5,12.9,.407,12.8,23.3,.186,.480,17.9,8.3,.480
4,2013-11-19,@,Minnesota,REG (Non-Conf),L,72,82,"",100.6,114.5,71.6,.148,.370,.623,45.6,64.3,2.8,8.8,.602,22.7,16.0,.130,.500,10.9,31.3,.323
5,2013-11-23,"",St. Francis Brooklyn,REG (Non-Conf),W,70,59,"",95.4,80.4,73.4,.776,.163,.522,51.4,35.0,8.2,5.1,.418,19.3,25.8,.592,.364,14.2,30.2,.167
6,2013-11-24,"",LouisianaâLafayette,REG (Non-Conf),L,69,73,"",89.9,95.2,76.7,.377,.203,.424,54.5,32.0,14.3,4.0,.391,16.4,40.4,.217,.627,28.0,23.3,.176
7,2013-11-29,@,Clemson,REG (Non-Conf),L,40,69,"",59.4,102.5,67.3,.264,.283,.335,37.3,26.7,8.9,7.1,.302,21.2,18.4,.151,.509,18.2,37.9,.283
8,2013-12-04,"",Western Carolina,REG (Non-Conf),W,76,68,"",101.5,90.8,74.9,.404,.333,.559,56.3,44.4,9.3,3.3,.500,23.6,40.0,.333,.458,17.5,31.7,.237
9,2013-12-05,"","",REG (Non-Conf),W,89,54,"",123.8,75.1,71.9,.400,.483,.623,62.3,53.3,11.1,4.7,.608,15.4,44.8,.267,.394,17.0,25.0,.030
10,2013-12-14,"","",REG (Non-Conf),W,118,82,"",147.4,102.4,80.1,.532,.258,.760,72.1,45.2,6.2,2.9,.766,18.8,58.3,.371,.556,15.2,18.9,.210
11,2013-12-17,@,South Carolina State,REG (Non-Conf),L,78,83,"",101.1,107.6,77.1,.274,.371,.557,44.8,39.3,7.8,4.5,.516,17.6,29.0,.226,.476,16.1,41.7,.365
12,2013-12-21,@,Central Connecticut State,REG (Non-Conf),W,65,62,"",101.2,96.5,64.3,.148,.279,.498,59.4,28.0,6.2,11.1,.467,13.3,41.2,.131,.457,13.7,20.0,.155
13,2013-12-30,"",South Carolina State,REG (Non-Conf),L,58,68,"",91.2,107.0,63.6,.567,.450,.381,54.3,33.3,11.0,3.2,.325,12.6,46.8,.317,.541,14.5,30.4,.306
14,2014-01-03,"",Central Connecticut State,REG (Non-Conf),W,86,67,"",119.4,93.0,72.0,.410,.344,.590,64.3,46.7,8.3,13.6,.557,18.0,53.1,.295,.477,14.6,26.3,.094
15,2014-01-08,@,Charleston Southern,REG (Conf),L,58,70,"",86.9,104.8,66.8,.271,.271,.435,47.6,52.2,9.0,16.7,.415,14.2,27.0,.153,.561,16.7,23.1,.306
16,2014-01-11,@,Gardner-Webb,REG (Conf),W,81,69,"",110.1,93.8,73.5,.596,.255,.672,53.7,59.3,5.4,9.7,.649,24.0,20.0,.426,.455,14.9,26.5,.345
17,2014-01-15,"",UNC Asheville,REG (Conf),W,81,78,"",108.0,104.0,75.0,.210,.274,.594,48.6,35.5,9.3,4.4,.581,19.0,40.0,.145,.431,12.5,45.0,.222
18,2014-01-18,"",Winthrop,REG (Conf),L,72,73,OT,97.5,98.8,65.7,.458,.339,.501,59.0,40.9,10.8,0.0,.432,14.3,31.3,.356,.600,20.8,10.3,.260
