Gtm,Date,Location,Opp_name,Type,Rslt,Tm,Opp_score,OT,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,eFG%_opp,TOV%_opp,ORB%_opp,FT/FGA_opp
1,2013-11-09,"",IPFW,REG (Non-Conf),W,81,80,"",104.6,103.3,77.5,.365,.206,.548,53.6,48.3,6.5,9.1,.516,15.9,37.5,.254,.485,17.6,32.4,.262
2,2013-11-13,"",Saint Francis (PA),REG (Non-Conf),W,70,56,"",105.0,84.0,66.7,.540,.160,.557,58.1,26.1,13.5,3.2,.490,19.3,40.0,.420,.430,22.5,25.0,.260
3,2013-11-16,"",St. Francis Brooklyn,REG (Non-Conf),W,78,58,"",108.6,80.8,71.8,.612,.163,.617,49.1,44.0,9.7,9.1,.551,20.2,22.2,.490,.467,25.9,25.0,.356
4,2013-11-20,@,Georgia Tech,REG (Non-Conf),W,82,72,"",111.0,97.5,73.9,.439,.456,.595,48.2,63.0,23.0,7.7,.544,13.8,26.9,.351,.481,22.4,33.3,.396
5,2013-11-25,N,Gonzaga,REG (Non-Conf),W,84,79,"",116.3,109.3,72.3,.593,.356,.555,55.6,37.0,11.1,2.9,.534,13.7,37.8,.356,.528,13.2,19.2,.407
6,2013-11-26,N,Baylor,REG (Non-Conf),L,66,67,"",105.3,106.9,62.7,.170,.377,.576,37.3,58.3,16.0,7.3,.557,17.3,16.7,.132,.540,18.0,44.4,.260
7,2013-11-27,N,California,REG (Non-Conf),W,82,64,"",122.9,95.9,66.7,.328,.219,.554,52.9,35.5,9.0,14.0,.523,5.1,35.3,.234,.412,14.2,29.4,.298
8,2013-12-04,"",Delaware State,REG (Non-Conf),W,56,46,"",111.9,91.9,49.8,.614,.318,.493,52.0,70.0,8.0,13.0,.477,9.6,38.7,.318,.487,22.1,26.3,.237
9,2013-12-07,@,Illinois State,REG (Non-Conf),L,75,81,"",99.2,107.1,75.6,.351,.386,.564,52.5,42.9,10.6,12.5,.553,21.3,20.7,.211,.577,14.2,16.7,.404
10,2013-12-14,"",Central Michigan,REG (Non-Conf),W,84,58,"",123.3,85.1,68.1,.585,.358,.620,65.0,55.6,5.9,11.8,.575,12.9,42.3,.434,.420,14.6,17.6,.196
11,2013-12-19,"",Iona,REG (Non-Conf),W,96,84,"",132.9,116.3,72.2,.385,.308,.624,60.0,61.1,6.9,5.9,.615,12.5,45.5,.246,.617,13.8,25.0,.167
12,2013-12-22,"",Southern California,REG (Non-Conf),L,76,79,OT,102.1,106.1,66.2,.403,.343,.476,50.6,48.0,8.1,0.0,.418,11.1,37.5,.299,.515,14.9,35.1,.167
13,2013-12-29,"",Murray State,REG (Non-Conf),W,72,51,"",115.6,81.9,62.3,.462,.250,.568,65.0,63.0,4.8,11.8,.577,17.0,50.0,.231,.396,14.5,20.0,.170
14,2014-01-01,"",Winthrop,REG (Non-Conf),W,81,47,"",125.0,72.5,64.8,.370,.241,.638,66.1,59.4,7.7,6.7,.657,12.4,31.8,.185,.424,22.0,11.8,.174
15,2014-01-04,@,Ole Miss,REG (Non-Conf),W,83,80,OT,113.2,109.1,65.2,.308,.431,.557,51.5,64.5,5.5,7.5,.562,16.8,42.9,.154,.481,15.5,38.7,.519
16,2014-01-11,"",Saint Louis,REG (Conf),L,59,67,"",79.7,90.5,74.0,.371,.226,.405,44.6,36.8,8.1,3.1,.339,17.1,26.2,.274,.530,23.7,21.7,.280
17,2014-01-15,@,Fordham,REG (Conf),W,80,68,"",124.1,105.4,64.5,.571,.286,.642,49.3,50.0,7.8,2.7,.643,13.8,31.0,.347,.382,11.3,36.8,.473
18,2014-01-18,@,Richmond,REG (Conf),L,64,73,"",102.3,116.6,62.6,.400,.244,.598,47.3,34.8,0.0,10.5,.544,20.7,22.7,.333,.394,8.0,36.4,.615
19,2014-01-22,"",VCU,REG (Conf),L,66,80,"",99.6,120.7,66.3,.553,.298,.556,56.1,45.5,1.5,10.8,.543,22.3,37.9,.319,.566,9.4,25.0,.180
20,2014-01-25,@,Rhode Island,REG (Conf),L,76,88,"",106.4,123.2,71.4,.472,.264,.586,39.2,48.1,8.4,7.9,.538,17.7,29.0,.358,.677,18.3,45.0,.479
21,2014-01-29,"",Saint Joseph's,REG (Conf),L,57,60,"",86.6,91.1,65.8,.226,.528,.486,55.6,70.0,10.6,7.1,.472,19.3,22.2,.132,.533,19.1,11.1,.267
22,2014-02-01,"",George Washington,REG (Conf),W,75,65,"",118.0,102.3,63.6,.396,.396,.595,48.5,75.0,7.9,0.0,.538,10.0,25.8,.340,.491,14.4,31.4,.138
23,2014-02-05,@,George Mason,REG (Conf),W,84,67,"",127.9,102.0,65.7,.588,.314,.644,47.1,50.0,12.2,6.1,.608,12.1,34.8,.431,.467,19.5,42.9,.556
24,2014-02-08,@,St. Bonaventure,REG (Conf),W,72,69,"",108.2,103.7,66.5,.258,.210,.517,51.9,42.9,6.0,5.0,.492,14.7,40.7,.177,.540,16.6,37.0,.300
25,2014-02-12,"",Rhode Island,REG (Conf),W,76,69,"",114.5,104.0,66.4,.527,.327,.553,47.3,34.8,7.5,10.0,.473,10.4,34.4,.436,.563,22.7,34.8,.313
26,2014-02-19,"",La Salle,REG (Conf),W,65,53,"",98.8,80.5,65.8,.241,.259,.503,52.3,54.2,10.6,14.7,.457,13.4,30.3,.207,.385,22.7,25.0,.333
27,2014-02-22,@,Duquesne,REG (Conf),W,57,54,"",87.1,82.6,65.4,.255,.431,.498,60.3,75.0,6.1,16.1,.471,19.7,25.0,.176,.429,13.8,17.9,.107
28,2014-02-25,@,Saint Joseph's,REG (Conf),L,53,79,"",84.7,126.2,62.6,.222,.349,.380,58.3,40.0,6.4,6.1,.357,13.6,42.1,.127,.677,9.4,13.6,.292
29,2014-03-01,"",Massachusetts,REG (Conf),W,86,79,"",119.5,109.8,71.9,.589,.357,.600,53.8,50.0,4.2,2.3,.580,16.3,39.4,.375,.509,13.5,31.3,.418
30,2014-03-05,@,Saint Louis,REG (Conf),W,72,67,"",104.6,97.3,68.9,.396,.302,.572,55.0,48.0,14.5,12.0,.528,19.2,28.6,.302,.489,17.4,21.9,.447
31,2014-03-08,"",Richmond,REG (Conf),W,60,48,"",102.9,82.4,58.6,.426,.340,.531,56.9,52.6,10.3,12.5,.479,13.7,24.0,.319,.488,20.0,11.5,.225
32,2014-03-13,N,Fordham,CTOURN,W,87,74,"",121.0,102.9,71.9,.569,.373,.672,51.5,46.7,8.3,0.0,.676,14.5,17.4,.353,.447,11.8,30.2,.227
33,2014-03-14,N,Saint Joseph's,CTOURN,L,67,70,"",101.9,106.4,65.8,.250,.339,.535,50.8,48.1,6.1,0.0,.545,10.1,11.1,.107,.500,8.2,21.1,.273
