Gtm,Date,Location,Opp_name,Type,Rslt,Tm,Opp_score,OT,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,eFG%_opp,TOV%_opp,ORB%_opp,FT/FGA_opp
1,2013-11-08,"",North Florida,REG (Non-Conf),W,77,69,"",102.4,91.8,75.2,.593,.185,.556,47.8,45.8,12.0,10.0,.463,15.8,25.8,.500,.477,19.3,33.3,.125
2,2013-11-12,@,Wisconsin,REG (Non-Conf),L,53,59,"",87.1,96.9,60.9,.362,.298,.481,48.2,36.8,9.9,3.6,.457,16.6,18.5,.213,.531,19.2,24.1,.167
3,2013-11-16,"",Little Rock,REG (Non-Conf),W,86,56,"",116.6,75.9,73.7,.483,.283,.583,52.1,51.6,14.9,12.0,.567,10.9,29.4,.300,.377,21.3,27.0,.164
4,2013-11-18,"",Southern,REG (Non-Conf),W,67,53,"",109.0,86.2,61.5,.317,.333,.485,59.7,62.5,11.4,13.3,.450,11.5,47.2,.217,.424,17.2,25.8,.304
5,2013-11-21,"",Middle Tennessee,REG (Non-Conf),W,79,59,"",119.9,89.5,65.9,.600,.240,.615,53.8,40.0,13.7,0.0,.540,15.7,33.3,.500,.489,21.3,24.0,.277
6,2013-11-25,@,Jacksonville,REG (Non-Conf),W,86,60,"",129.0,90.0,66.7,.538,.250,.658,55.4,61.3,10.5,8.5,.673,12.1,36.0,.308,.418,14.8,32.5,.148
7,2013-11-29,"",Florida State,REG (Non-Conf),W,67,66,"",102.8,101.3,65.2,.400,.267,.469,54.8,65.2,9.2,7.1,.433,11.2,45.7,.250,.442,16.0,33.3,.385
8,2013-12-02,@,Connecticut,REG (Non-Conf),L,64,65,"",98.2,99.8,65.2,.333,.176,.542,56.6,32.0,12.3,6.9,.520,21.3,38.5,.216,.538,19.4,25.9,.151
9,2013-12-10,"",Kansas,REG (Non-Conf),W,67,61,"",99.9,90.9,67.1,.630,.259,.478,45.5,60.0,14.9,4.0,.435,10.2,31.7,.370,.523,31.2,32.0,.341
10,2013-12-17,N,Memphis,REG (Non-Conf),W,77,75,"",112.8,109.8,68.3,.352,.296,.611,58.5,46.4,4.4,5.1,.583,21.2,40.0,.259,.526,10.9,25.0,.263
11,2013-12-21,N,Fresno State,REG (Non-Conf),W,66,49,"",108.2,80.3,61.0,.368,.316,.493,69.5,50.0,4.9,9.1,.465,14.1,55.6,.228,.360,9.2,18.8,.260
12,2013-12-29,"",Savannah State,REG (Non-Conf),W,76,34,"",115.2,51.5,66.0,.627,.333,.574,59.7,44.0,12.1,17.1,.559,16.4,40.6,.373,.265,27.1,22.9,.163
13,2014-01-04,"",Richmond,REG (Non-Conf),W,67,58,"",101.2,87.6,66.2,.339,.339,.515,69.5,38.5,7.6,6.7,.509,17.7,44.8,.179,.518,17.5,6.7,.018
