Gtm,Date,Location,Opp_name,Type,Rslt,Tm,Opp_score,OT,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,eFG%_opp,TOV%_opp,ORB%_opp,FT/FGA_opp
1,2013-11-10,N,Holy Cross,REG (Non-Conf),W,82,72,"",110.1,96.7,74.5,.333,.270,.562,63.8,62.1,6.7,13.0,.508,14.1,39.3,.286,.458,11.4,13.3,.283
2,2013-11-12,"","",REG (Non-Conf),W,79,37,"",116.5,54.6,67.8,.318,.197,.520,54.7,46.7,28.0,17.9,.485,8.4,44.1,.227,.302,36.1,33.3,.256
3,2013-11-15,"",Howard,REG (Non-Conf),W,76,44,"",112.9,65.4,67.3,.704,.315,.527,60.0,56.5,17.8,21.1,.444,14.3,47.2,.519,.313,24.1,24.1,.292
4,2013-11-20,"",Bryant,REG (Non-Conf),W,86,68,"",121.7,96.3,70.6,.464,.179,.629,58.8,53.1,15.6,30.6,.598,19.0,52.0,.339,.531,24.1,34.6,.327
5,2013-11-24,@,Colorado,REG (Non-Conf),L,62,70,"",93.1,105.1,66.6,.210,.371,.455,39.7,56.5,15.0,8.8,.427,12.8,22.5,.145,.528,19.5,39.4,.264
6,2013-11-28,N,Denver,REG (Non-Conf),W,68,60,"",108.6,95.8,62.6,.571,.061,.546,63.2,56.5,8.0,17.2,.480,16.2,41.4,.429,.468,14.9,14.3,.340
7,2013-11-29,N,Green Bay,REG (Non-Conf),W,76,64,"",115.1,96.9,66.1,.397,.238,.508,60.6,48.0,10.6,5.4,.437,11.8,51.4,.333,.519,21.6,27.6,.170
8,2013-11-30,N,TCU,REG (Non-Conf),W,71,50,"",95.9,67.5,74.1,.182,.309,.594,62.7,85.2,12.2,15.2,.564,26.0,32.1,.164,.268,17.0,15.4,.357
9,2013-12-04,@,Northeastern,REG (Non-Conf),W,72,64,"",109.3,97.2,65.9,.587,.152,.612,49.1,42.3,4.6,7.5,.598,18.1,20.0,.370,.500,12.5,25.0,.231
10,2013-12-07,@,Boston University,REG (Non-Conf),W,79,68,OT,103.7,89.3,67.7,.435,.258,.528,51.6,46.2,14.4,7.7,.468,11.8,32.3,.339,.444,17.1,30.3,.190
11,2013-12-21,"",Vermont,REG (Non-Conf),W,74,68,"",109.6,100.7,67.5,.761,.304,.591,44.6,63.6,8.9,17.9,.565,13.8,22.2,.478,.464,14.0,34.5,.286
12,2013-12-28,@,Fordham,REG (Non-Conf),W,94,86,"",124.4,113.8,75.6,.660,.340,.675,50.0,80.0,11.9,9.6,.651,16.7,29.6,.472,.529,12.3,35.9,.188
13,2014-01-01,"",Boston College,REG (Non-Conf),W,73,58,"",114.2,90.7,63.9,.583,.188,.595,61.5,50.0,9.4,20.0,.521,14.0,30.4,.479,.460,13.3,13.8,.240
14,2014-01-04,@,Rice,REG (Non-Conf),W,69,54,"",114.5,89.6,60.2,.609,.217,.582,64.8,68.2,13.3,11.1,.522,16.8,48.0,.457,.478,22.3,20.7,.217
15,2014-01-08,@,Connecticut,REG (Non-Conf),L,56,61,"",86.4,94.1,64.8,.179,.393,.461,47.5,60.0,13.9,9.7,.438,17.6,26.5,.125,.489,20.9,25.9,.378
16,2014-01-11,"",Dartmouth,REG (Conf),W,61,45,"",102.0,75.2,59.8,.533,.178,.541,38.3,50.0,10.0,11.8,.467,12.4,16.7,.422,.400,26.4,39.1,.200
17,2014-01-21,@,Florida Atlantic,REG (Non-Conf),L,53,68,"",80.5,103.3,65.8,.557,.197,.343,50.0,42.9,10.6,20.6,.246,8.3,36.7,.377,.551,18.2,24.0,.286
18,2014-01-26,@,Dartmouth,REG (Conf),W,80,50,"",115.7,72.3,69.1,.318,.318,.790,62.0,55.2,8.7,15.9,.773,30.3,29.4,.273,.406,21.9,21.2,.132
