Gtm,Date,Location,Opp_name,Type,Rslt,Tm,Opp_score,OT,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,eFG%_opp,TOV%_opp,ORB%_opp,FT/FGA_opp
1,2013-11-09,@,La Salle,REG (Non-Conf),W,99,90,2OT,115.3,104.8,68.7,.397,.370,.570,68.6,78.8,8.2,13.0,.534,18.0,60.5,.288,.462,12.5,21.9,.462
2,2013-11-12,@,Columbia,REG (Non-Conf),W,71,70,"",107.9,106.4,65.8,1.026,.308,.612,53.6,52.6,6.1,16.1,.615,20.5,30.0,.590,.522,13.8,19.2,.478
3,2013-11-16,"",George Washington,REG (Non-Conf),L,74,80,"",100.8,108.9,73.4,.456,.526,.534,43.1,60.9,10.9,10.5,.482,14.8,26.5,.333,.528,17.3,38.7,.453
4,2013-11-20,@,Illinois State,REG (Non-Conf),W,79,70,"",92.7,82.1,85.3,.821,.321,.507,59.7,40.0,9.4,9.7,.402,21.2,37.8,.607,.434,23.4,13.3,.453
5,2013-11-26,"",Fordham,REG (Non-Conf),L,75,79,"",101.0,106.4,74.3,.324,.451,.458,50.7,46.2,5.4,27.5,.408,9.9,36.6,.239,.457,9.6,32.4,.448
6,2013-11-30,@,Hofstra,REG (Non-Conf),W,66,59,"",106.5,95.2,62.0,.442,.250,.524,48.1,47.8,11.3,13.3,.462,11.3,28.0,.346,.460,14.5,33.3,.260
7,2013-12-06,@,Marist,REG (Conf),W,70,59,"",97.1,81.8,72.1,.673,.163,.541,54.8,61.9,13.9,15.6,.459,18.8,34.5,.510,.379,20.3,27.3,.259
8,2013-12-08,"",Monmouth,REG (Conf),W,75,66,"",97.0,85.4,77.3,.741,.389,.514,48.8,60.9,11.6,33.3,.472,19.8,34.1,.444,.413,25.1,35.9,.442
9,2013-12-15,@,UNC Wilmington,REG (Non-Conf),W,77,72,"",108.2,101.2,71.2,.760,.280,.566,46.8,50.0,14.0,10.5,.530,13.9,17.9,.480,.529,16.6,29.4,.327
10,2013-12-17,@,South Carolina,REG (Non-Conf),W,86,68,"",116.6,92.2,73.8,.796,.265,.637,56.4,56.5,14.9,20.0,.531,19.2,44.0,.694,.442,17.6,33.3,.423
11,2013-12-21,N,Buffalo,REG (Non-Conf),W,84,81,OT,96.7,93.3,77.2,.514,.257,.482,44.1,66.7,18.4,11.6,.386,13.8,31.6,.429,.447,22.8,40.0,.526
12,2014-01-02,@,Saint Peter's,REG (Conf),W,74,62,"",101.0,84.6,73.7,.776,.469,.552,54.1,55.0,15.0,12.1,.459,18.3,30.8,.592,.330,20.6,28.6,.660
13,2014-01-04,"",Fairfield,REG (Conf),W,83,57,"",115.5,79.3,71.9,.844,.356,.658,46.0,73.9,19.5,12.1,.600,17.1,12.5,.644,.425,21.5,33.3,.100
14,2014-01-09,@,Quinnipiac,REG (Conf),L,76,81,"",108.5,115.6,70.1,.406,.203,.462,46.1,20.7,4.3,15.0,.449,7.8,41.3,.203,.446,14.3,48.8,.554
15,2014-01-12,"",Marist,REG (Conf),W,86,79,OT,111.0,102.0,68.9,.642,.189,.622,50.0,38.7,10.3,10.5,.651,17.8,24.1,.321,.537,19.1,22.2,.389
16,2014-01-16,"",Siena,REG (Conf),W,90,68,"",116.6,88.1,77.2,.741,.345,.574,39.0,44.0,19.4,12.2,.500,12.3,32.4,.552,.455,25.9,52.0,.327
17,2014-01-18,@,Fairfield,REG (Conf),L,67,71,"",95.8,101.5,69.9,.574,.241,.487,55.0,19.0,12.9,13.8,.417,18.9,44.1,.407,.544,21.8,30.8,.489
18,2014-01-24,"",Rider,REG (Conf),W,67,51,"",93.7,71.3,71.5,.444,.241,.512,53.4,56.5,12.6,28.9,.454,19.7,29.4,.333,.276,20.8,25.6,.490
19,2014-01-26,"",Quinnipiac,REG (Conf),L,86,90,OT,99.3,103.9,77.0,.451,.268,.499,42.7,50.0,10.4,18.0,.458,12.2,27.3,.296,.477,18.6,39.5,.453
20,2014-01-31,@,Iona,REG (Conf),L,73,85,"",102.9,119.8,71.0,.313,.359,.497,51.4,57.7,4.2,12.2,.469,13.0,35.1,.203,.540,8.7,30.3,.290
21,2014-02-04,"",Saint Peter's,REG (Conf),W,64,49,"",96.7,74.1,66.2,.532,.404,.544,53.8,66.7,9.1,10.5,.543,18.1,22.6,.277,.370,17.7,17.6,.240
22,2014-02-07,@,Canisius,REG (Conf),W,84,73,"",109.2,94.9,76.9,.414,.379,.605,57.4,73.3,9.1,24.0,.612,22.4,38.7,.224,.453,12.7,27.0,.234
23,2014-02-09,@,Niagara,REG (Conf),W,78,77,"",93.5,92.3,83.4,.824,.216,.550,43.1,52.0,15.6,16.7,.520,21.1,24.2,.490,.500,26.9,32.0,.375
