Gtm,Date,Location,Opp_name,Type,Rslt,Tm,Opp_score,OT,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,eFG%_opp,TOV%_opp,ORB%_opp,FT/FGA_opp
1,2013-11-08,"",McNeese State,REG (Non-Conf),W,98,56,"",121.3,69.3,80.8,.062,.321,.588,71.9,76.2,5.0,10.3,.580,15.2,47.1,.049,.336,9.3,12.7,.096
2,2013-11-12,N,Kentucky,REG (Non-Conf),W,78,74,"",109.7,104.1,71.1,.270,.190,.549,38.9,56.7,18.3,8.6,.516,9.0,21.2,.206,.491,19.1,46.2,.364
3,2013-11-15,"",Columbia,REG (Non-Conf),W,62,53,"",100.4,85.8,61.7,.682,.159,.532,47.4,80.0,8.1,13.3,.455,15.9,17.9,.500,.489,22.7,24.1,.174
4,2013-11-18,"",Portland,REG (Non-Conf),W,82,67,"",115.0,94.0,71.3,.194,.448,.560,53.8,72.4,9.8,5.0,.530,12.0,34.3,.164,.464,16.6,23.3,.291
5,2013-11-22,N,Virginia Tech,REG (Non-Conf),W,96,77,"",127.7,102.5,75.2,.183,.493,.622,50.8,72.2,17.3,17.6,.606,7.2,28.1,.141,.516,20.0,27.3,.230
6,2013-11-23,N,Oklahoma,REG (Non-Conf),W,87,76,"",108.5,94.8,80.2,.621,.328,.579,58.2,48.3,5.0,14.6,.552,14.8,26.7,.397,.466,16.2,16.2,.379
7,2013-11-29,"",Mount St. Mary's,REG (Non-Conf),W,98,65,"",134.2,89.0,73.0,.138,.277,.707,56.5,68.3,8.2,9.1,.700,11.5,16.7,.108,.418,12.2,22.2,.134
8,2013-12-04,"",North Carolina,REG (Non-Conf),L,65,79,"",86.5,105.1,75.2,.281,.375,.448,44.4,52.2,8.0,13.0,.414,16.2,27.9,.188,.462,13.4,36.8,.292
9,2013-12-14,N,Oakland,REG (Non-Conf),W,67,63,"",95.9,90.1,69.9,.333,.281,.507,57.8,58.3,15.7,15.2,.474,20.5,38.7,.228,.450,15.6,24.2,.150
10,2013-12-17,"",North Florida,REG (Non-Conf),W,78,48,"",111.4,68.5,70.0,.745,.235,.565,55.4,55.6,14.3,10.3,.569,12.7,30.0,.392,.333,19.2,22.9,.222
11,2013-12-21,@,Texas,REG (Non-Conf),W,92,78,"",118.8,100.7,77.4,.569,.379,.624,59.4,48.3,5.2,6.8,.560,15.0,36.7,.466,.443,13.6,23.1,.393
12,2013-12-28,"",New Orleans,REG (Non-Conf),W,101,48,"",145.2,69.0,69.6,.364,.379,.652,62.5,69.4,12.9,15.8,.644,11.4,52.9,.242,.352,17.9,30.4,.047
13,2013-12-31,@,Penn State,REG (Conf),W,79,63,"",113.2,90.2,69.8,.197,.303,.547,61.5,55.2,7.2,19.4,.515,13.2,38.7,.167,.471,16.1,17.6,.269
14,2014-01-04,@,Indiana,REG (Conf),W,73,56,"",112.5,86.3,64.9,.186,.407,.568,50.8,50.0,18.5,23.7,.559,14.6,29.0,.119,.448,20.7,28.1,.271
15,2014-01-07,"",Ohio State,REG (Conf),W,72,68,OT,96.6,91.2,66.2,.246,.333,.566,42.4,61.5,12.1,12.5,.553,19.1,20.6,.158,.448,21.5,34.4,.276
16,2014-01-11,"",Minnesota,REG (Conf),W,87,75,OT,117.3,101.1,66.0,.678,.356,.558,57.7,66.7,13.5,32.3,.466,8.2,32.4,.542,.491,14.9,14.7,.333
17,2014-01-15,@,Northwestern,REG (Conf),W,54,40,"",96.3,71.3,56.1,.385,.308,.439,59.7,65.0,12.5,21.7,.404,8.9,40.0,.231,.337,18.8,21.9,.196
18,2014-01-18,@,Illinois,REG (Conf),W,78,62,"",116.2,92.4,67.1,.423,.288,.624,62.7,51.7,7.5,18.4,.615,16.1,34.8,.269,.434,12.0,19.4,.148
19,2014-01-21,"",Indiana,REG (Conf),W,71,66,"",102.4,95.2,69.3,.549,.353,.552,46.3,60.9,17.3,16.7,.510,16.8,24.1,.373,.478,22.6,28.0,.478
20,2014-01-25,"",Michigan,REG (Conf),L,75,80,"",116.1,123.9,64.6,.411,.304,.560,47.5,69.2,12.4,16.7,.527,7.0,29.4,.286,.561,14.8,28.0,.510
21,2014-01-28,@,Iowa,REG (Conf),W,71,69,OT,102.2,99.3,61.7,.339,.492,.518,50.7,48.0,7.2,13.9,.508,11.6,26.3,.186,.406,12.8,21.2,.625
22,2014-02-01,N,Georgetown,REG (Non-Conf),L,60,64,"",91.6,97.7,65.5,.302,.547,.495,42.9,61.9,10.7,10.8,.481,19.8,31.0,.170,.469,20.9,44.4,.367
23,2014-02-06,"",Penn State,REG (Conf),W,82,67,"",122.0,99.6,67.2,.300,.383,.598,59.1,78.6,10.4,17.1,.567,12.7,37.5,.233,.412,9.3,20.6,.351
24,2014-02-09,@,Wisconsin,REG (Conf),L,58,60,"",89.4,92.5,64.9,.150,.317,.451,50.9,37.5,9.2,10.5,.442,14.6,24.2,.083,.560,21.4,12.5,.310
25,2014-02-13,"",Northwestern,REG (Conf),W,85,70,"",139.1,114.5,61.1,.233,.350,.638,61.7,68.8,8.2,3.6,.625,7.0,41.9,.167,.548,13.1,17.2,.250
26,2014-02-16,"",Nebraska,REG (Conf),L,51,60,"",86.0,101.2,59.6,.280,.480,.450,52.1,70.6,3.4,8.7,.390,16.3,24.2,.240,.443,7.4,23.7,.245
27,2014-02-20,@,Purdue,REG (Conf),W,94,79,"",137.8,115.8,68.2,.423,.615,.753,52.0,86.7,11.7,14.3,.740,15.0,28.6,.327,.561,12.8,31.0,.490
28,2014-02-23,@,Michigan,REG (Conf),L,70,79,"",112.0,126.4,62.5,.313,.479,.635,57.1,50.0,1.6,5.7,.635,19.1,29.2,.188,.574,2.9,16.0,.315
29,2014-03-01,"",Illinois,REG (Conf),L,46,53,"",82.5,95.0,55.8,.239,.391,.449,55.9,66.7,14.3,11.5,.457,23.8,36.4,.087,.568,22.8,19.2,.068
30,2014-03-06,"",Iowa,REG (Conf),W,86,76,"",120.7,106.7,71.2,.542,.354,.713,59.1,71.4,12.6,17.5,.688,19.9,35.3,.417,.525,16.2,25.9,.217
31,2014-03-09,@,Ohio State,REG (Conf),L,67,69,"",100.4,103.4,66.7,.182,.364,.561,52.8,70.8,1.5,10.3,.527,20.1,30.8,.164,.510,13.6,25.9,.388
32,2014-03-14,N,Northwestern,CTOURN,W,67,51,"",115.0,87.5,58.3,.167,.317,.517,65.0,55.6,6.9,28.6,.517,13.4,48.5,.083,.479,17.8,14.8,.128
33,2014-03-15,N,Wisconsin,CTOURN,W,83,75,"",128.7,116.3,64.5,.549,.255,.645,54.0,51.7,9.3,12.5,.637,11.1,33.3,.353,.510,8.5,21.7,.480
