Gtm,Date,Location,Opp_name,Type,Rslt,Tm,Opp_score,OT,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,eFG%_opp,TOV%_opp,ORB%_opp,FT/FGA_opp
1,2013-11-08,"",Mississippi Valley State,REG (Non-Conf),W,117,62,"",139.7,74.0,83.8,.661,.339,.718,56.9,57.9,14.3,8.6,.710,13.8,34.4,.468,.370,23.4,25.0,.407
2,2013-11-12,"",Utah Valley,REG (Non-Conf),W,93,40,"",135.1,58.1,68.9,.333,.500,.608,60.0,61.3,26.1,25.0,.576,8.4,39.5,.258,.344,29.6,15.6,.146
3,2013-11-15,"",ArkansasâPine Bluff,REG (Non-Conf),W,97,63,"",126.7,82.3,76.6,.707,.431,.626,57.6,56.7,9.1,15.0,.603,12.4,33.3,.466,.483,22.0,18.2,.121
4,2013-11-19,"",Memphis,REG (Non-Conf),W,101,80,"",117.0,92.7,86.3,.656,.361,.631,48.6,53.3,13.9,16.4,.574,16.7,26.5,.508,.426,14.3,31.6,.324
5,2013-11-25,@,South Florida,REG (Non-Conf),W,93,67,"",126.2,90.9,73.7,.364,.242,.601,54.1,45.5,14.9,22.0,.568,10.4,36.1,.273,.432,18.8,28.9,.271
6,2013-11-28,N,Purdue,REG (Non-Conf),W,97,87,"",121.9,109.3,78.8,.800,.200,.639,46.4,37.9,3.8,12.5,.582,10.6,20.7,.600,.500,12.7,35.0,.279
7,2013-11-29,N,Butler,REG (Non-Conf),W,69,67,"",108.0,104.9,63.9,.207,.259,.542,50.7,37.9,9.4,16.2,.534,12.4,28.1,.121,.448,9.5,28.6,.259
8,2013-12-01,N,Memphis,REG (Non-Conf),L,68,73,"",104.7,112.4,64.9,.423,.250,.544,53.0,28.0,6.2,11.4,.510,15.0,36.7,.288,.517,11.3,33.3,.203
9,2013-12-06,"",South Carolina,REG (Non-Conf),W,79,52,"",119.1,78.4,66.3,.571,.393,.555,45.2,52.0,15.1,11.8,.491,9.0,36.4,.429,.422,30.2,44.8,.311
10,2013-12-14,N,Louisiana Tech,REG (Non-Conf),W,70,55,"",94.2,74.0,74.3,.367,.200,.497,50.0,50.0,12.1,21.1,.450,14.6,27.3,.267,.375,18.6,29.7,.109
11,2013-12-17,"",Delaware State,REG (Non-Conf),W,75,43,"",116.5,66.8,64.4,.429,.411,.556,52.9,57.7,15.5,25.6,.518,10.6,34.5,.304,.339,22.3,33.3,.089
12,2013-12-21,N,Colorado,REG (Non-Conf),W,78,73,"",105.3,98.6,74.1,.729,.313,.603,44.3,40.0,6.8,14.3,.573,17.8,19.2,.479,.453,16.0,37.1,.234
13,2013-12-30,"",Robert Morris,REG (Non-Conf),W,92,66,"",128.0,91.8,71.9,.482,.339,.668,57.8,84.4,2.8,8.3,.652,13.8,26.9,.339,.410,10.1,21.1,.262
14,2014-01-04,@,Kansas State,REG (Conf),L,71,74,"",98.1,102.3,72.4,.673,.269,.517,52.2,52.4,5.5,15.4,.433,12.7,29.4,.500,.408,9.4,25.7,.417
15,2014-01-08,"",Texas,REG (Conf),W,87,74,"",112.9,96.0,77.1,1.020,.280,.586,42.5,56.5,16.9,15.4,.520,8.6,20.0,.700,.421,16.5,41.9,.214
16,2014-01-11,@,West Virginia,REG (Conf),W,73,72,"",108.4,107.0,67.3,.267,.333,.540,49.3,37.0,8.9,8.1,.517,14.0,33.3,.183,.483,15.2,33.3,.276
