Gtm,Date,Location,Opp_name,Type,Rslt,Tm,Opp_score,OT,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,eFG%_opp,TOV%_opp,ORB%_opp,FT/FGA_opp
1,2013-11-08,"","",REG (Non-Conf),W,90,64,"",115.9,82.4,77.7,.614,.316,.611,74.5,50.0,14.2,3.6,.561,17.9,54.2,.456,.415,22.3,7.4,.532
2,2013-11-12,@,Texas State San Marcos,REG (Non-Conf),W,64,57,"",97.9,87.2,65.4,.490,.314,.509,43.9,39.1,9.2,7.9,.510,16.0,31.0,.235,.429,22.1,42.9,.306
3,2013-11-15,@,Texas,REG (Non-Conf),L,62,72,"",91.8,106.6,67.5,.246,.421,.487,39.7,59.1,7.4,4.8,.482,17.0,26.3,.123,.529,20.4,40.0,.353
4,2013-11-21,@,Marshall,REG (Non-Conf),W,80,73,OT,107.5,98.1,66.2,.333,.227,.523,55.1,51.7,2.7,7.5,.477,13.6,34.3,.258,.516,11.8,27.9,.127
5,2013-11-23,@,East Tennessee State,REG (Non-Conf),L,58,66,"",88.6,100.8,65.5,.254,.390,.439,51.6,52.2,7.6,6.1,.424,16.4,37.5,.136,.548,23.7,22.7,.476
6,2013-11-26,"",Samford,REG (Non-Conf),W,98,78,"",140.5,111.8,69.8,.508,.361,.647,63.6,58.8,11.5,3.7,.615,8.5,48.0,.377,.667,23.7,15.8,.524
7,2013-11-29,@,UNC Wilmington,REG (Non-Conf),W,60,55,"",91.4,83.8,65.6,.436,.382,.452,41.5,45.0,16.8,6.9,.409,13.1,23.7,.273,.488,26.1,33.3,.366
8,2013-12-01,@,High Point,REG (Non-Conf),W,71,68,"",116.4,111.5,61.0,.389,.389,.555,51.6,66.7,4.9,5.0,.537,9.9,37.5,.241,.509,15.1,33.3,.264
9,2013-12-06,"",Towson,REG (Non-Conf),W,79,69,"",113.7,99.3,69.5,.600,.273,.559,40.8,60.9,11.5,0.0,.482,9.0,23.3,.473,.600,26.9,31.6,.525
10,2013-12-07,"",James Madison,REG (Non-Conf),W,70,57,"",111.5,90.8,62.8,.490,.333,.557,54.5,54.2,9.6,10.7,.510,16.0,40.6,.353,.434,24.4,26.1,.632
11,2013-12-15,@,North Texas,REG (Non-Conf),W,87,53,"",124.8,76.0,69.7,.518,.339,.623,54.4,44.4,11.5,23.5,.545,12.5,41.4,.464,.372,27.3,32.1,.488
12,2013-12-21,"","",REG (Non-Conf),W,83,49,"",112.9,66.7,73.5,.292,.400,.561,47.1,71.9,28.6,5.0,.562,13.9,31.6,.154,.370,33.3,34.4,.326
13,2013-12-30,"",Cal State Northridge,REG (Non-Conf),W,74,67,"",107.2,97.1,69.0,.536,.393,.527,47.4,50.0,5.8,2.9,.491,9.1,22.6,.339,.535,23.0,23.1,.488
14,2014-01-02,"",Lamar,REG (Conf),W,85,65,"",114.4,87.5,74.3,.394,.227,.542,55.9,77.4,13.5,20.0,.508,12.3,34.3,.273,.451,24.3,12.5,.683
15,2014-01-04,"",Sam Houston State,REG (Conf),W,73,56,"",117.8,90.4,62.0,.547,.302,.547,62.1,79.2,6.5,10.0,.491,13.0,48.4,.396,.455,12.6,25.7,.089
16,2014-01-09,@,Houston Baptist,REG (Conf),W,77,50,"",101.3,65.8,76.0,.250,.417,.574,55.7,72.4,17.1,22.6,.550,22.1,28.1,.183,.347,25.4,21.1,.327
17,2014-01-11,@,Texas A&MâCorpus Christi,REG (Conf),W,80,70,"",127.9,111.9,62.5,.500,.268,.577,60.8,53.6,6.4,11.8,.545,9.2,51.6,.339,.554,14.3,25.0,.413
18,2014-01-16,@,Northwestern State,REG (Conf),W,74,58,"",105.3,82.5,70.3,.283,.383,.544,66.1,48.1,7.1,10.5,.517,17.1,35.5,.200,.449,15.6,3.2,.286
19,2014-01-23,@,Oral Roberts,REG (Conf),W,72,69,"",113.5,108.8,63.4,.426,.389,.554,48.1,58.3,7.9,5.7,.519,12.2,35.5,.296,.532,19.5,34.8,.404
20,2014-01-25,@,Central Arkansas,REG (Conf),W,66,49,"",101.8,75.6,64.9,.490,.412,.525,64.3,78.3,12.3,3.6,.510,20.3,46.9,.275,.486,29.1,12.5,.389
21,2014-01-30,"",Abilene Christian,REG (Conf),W,64,48,"",93.0,69.8,68.8,.233,.417,.480,59.3,87.0,16.0,31.4,.450,19.4,45.5,.167,.352,27.7,23.1,.386
22,2014-02-01,"",Incarnate Word,REG (Conf),W,76,74,"",115.7,112.6,65.7,.277,.354,.517,48.4,74.1,16.7,3.7,.485,8.7,35.0,.200,.655,24.0,27.3,.452
23,2014-02-06,"",Nicholls State,REG (Conf),W,93,64,"",130.6,89.9,71.2,.290,.306,.659,53.1,62.9,14.0,6.5,.629,12.4,32.0,.242,.548,27.7,25.0,.429
24,2014-02-08,"",McNeese State,REG (Conf),W,74,54,"",114.9,83.9,64.4,.278,.370,.605,48.1,80.8,10.9,5.6,.565,14.1,29.2,.241,.469,26.4,36.7,.163
25,2014-02-13,@,Lamar,REG (Conf),W,78,69,"",130.7,115.6,59.7,.477,.227,.723,57.9,62.1,10.1,8.6,.716,18.2,43.8,.341,.557,17.8,31.8,.455
26,2014-02-15,@,Sam Houston State,REG (Conf),W,67,60,"",108.6,97.2,61.7,.659,.432,.580,50.0,84.2,9.7,5.3,.500,17.2,30.8,.523,.464,16.3,35.3,.164
27,2014-02-22,"",Northwestern State,REG (Conf),W,70,68,"",102.8,99.9,68.1,.254,.444,.496,50.8,52.2,16.2,11.8,.437,13.5,36.8,.238,.622,28.5,23.8,.267
28,2014-02-27,@,New Orleans,REG (Conf),W,103,63,"",144.2,88.2,71.4,.297,.234,.705,61.7,61.0,16.8,12.2,.695,12.0,54.5,.219,.434,22.4,34.2,.321
29,2014-03-01,@,Southeastern Louisiana,REG (Conf),W,75,62,"",117.4,97.1,63.9,.377,.475,.521,51.9,56.0,11.0,3.6,.492,14.3,42.1,.246,.621,28.2,25.0,.636
30,2014-03-06,"",Oral Roberts,REG (Conf),W,83,72,"",135.5,117.5,61.3,.593,.333,.600,55.4,69.2,1.6,7.5,.556,6.7,37.0,.426,.563,9.0,27.6,.375
