Gtm,Date,Location,Opp_name,Type,Rslt,Tm,Opp_score,OT,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,eFG%_opp,TOV%_opp,ORB%_opp,FT/FGA_opp
1,2014-11-15,@,Providence,REG (Non-Conf),L,60,64,"",87.5,93.3,68.6,.151,.321,.528,49.3,52.0,8.7,2.2,.538,24.1,25.0,.057,.441,14.6,33.3,.203
2,2014-11-19,"",NJIT,REG (Non-Conf),W,65,48,"",89.7,66.2,72.5,.339,.357,.500,55.6,40.9,13.8,16.0,.438,19.7,25.8,.286,.340,22.2,22.0,.226
3,2014-11-22,"",Quinnipiac,REG (Non-Conf),L,73,76,OT,101.4,105.6,64.0,.323,.262,.487,50.7,50.0,5.6,2.6,.462,11.8,35.1,.200,.452,13.1,33.3,.302
4,2014-11-26,@,Colgate,REG (Non-Conf),W,75,71,"",122.7,116.2,61.1,.500,.360,.606,61.2,58.3,4.9,0.0,.570,12.7,39.3,.360,.663,18.7,9.5,.122
5,2014-11-29,@,UNLV,REG (Non-Conf),L,59,75,"",83.9,106.6,70.0,.271,.288,.443,45.9,22.7,4.3,0.0,.415,14.2,19.4,.169,.618,20.2,16.0,.235
6,2014-12-03,"",Holy Cross,REG (Non-Conf),L,57,74,"",87.7,113.9,65.0,.535,.419,.529,51.1,52.9,13.9,0.0,.465,25.0,27.3,.395,.693,24.3,26.1,.295
7,2014-12-06,@,Saint Francis (PA),REG (Non-Conf),L,59,69,"",98.1,114.7,60.2,.442,.423,.469,57.1,26.3,5.0,9.5,.394,16.0,40.6,.346,.646,17.4,20.8,.390
8,2014-12-08,@,Bucknell,REG (Non-Conf),L,58,61,"",88.4,93.0,65.6,.273,.273,.467,45.6,35.0,12.2,10.7,.418,17.3,24.2,.218,.554,24.2,25.0,.217
9,2014-12-13,@,Siena,REG (Non-Conf),W,77,68,"",122.6,108.3,62.8,.865,.432,.738,50.0,35.0,4.8,6.3,.649,23.5,29.4,.784,.465,9.3,39.4,.263
10,2014-12-20,@,Yale,REG (Non-Conf),W,64,60,"",105.6,99.0,61.2,.375,.271,.566,47.9,45.5,13.2,3.8,.500,17.5,28.0,.333,.565,22.5,30.4,.174
