Gtm,Date,Location,Opp_name,Type,Rslt,Tm,Opp_score,OT,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,eFG%_opp,TOV%_opp,ORB%_opp,FT/FGA_opp
1,2014-11-14,@,Georgia Tech,REG (Non-Conf),L,73,80,"",98.1,107.5,74.4,.339,.323,.507,44.3,61.5,9.4,11.4,.460,14.3,26.5,.258,.500,13.7,38.9,.270
2,2014-11-18,"",Stony Brook,REG (Non-Conf),W,80,70,"",106.6,93.2,75.1,1.021,.340,.573,49.4,66.7,6.7,19.5,.500,14.7,20.0,.702,.379,10.3,27.3,.303
3,2014-11-21,"",Troy,REG (Non-Conf),W,82,60,"",112.8,82.5,72.7,.308,.231,.550,57.4,51.5,13.8,26.5,.538,9.7,29.0,.185,.423,20.3,18.9,.308
4,2014-11-23,"",Florida Atlantic,REG (Non-Conf),W,74,61,"",101.3,83.5,73.1,.393,.131,.511,58.1,53.6,9.6,19.5,.475,17.2,36.8,.262,.451,17.6,19.4,.098
5,2014-11-26,N,Gonzaga,REG (Non-Conf),L,76,88,"",106.1,122.9,71.6,.648,.296,.538,49.1,44.0,11.2,5.1,.500,11.3,28.1,.407,.538,11.6,21.7,.615
6,2014-11-28,N,Minnesota,REG (Non-Conf),L,62,66,"",91.2,97.1,68.0,.438,.292,.535,56.1,63.6,8.8,10.0,.490,23.7,33.3,.313,.519,17.1,23.3,.231
7,2014-12-02,@,Chattanooga,REG (Non-Conf),W,86,55,"",134.3,85.9,64.0,.490,.224,.712,66.0,48.4,6.2,28.6,.704,13.0,38.9,.347,.371,11.0,20.0,.207
8,2014-12-07,"",Colorado,REG (Non-Conf),W,64,57,"",99.6,88.7,64.2,.523,.364,.583,49.2,38.1,7.8,7.1,.557,20.3,29.6,.341,.373,16.1,36.1,.220
9,2014-12-21,"",Seton Hall,REG (Non-Conf),W,65,47,"",92.6,67.0,70.2,.491,.377,.497,62.3,63.6,14.3,23.5,.462,20.6,36.4,.302,.324,18.0,18.2,.222
10,2014-12-27,"",Mercer,REG (Non-Conf),W,86,77,3OT,104.5,93.6,59.9,.521,.366,.485,60.4,51.7,8.5,7.7,.458,15.3,45.8,.296,.457,14.1,23.3,.186
