Gtm,Date,Location,Opp_name,Type,Rslt,Tm,Opp_score,OT,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,eFG%_opp,TOV%_opp,ORB%_opp,FT/FGA_opp
1,2014-11-16,N,Boston University,REG (Non-Conf),W,71,65,"",108.8,99.6,65.2,.389,.426,.555,56.1,79.2,9.2,9.1,.528,13.5,28.6,.259,.481,11.5,17.2,.288
2,2014-11-18,@,Florida State,REG (Non-Conf),W,76,73,"",108.3,104.0,70.2,.269,.288,.648,47.3,64.3,5.7,3.8,.625,20.4,16.0,.212,.548,15.2,26.7,.081
3,2014-11-22,N,Navy,REG (Non-Conf),W,68,44,"",118.9,77.0,57.2,.375,.333,.601,69.6,59.1,8.7,13.3,.542,21.0,50.0,.333,.500,19.4,9.1,.048
4,2014-11-23,N,Manhattan,REG (Non-Conf),W,65,51,"",99.1,77.8,65.6,.500,.237,.691,68.1,81.0,10.7,11.4,.618,31.9,33.3,.474,.425,17.8,20.0,.113
5,2014-11-26,@,Massachusetts,REG (Non-Conf),L,54,79,"",71.2,104.2,75.8,.169,.254,.424,39.4,50.0,9.2,7.5,.398,23.9,22.2,.119,.550,17.1,40.0,.029
6,2014-11-29,"",Fairfield,REG (Non-Conf),W,57,48,"",86.7,73.0,65.7,.367,.286,.495,48.4,66.7,10.7,5.0,.459,19.6,22.6,.245,.395,22.4,27.3,.053
7,2014-12-03,@,Harvard,REG (Non-Conf),L,46,60,"",75.9,99.0,60.6,.333,.196,.389,56.0,52.9,8.2,0.0,.353,18.0,31.0,.196,.543,13.3,9.5,.217
8,2014-12-06,"",Western Michigan,REG (Non-Conf),W,81,69,"",122.3,104.2,66.2,.464,.357,.593,64.4,53.8,10.6,8.6,.518,11.6,44.8,.411,.536,13.7,16.7,.182
9,2014-12-17,N,Cal Poly,REG (Non-Conf),L,58,60,"",100.0,103.5,58.0,.145,.364,.493,56.9,82.6,5.2,15.4,.473,14.5,33.3,.109,.500,7.8,18.8,.132
10,2014-12-20,@,Santa Clara,REG (Non-Conf),W,78,72,"",116.4,107.5,67.0,.457,.478,.697,51.8,59.3,6.0,15.6,.707,20.0,17.4,.283,.483,10.5,24.2,.254
11,2014-12-22,@,St. Mary's (CA),REG (Non-Conf),L,68,72,OT,100.6,106.5,60.1,.404,.462,.549,41.8,60.9,7.4,6.3,.510,13.9,12.5,.288,.484,11.5,31.4,.175
12,2014-12-31,@,Richmond,REG (Non-Conf),W,58,57,"",97.8,96.1,59.3,.146,.375,.565,57.4,65.2,3.4,11.4,.552,20.2,18.2,.104,.473,6.3,15.6,.071
13,2015-01-03,@,Delaware,REG (Conf),W,72,53,"",111.0,81.7,64.8,.245,.340,.608,58.6,50.0,4.6,6.5,.566,20.2,33.3,.226,.350,7.9,25.6,.183
