Gtm,Date,Location,Opp_name,Type,Rslt,Tm,Opp_score,OT,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,eFG%_opp,TOV%_opp,ORB%_opp,FT/FGA_opp
1,2014-11-14,"",Coppin State,REG (Non-Conf),W,107,65,"",135.0,82.0,79.3,.233,.315,.660,59.2,61.0,11.4,13.5,.658,11.9,42.4,.151,.403,17.3,27.9,.164
2,2014-11-17,"",Detroit Mercy,REG (Non-Conf),W,83,66,"",107.0,85.1,77.6,.328,.493,.536,56.9,53.3,7.7,12.0,.515,15.3,38.2,.209,.410,15.0,26.3,.164
3,2014-11-21,"",Toledo,REG (Non-Conf),W,78,68,"",109.4,95.4,71.3,.381,.286,.524,57.1,61.5,5.6,17.9,.460,10.8,37.1,.317,.462,13.2,26.2,.106
4,2014-11-24,N,Michigan,REG (Non-Conf),L,63,70,"",101.3,112.6,62.2,.305,.322,.466,60.0,43.5,4.8,6.1,.432,15.1,45.5,.203,.511,9.1,22.2,.500
5,2014-11-25,N,VCU,REG (Non-Conf),L,63,77,"",82.6,100.9,76.3,.232,.482,.507,43.5,66.7,11.8,10.3,.455,24.3,18.8,.214,.554,21.1,30.0,.268
6,2014-11-30,"",Portland State,REG (Non-Conf),W,81,59,"",104.5,76.2,77.5,.203,.406,.577,55.7,65.5,6.5,26.1,.539,13.6,20.6,.188,.288,10.1,17.8,.318
7,2014-12-03,"","",REG (Non-Conf),W,94,63,"",109.3,73.3,86.0,.150,.325,.548,69.5,57.1,10.5,12.1,.556,15.7,47.1,.063,.382,13.9,14.6,.066
8,2014-12-07,"",Ole Miss,REG (Non-Conf),L,73,79,"",101.6,109.9,71.9,.359,.484,.487,45.9,62.5,4.2,7.5,.438,9.6,32.6,.266,.454,9.3,35.5,.308
9,2014-12-13,@,Illinois,REG (Non-Conf),W,77,70,"",105.0,95.5,73.3,.231,.185,.534,51.4,66.7,2.7,13.3,.500,14.3,28.1,.185,.414,10.9,28.9,.266
10,2014-12-17,"",Cal State Northridge,REG (Non-Conf),W,79,56,"",109.4,77.5,72.2,.297,.344,.541,55.7,75.0,11.1,10.2,.508,13.1,34.3,.219,.348,16.2,22.9,.304
11,2014-12-20,"",Delaware State,REG (Non-Conf),W,83,70,"",112.8,95.1,73.6,.227,.318,.568,58.0,58.1,8.2,18.4,.545,14.1,38.2,.167,.452,13.2,22.9,.206
12,2014-12-22,"",UC Santa Barbara,REG (Non-Conf),W,82,78,OT,110.7,105.3,65.8,.304,.411,.640,56.5,56.7,9.5,14.6,.607,21.0,32.0,.250,.485,12.9,27.0,.231
13,2014-12-29,"",UC Irvine,REG (Non-Conf),W,69,67,OT,92.1,89.4,66.6,.206,.317,.499,55.9,66.7,6.7,9.5,.476,20.6,33.3,.143,.468,12.9,15.4,.145
14,2015-01-03,"",Oregon State,REG (Conf),W,71,59,"",109.0,90.5,65.2,.511,.277,.608,55.2,43.5,10.7,20.5,.553,19.3,34.8,.404,.389,15.6,31.4,.315
15,2015-01-08,"",Arizona,REG (Conf),L,62,80,"",85.7,110.6,72.4,.393,.357,.467,39.7,35.0,11.1,15.6,.393,16.4,20.0,.321,.500,14.6,35.7,.429
16,2015-01-10,"",Arizona State,REG (Conf),W,59,56,"",90.1,85.5,65.5,.304,.261,.560,47.2,43.5,4.6,26.7,.533,22.2,13.0,.217,.436,20.2,26.7,.319
17,2015-01-15,@,Washington State,REG (Conf),L,99,108,OT,119.6,130.5,73.6,.273,.260,.569,50.0,36.8,10.9,6.3,.552,9.4,26.3,.182,.714,13.0,17.9,.500
18,2015-01-18,@,Washington,REG (Conf),L,77,85,"",110.3,121.8,69.8,.097,.417,.511,43.1,66.7,7.2,13.6,.493,7.4,34.3,.083,.576,13.1,46.7,.288
19,2015-01-22,"",Southern California,REG (Conf),W,75,67,"",100.5,89.8,74.6,.534,.431,.516,53.8,52.4,6.7,10.4,.431,17.1,37.8,.431,.418,14.7,31.7,.164
20,2015-01-24,"",UCLA,REG (Conf),W,82,64,"",129.2,100.8,63.5,.189,.245,.710,51.9,48.5,4.7,4.5,.708,14.8,21.1,.132,.451,9.4,31.4,.148
21,2015-01-28,@,Arizona,REG (Conf),L,56,90,"",82.0,131.8,68.3,.426,.340,.496,34.7,47.4,7.3,2.3,.457,19.9,8.0,.277,.644,13.0,37.5,.237
22,2015-01-30,@,Arizona State,REG (Conf),W,68,67,OT,93.3,91.9,64.8,.246,.211,.534,50.0,38.5,4.1,8.8,.491,15.9,16.7,.211,.492,17.0,20.6,.115
23,2015-02-04,"",Washington,REG (Conf),W,78,74,"",123.5,117.1,63.2,.172,.241,.622,58.0,35.5,7.9,5.4,.586,14.9,41.7,.172,.594,12.9,26.9,.208
24,2015-02-08,"",Washington State,REG (Conf),W,95,72,"",130.0,98.6,73.1,.313,.391,.646,52.9,65.7,8.2,6.5,.633,7.5,27.6,.219,.440,13.9,29.3,.194
25,2015-02-11,@,Southern California,REG (Conf),W,80,75,"",113.5,106.4,70.5,.136,.271,.637,54.0,38.2,4.3,6.3,.619,18.2,28.0,.119,.500,12.2,28.9,.136
