Gtm,Date,Location,Opp_name,Type,Rslt,Tm,Opp_score,OT,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,eFG%_opp,TOV%_opp,ORB%_opp,FT/FGA_opp
1,2014-11-14,"",Monmouth,REG (Non-Conf),W,64,54,"",93.0,78.5,68.8,.493,.420,.376,59.5,50.0,16.0,6.9,.304,12.4,50.9,.319,.474,32.2,19.0,.474
2,2014-11-16,"",Lafayette,REG (Non-Conf),W,83,56,"",118.0,79.6,70.3,.222,.407,.463,61.0,64.5,15.6,6.1,.432,6.3,48.0,.160,.478,27.4,14.8,.261
3,2014-11-20,N,George Mason,REG (Non-Conf),W,91,65,"",112.0,80.0,81.3,.361,.361,.539,50.0,56.3,19.7,15.2,.507,12.5,33.3,.250,.544,28.5,25.0,.356
4,2014-11-21,N,Boston College,REG (Non-Conf),W,70,66,"",102.2,96.4,68.5,.407,.254,.497,53.2,56.0,14.6,8.8,.475,16.6,50.0,.237,.587,28.2,42.1,.261
5,2014-11-23,N,Connecticut,REG (Non-Conf),W,78,68,"",104.4,91.0,74.7,.377,.279,.542,43.9,50.0,14.7,11.1,.508,14.3,30.3,.262,.476,21.2,42.4,.145
6,2014-11-26,N,VMI,REG (Non-Conf),W,103,72,"",120.3,84.1,85.6,.272,.222,.563,43.7,57.1,30.4,14.8,.568,9.0,34.1,.136,.543,35.8,43.3,.155
7,2014-11-29,"",College of Charleston,REG (Non-Conf),W,86,57,"",131.3,87.1,65.5,.394,.303,.549,61.9,63.3,18.3,18.5,.500,8.2,50.0,.303,.557,25.9,20.0,.182
8,2014-12-04,"",Louisiana State,REG (Non-Conf),L,73,74,"",91.4,92.6,79.9,.478,.254,.444,44.4,47.8,23.8,14.6,.381,12.7,31.1,.328,.536,27.1,33.3,.250
9,2014-12-07,@,Northern Kentucky,REG (Non-Conf),W,67,42,"",96.6,60.6,69.4,.492,.356,.460,55.6,52.2,14.4,20.7,.424,14.2,37.5,.288,.286,25.0,26.8,.286
10,2014-12-14,N,Marshall,REG (Non-Conf),W,69,66,"",99.3,94.9,69.5,.596,.298,.472,56.4,59.1,15.8,14.3,.412,17.0,48.6,.386,.618,32.5,30.0,.500
11,2014-12-20,N,NC State,REG (Non-Conf),W,83,69,"",114.8,95.4,72.3,.362,.224,.611,50.0,38.7,13.8,4.5,.595,17.1,32.0,.241,.667,30.4,26.3,.583
12,2014-12-22,"",Wofford,REG (Non-Conf),W,77,44,"",115.1,65.7,66.9,.418,.236,.584,56.5,66.7,17.9,21.7,.527,16.5,34.5,.345,.341,28.8,24.2,.390
13,2014-12-30,"",Virginia Tech,REG (Non-Conf),W,82,51,"",117.0,72.8,70.1,.339,.407,.599,63.6,70.0,22.8,0.0,.593,19.9,48.4,.203,.512,33.9,16.7,.163
14,2015-01-03,@,TCU,REG (Conf),W,78,67,"",106.6,91.6,73.2,.424,.167,.492,56.1,39.3,16.4,6.5,.447,14.1,44.7,.288,.477,21.5,28.6,.568
15,2015-01-05,@,Texas Tech,REG (Conf),W,78,67,"",107.3,92.1,72.7,.397,.270,.521,50.0,40.0,12.4,2.9,.508,8.5,30.0,.222,.489,23.0,31.3,.478
16,2015-01-10,"",Iowa State,REG (Conf),L,72,74,"",98.5,101.3,73.1,.412,.426,.443,48.6,45.5,12.3,9.1,.375,10.0,37.2,.309,.560,22.3,33.3,.360
17,2015-01-13,"",Oklahoma,REG (Conf),W,86,65,"",113.7,85.9,75.6,.382,.279,.535,53.5,66.7,21.2,16.1,.493,10.1,35.0,.279,.490,26.5,22.6,.320
18,2015-01-17,@,Texas,REG (Conf),L,50,77,"",68.8,106.0,72.7,.537,.370,.369,36.8,38.5,11.0,5.9,.296,20.1,28.6,.333,.469,22.2,50.0,.633
19,2015-01-24,"",TCU,REG (Conf),W,86,85,OT,104.2,103.0,73.4,.451,.352,.499,45.2,65.5,10.9,8.3,.451,14.0,38.1,.310,.518,20.0,45.2,.509
20,2015-01-27,@,Kansas State,REG (Conf),W,65,59,"",83.7,75.9,77.7,.527,.309,.473,47.7,45.0,16.7,10.3,.400,22.5,30.3,.382,.398,25.1,34.4,.408
21,2015-01-31,"",Texas Tech,REG (Conf),W,77,58,"",111.1,83.7,69.3,.537,.407,.568,46.3,65.4,14.4,7.7,.565,14.0,29.4,.296,.474,33.4,25.0,.579
22,2015-02-03,@,Oklahoma,REG (Conf),L,52,71,"",80.8,110.4,64.3,.180,.426,.393,56.7,33.3,10.9,15.2,.385,18.5,39.5,.082,.682,19.3,12.5,.250
23,2015-02-07,"",Baylor,REG (Conf),L,69,87,"",89.9,113.4,76.8,.379,.348,.443,43.8,62.5,14.3,2.8,.409,17.0,34.8,.227,.608,21.9,40.7,.490
24,2015-02-11,"",Kansas State,REG (Conf),W,76,72,"",106.8,101.2,71.2,.611,.296,.545,51.6,68.0,15.5,5.3,.519,17.7,33.3,.370,.591,22.2,27.6,.455
25,2015-02-14,@,Iowa State,REG (Conf),L,59,79,"",81.4,109.0,72.5,.207,.483,.463,48.3,50.0,12.4,3.3,.457,23.0,27.0,.103,.630,21.0,17.4,.457
26,2015-02-16,"",Kansas,REG (Conf),W,62,61,"",105.6,103.9,58.7,.172,.328,.448,53.1,45.8,13.6,5.3,.438,12.6,50.0,.094,.551,20.5,41.7,.143
27,2015-02-21,@,Oklahoma State,REG (Conf),W,73,63,"",121.3,104.7,60.2,.787,.426,.565,64.8,73.7,8.3,0.0,.511,15.7,51.6,.532,.542,23.5,17.4,.667
28,2015-02-24,"",Texas,REG (Conf),W,71,64,"",112.8,101.7,62.9,.442,.365,.564,46.8,77.3,12.7,0.0,.490,11.3,27.6,.385,.600,23.9,22.2,.400
29,2015-02-28,@,Baylor,REG (Conf),L,66,78,"",106.1,125.4,62.2,.194,.387,.487,55.6,84.0,11.3,9.4,.468,16.1,48.6,.129,.596,11.3,35.7,.468
30,2015-03-03,@,Kansas,REG (Conf),L,69,76,OT,87.5,96.4,70.1,.444,.397,.452,54.8,45.5,12.7,11.1,.421,22.4,43.2,.254,.412,17.4,27.6,.667
31,2015-03-07,"",Oklahoma State,REG (Conf),W,81,72,"",127.1,113.0,63.7,.577,.385,.611,61.5,60.0,9.4,3.7,.558,16.4,50.0,.442,.656,22.0,22.7,.188
32,2015-03-12,N,Baylor,CTOURN,L,70,80,"",106.3,121.5,65.9,.340,.453,.569,46.6,79.2,10.6,8.6,.538,18.5,31.3,.245,.551,13.3,34.6,.531
