Gtm,Date,Location,Opp_name,Type,Rslt,Tm,Opp_score,OT,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,eFG%_opp,TOV%_opp,ORB%_opp,FT/FGA_opp
1,2015-11-14,"",Central Arkansas,REG (Non-Conf),W,98,81,"",129.7,107.2,75.6,.262,.323,.671,47.3,52.6,11.9,5.9,.662,13.1,26.7,.185,.605,20.7,28.0,.211
2,2015-11-17,"",Wichita State,REG (Non-Conf),W,77,67,"",107.9,93.9,71.4,.560,.440,.608,50.0,65.2,8.4,17.2,.560,17.0,10.7,.420,.436,11.9,17.6,.345
3,2015-11-20,N,Ohio,REG (Non-Conf),W,90,88,"",111.2,108.7,80.9,.807,.228,.571,47.4,53.8,6.2,3.7,.491,11.3,25.8,.596,.617,25.0,26.9,.638
4,2015-11-22,N,Indiana State,REG (Non-Conf),W,67,59,"",87.1,76.7,77.0,.610,.271,.440,58.0,59.1,9.1,17.6,.407,11.6,26.8,.322,.402,16.9,10.0,.250
5,2015-11-23,N,South Carolina,REG (Non-Conf),L,75,83,"",99.3,109.9,75.5,.574,.296,.546,47.6,37.5,5.3,0.0,.491,17.9,20.0,.407,.565,15.1,17.9,.407
6,2015-11-28,"",Little Rock,REG (Non-Conf),L,60,64,"",99.4,106.1,60.3,.353,.608,.504,49.1,50.0,14.9,10.3,.480,14.4,32.4,.216,.591,23.8,23.8,.273
7,2015-12-02,@,Oklahoma State,REG (Non-Conf),W,66,56,"",101.7,86.3,64.9,.460,.400,.542,49.2,40.0,12.3,5.6,.460,14.1,27.6,.400,.309,15.2,33.3,.400
8,2015-12-05,"",Oral Roberts,REG (Non-Conf),L,68,70,"",98.4,101.3,69.1,.362,.414,.500,51.6,45.5,8.7,4.9,.440,11.7,26.5,.293,.517,17.1,20.0,.172
9,2015-12-08,"",Iona,REG (Non-Conf),W,90,81,"",111.9,100.7,80.5,.567,.333,.591,49.3,48.4,11.2,10.0,.600,13.6,21.9,.300,.483,17.8,27.0,.383
10,2015-12-13,@,Missouri State,REG (Non-Conf),W,70,61,"",93.5,81.5,74.8,.169,.369,.498,47.3,53.6,6.7,2.2,.477,13.5,12.9,.123,.341,13.0,27.9,.286
11,2015-12-19,N,Oregon State,REG (Non-Conf),L,71,76,"",102.1,109.3,69.5,.528,.321,.535,47.1,58.3,8.6,8.3,.500,16.4,28.6,.340,.472,14.9,33.3,.463
12,2015-12-22,"",Northern Arizona,REG (Non-Conf),W,90,55,"",123.3,75.3,73.0,.323,.274,.629,46.2,57.1,19.2,15.6,.621,10.1,21.9,.210,.363,27.5,30.3,.353
13,2015-12-29,"",SMU,REG (Conf),L,69,81,"",110.7,130.0,62.3,.373,.339,.497,48.2,50.0,9.6,2.5,.492,9.2,42.4,.186,.655,15.2,43.5,.164
14,2016-01-02,@,Cincinnati,REG (Conf),L,57,76,"",83.2,110.9,68.5,.463,.389,.433,39.7,77.8,8.8,5.6,.370,17.5,25.0,.315,.559,16.4,45.2,.169
15,2016-01-05,"",East Carolina,REG (Conf),W,55,43,"",79.9,62.5,68.9,.045,.418,.402,50.6,66.7,13.1,12.2,.403,19.0,38.1,.015,.316,25.5,35.1,.123
16,2016-01-10,@,Tulane,REG (Conf),W,81,67,"",125.0,103.4,64.8,.264,.377,.679,32.8,41.9,10.8,10.5,.708,11.8,8.3,.113,.415,9.6,51.4,.200
17,2016-01-14,"",Connecticut,REG (Conf),W,60,51,"",91.2,77.6,65.8,.510,.490,.474,48.6,55.6,9.1,7.7,.412,8.7,11.4,.353,.382,15.2,16.2,.164
18,2016-01-19,@,East Carolina,REG (Conf),W,84,69,"",121.2,99.6,69.3,.241,.466,.650,47.3,73.3,17.3,12.5,.638,12.2,17.9,.172,.576,25.0,22.2,.348
19,2016-01-24,"",UCF,REG (Conf),W,75,60,"",108.3,86.6,69.3,.391,.464,.458,55.3,62.5,7.2,8.8,.406,5.8,37.8,.275,.510,24.1,19.4,.157
20,2016-01-27,@,Houston,REG (Conf),L,66,81,"",94.2,115.6,70.1,.418,.388,.411,44.3,31.8,5.7,5.0,.351,5.9,30.4,.284,.517,13.6,36.4,.362
21,2016-01-30,"",Tulane,REG (Conf),W,62,48,"",82.3,63.7,75.3,.511,.277,.531,49.3,57.1,13.3,10.3,.489,27.4,17.2,.340,.322,24.6,26.3,.169
22,2016-02-04,@,Temple,REG (Conf),L,79,83,OT,97.2,102.1,72.3,.200,.371,.515,51.2,53.3,4.9,5.1,.486,13.5,20.5,.157,.500,12.1,20.9,.203
23,2016-02-07,"",Houston,REG (Conf),W,77,63,"",130.2,106.5,59.2,.352,.352,.611,64.4,50.0,8.5,16.0,.593,10.0,50.0,.241,.561,17.1,19.0,.163
24,2016-02-10,@,SMU,REG (Conf),W,82,77,"",122.7,115.2,66.8,.321,.283,.671,42.1,61.3,12.0,7.5,.642,15.3,27.3,.264,.532,15.4,48.6,.159
25,2016-02-13,@,Connecticut,REG (Conf),L,73,75,"",113.1,116.2,64.6,.481,.423,.571,53.8,48.0,12.4,0.0,.567,19.0,46.4,.269,.637,22.2,37.5,.196
26,2016-02-18,"",Cincinnati,REG (Conf),W,70,68,OT,91.8,89.1,67.8,.323,.210,.490,49.3,32.0,9.2,2.8,.444,13.3,18.9,.242,.453,15.3,21.1,.156
27,2016-02-21,@,UCF,REG (Conf),W,75,67,"",106.3,95.0,70.5,.482,.304,.545,44.6,42.3,7.1,12.2,.518,10.4,21.9,.304,.438,14.6,33.3,.154
28,2016-02-23,"",Temple,REG (Conf),W,74,55,"",111.8,83.1,66.2,.246,.393,.543,52.3,55.6,7.6,9.1,.508,8.1,19.4,.197,.454,15.7,17.6,.111
29,2016-02-28,@,Memphis,REG (Conf),L,82,92,"",105.1,118.0,78.0,.344,.391,.551,36.7,53.6,10.3,0.0,.492,9.7,9.4,.297,.587,17.5,32.1,.596
30,2016-03-05,"",South Florida,REG (Conf),W,84,74,"",118.5,104.4,70.9,.525,.443,.551,50.7,66.7,8.5,6.8,.508,10.6,38.5,.361,.484,15.4,36.1,.188
31,2016-03-11,N,Memphis,CTOURN,L,67,89,"",91.4,121.4,73.3,.569,.294,.517,46.6,54.5,2.7,4.4,.471,16.7,21.9,.373,.493,7.8,34.1,.286
