Gtm,Date,Location,Opp_name,Type,Rslt,Tm,Opp_score,OT,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,eFG%_opp,TOV%_opp,ORB%_opp,FT/FGA_opp
1,2016-11-11,"",Manhattan,REG (Non-Conf),W,76,64,"",100.5,84.6,75.6,.615,.346,.565,41.4,72.0,18.5,15.0,.548,18.2,23.3,.365,.419,24.5,45.0,.194
2,2016-11-13,@,Wake Forest,REG (Non-Conf),L,74,94,"",109.6,139.2,67.5,.134,.373,.519,43.3,40.0,7.4,6.3,.515,12.3,35.1,.075,.612,11.1,46.7,.397
3,2016-11-16,"",Robert Morris,REG (Non-Conf),W,75,62,"",101.9,84.2,73.6,.328,.361,.532,51.6,60.7,10.9,15.9,.492,16.6,32.4,.246,.465,23.3,26.7,.158
4,2016-11-19,@,Butler,REG (Non-Conf),L,60,86,"",87.0,124.8,68.9,.283,.413,.575,46.7,23.8,7.3,4.7,.533,25.7,4.5,.239,.690,11.2,13.0,.103
5,2016-11-21,@,Vanderbilt,REG (Non-Conf),W,75,72,"",115.1,110.5,65.2,.321,.358,.614,56.4,33.3,6.1,9.1,.585,15.3,31.8,.245,.524,10.8,27.3,.113
6,2016-11-24,N,Norfolk State,REG (Non-Conf),W,84,58,"",115.4,79.7,72.8,.344,.410,.592,57.6,43.3,13.7,4.3,.582,14.5,32.4,.213,.418,19.1,15.6,.218
7,2016-11-25,N,Northern Colorado,REG (Non-Conf),W,75,63,"",110.1,92.5,68.1,.286,.411,.590,50.9,42.9,4.4,6.7,.571,17.0,26.7,.196,.549,20.6,20.0,.137
8,2016-11-30,"",Richmond,REG (Non-Conf),W,73,68,"",90.2,84.0,81.0,.390,.373,.522,44.9,79.2,9.9,8.3,.483,16.7,8.3,.271,.433,16.5,23.8,.149
9,2016-12-03,@,La Salle,REG (Non-Conf),L,73,83,"",100.3,114.1,72.8,.327,.404,.608,44.2,46.2,6.9,9.8,.577,22.1,17.4,.250,.579,18.2,34.5,.298
10,2016-12-06,@,Fairfield,REG (Non-Conf),W,75,64,"",103.2,88.1,72.7,.231,.354,.520,50.0,45.2,17.9,8.3,.515,14.3,28.2,.123,.482,22.2,25.7,.158
11,2016-12-17,@,Siena,REG (Non-Conf),L,68,71,"",103.0,107.6,66.0,.439,.439,.494,49.3,47.6,9.1,8.8,.430,12.7,28.9,.333,.533,13.9,25.8,.478
12,2016-12-19,"",Mount St. Mary's,REG (Non-Conf),W,81,65,"",105.7,84.8,76.6,.481,.278,.610,59.3,58.6,11.7,27.3,.602,19.4,29.6,.296,.400,20.3,15.6,.382
13,2016-12-22,"",Princeton,REG (Non-Conf),L,70,72,"",105.0,108.0,66.7,.511,.600,.626,43.3,70.0,7.5,2.9,.600,17.7,3.6,.356,.491,9.5,21.9,.327
14,2016-12-30,@,Navy,REG (Conf),W,59,55,"",83.6,77.9,70.6,.700,.400,.443,48.0,58.8,14.2,10.0,.390,19.4,27.5,.400,.426,21.4,28.6,.167
15,2017-01-02,"",Army,REG (Conf),W,84,76,"",110.5,100.0,76.0,.426,.295,.573,48.6,51.6,6.6,5.1,.557,12.0,20.6,.262,.507,15.2,26.3,.119
16,2017-01-05,@,American,REG (Conf),W,69,60,"",103.1,89.7,66.9,.775,.225,.630,59.6,45.5,6.0,13.9,.588,22.6,20.0,.550,.445,13.9,15.6,.200
17,2017-01-08,@,Holy Cross,REG (Conf),W,68,49,"",109.1,78.6,62.3,.294,.412,.585,75.0,48.1,6.4,11.4,.598,19.4,52.2,.137,.406,15.0,6.9,.208
18,2017-01-11,"",Lehigh,REG (Conf),L,71,82,"",103.2,119.2,68.8,.321,.411,.550,44.4,60.0,8.7,2.4,.500,14.6,20.6,.268,.586,14.3,27.6,.241
19,2017-01-14,@,Colgate,REG (Conf),W,83,69,"",124.9,103.8,66.5,.620,.360,.641,62.1,46.4,9.0,12.1,.650,13.4,36.0,.360,.526,12.3,18.2,.138
20,2017-01-18,"",Loyola (MD),REG (Conf),W,76,63,"",113.8,94.3,66.8,.346,.308,.628,50.0,57.1,10.5,7.9,.615,18.8,28.0,.231,.482,15.6,33.3,.161
21,2017-01-21,"",Boston University,REG (Conf),W,70,59,"",103.3,87.1,67.8,.587,.283,.595,48.3,54.2,11.8,20.0,.565,20.3,27.3,.391,.450,20.6,39.5,.083
22,2017-01-25,@,Lafayette,REG (Conf),W,78,55,"",105.1,74.1,74.2,.470,.515,.483,55.7,61.9,12.1,4.8,.402,14.8,43.5,.379,.383,20.7,31.0,.094
23,2017-01-28,@,Army,REG (Conf),W,96,75,"",127.6,99.7,75.2,.367,.333,.681,61.7,42.9,9.3,5.4,.658,15.6,37.5,.283,.508,13.1,22.2,.156
24,2017-02-01,"",American,REG (Conf),W,80,60,"",112.7,84.5,71.0,.408,.367,.684,59.6,56.7,11.3,10.8,.694,20.4,10.0,.245,.459,19.1,9.4,.306
25,2017-02-06,"",Holy Cross,REG (Conf),W,82,68,"",110.7,91.8,74.1,.480,.600,.668,56.6,72.0,13.5,10.0,.630,23.6,29.6,.380,.518,21.3,15.4,.158
26,2017-02-08,@,Lehigh,REG (Conf),L,71,79,"",95.5,106.3,74.3,.194,.343,.485,44.1,42.3,6.7,10.0,.440,9.9,16.7,.179,.517,16.0,25.0,.305
27,2017-02-13,"",Colgate,REG (Conf),W,75,58,"",107.9,83.4,69.5,.377,.358,.600,51.9,65.4,15.8,6.1,.557,15.0,18.5,.302,.479,23.1,12.0,.250
28,2017-02-15,@,Loyola (MD),REG (Conf),L,77,78,"",109.6,111.1,70.2,.291,.345,.615,37.5,55.2,11.4,7.1,.636,17.2,20.0,.127,.613,20.8,42.3,.245
29,2017-02-19,@,Boston University,REG (Conf),W,86,66,"",119.8,91.9,71.8,.236,.400,.703,55.1,59.4,7.0,23.1,.691,22.7,36.4,.182,.436,17.4,29.6,.327
