Gtm,Date,Location,Opp_name,Type,Rslt,Tm,Opp_score,OT,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,eFG%_opp,TOV%_opp,ORB%_opp,FT/FGA_opp
1,2016-11-11,"",Savannah State,REG (Non-Conf),W,113,71,"",115.8,72.8,97.6,.235,.306,.598,64.5,66.0,11.3,14.3,.600,17.5,39.5,.129,.414,20.8,18.2,.105
2,2016-11-14,"",Mount St. Mary's,REG (Non-Conf),W,73,55,"",96.5,72.7,75.6,.209,.239,.496,57.1,46.7,6.6,6.8,.478,13.0,26.3,.134,.328,15.4,17.4,.203
3,2016-11-20,"",The Citadel,REG (Non-Conf),W,130,63,"",142.0,68.8,91.6,.302,.256,.661,68.5,59.6,13.1,6.3,.651,7.5,40.5,.209,.370,17.2,12.7,.078
4,2016-11-24,N,Indiana State,REG (Non-Conf),W,73,71,"",92.7,90.2,78.7,.397,.342,.421,49.4,20.0,12.7,5.7,.397,10.3,32.0,.205,.553,23.9,22.6,.140
5,2016-11-25,N,Miami (FL),REG (Non-Conf),W,73,56,"",102.1,78.3,71.5,.295,.311,.525,48.5,40.0,14.0,2.9,.475,12.6,22.9,.246,.380,23.9,24.2,.360
6,2016-11-27,N,Gonzaga,REG (Non-Conf),L,71,73,"",112.3,115.4,63.3,.121,.364,.509,50.0,44.8,3.2,13.3,.500,6.7,32.4,.076,.609,15.3,27.6,.109
7,2016-12-01,"",Cincinnati,REG (Non-Conf),L,54,55,OT,86.4,88.0,55.5,.183,.350,.414,40.8,22.7,9.6,7.3,.408,8.4,25.0,.083,.379,15.2,41.7,.129
8,2016-12-05,"",Omaha,REG (Non-Conf),W,91,47,"",122.6,63.3,74.2,.215,.446,.635,50.6,66.7,14.8,15.6,.623,13.3,28.1,.154,.321,21.2,33.3,.060
9,2016-12-08,@,Iowa,REG (Non-Conf),L,64,78,"",87.3,106.4,73.3,.129,.429,.431,46.1,36.0,9.5,3.0,.414,12.9,24.4,.086,.555,16.4,22.6,.309
10,2016-12-17,N,Drake,REG (Non-Conf),W,97,80,"",125.4,103.4,77.3,.312,.416,.549,51.7,58.8,5.2,10.0,.532,5.4,34.0,.195,.486,11.3,27.5,.108
11,2016-12-20,"",Mississippi Valley State,REG (Non-Conf),W,88,60,"",123.7,84.4,71.1,.286,.464,.692,58.5,65.6,7.0,6.3,.688,19.1,31.8,.196,.386,12.1,27.9,.136
12,2016-12-30,"",Texas Tech,REG (Conf),W,63,56,"",104.7,93.1,60.2,.340,.396,.512,39.7,47.6,3.3,2.8,.453,8.9,20.6,.283,.439,17.6,41.2,.105
13,2017-01-04,@,Baylor,REG (Conf),L,63,65,"",95.9,99.0,65.7,.180,.361,.476,37.7,66.7,10.7,2.4,.475,7.0,16.7,.082,.466,16.4,39.4,.169
14,2017-01-07,"",Texas,REG (Conf),W,79,70,"",108.0,95.7,73.2,.185,.369,.559,44.1,59.4,16.4,5.7,.569,13.5,20.6,.077,.608,24.5,24.0,.157
15,2017-01-11,@,Oklahoma State,REG (Conf),W,96,86,"",125.7,112.6,76.4,.261,.377,.619,45.2,50.0,17.0,11.4,.594,10.4,28.1,.203,.586,18.6,36.7,.172
16,2017-01-14,@,TCU,REG (Conf),L,77,84,"",107.2,117.0,71.8,.138,.338,.556,38.2,53.3,13.9,4.9,.531,11.5,20.7,.123,.631,18.2,42.3,.031
17,2017-01-16,"",Kansas,REG (Conf),L,72,76,"",102.8,108.5,70.1,.159,.429,.531,35.0,53.6,15.7,10.6,.516,12.9,19.4,.111,.597,21.9,48.3,.032
18,2017-01-21,@,Oklahoma,REG (Conf),W,92,87,2OT,97.8,92.5,75.3,.360,.467,.524,45.1,43.8,19.1,7.7,.493,15.4,27.3,.240,.465,22.9,34.2,.278
19,2017-01-24,"",Kansas State,REG (Conf),W,70,65,"",97.2,90.2,72.1,.385,.442,.569,47.0,66.7,8.3,21.6,.567,18.5,10.0,.212,.458,15.1,22.2,.167
20,2017-01-28,@,Vanderbilt,REG (Non-Conf),L,78,84,"",110.6,119.1,70.5,.197,.459,.585,45.6,36.7,11.3,22.7,.566,8.3,10.3,.148,.606,15.7,17.9,.404
21,2017-01-31,"",West Virginia,REG (Conf),L,72,85,"",100.3,118.4,71.8,.328,.448,.537,50.8,73.9,11.1,5.1,.483,18.3,36.4,.276,.567,16.8,33.3,.283
22,2017-02-04,@,Kansas,REG (Conf),W,92,89,OT,119.9,116.0,68.2,.219,.531,.651,36.4,43.8,15.6,7.9,.641,11.3,17.1,.156,.583,21.5,41.9,.317
23,2017-02-07,@,Texas,REG (Conf),L,65,67,"",94.9,97.8,68.5,.232,.446,.523,45.6,52.2,10.2,9.8,.491,13.9,16.1,.179,.464,16.1,29.7,.291
24,2017-02-11,"",Oklahoma,REG (Conf),W,80,64,"",114.1,91.3,70.1,.185,.400,.566,39.7,56.7,10.0,14.6,.554,5.4,11.8,.123,.418,16.8,35.9,.213
25,2017-02-15,@,Kansas State,REG (Conf),W,87,79,"",118.9,108.0,73.2,.464,.268,.636,51.7,62.1,8.2,4.3,.580,14.9,31.0,.393,.485,9.5,29.0,.227
26,2017-02-18,"",TCU,REG (Conf),W,84,71,"",121.1,102.3,69.4,.396,.472,.667,50.0,70.4,10.1,0.0,.623,13.7,20.0,.340,.600,24.4,24.1,.091
27,2017-02-20,@,Texas Tech,REG (Conf),W,82,80,OT,112.6,109.8,64.8,.446,.429,.604,47.7,50.0,6.9,8.9,.571,13.9,23.3,.321,.447,7.1,31.4,.318
28,2017-02-25,"",Baylor,REG (Conf),W,72,69,"",130.3,124.9,55.3,.333,.333,.691,28.3,61.5,7.2,12.8,.667,7.1,11.1,.267,.541,13.6,60.7,.049
29,2017-02-28,"",Oklahoma State,REG (Conf),W,86,83,"",121.4,117.2,70.8,.356,.525,.623,39.7,75.0,11.3,9.1,.602,9.2,11.8,.254,.602,15.5,27.6,.203
30,2017-03-03,@,West Virginia,REG (Conf),L,76,87,"",98.5,112.7,77.2,.350,.517,.543,33.8,60.9,10.4,8.3,.492,15.7,14.3,.283,.493,15.0,47.2,.313
31,2017-03-09,N,Oklahoma State,CTOURN,W,92,83,"",123.6,111.5,74.4,.482,.429,.668,48.6,70.0,5.4,14.8,.643,12.7,19.2,.357,.442,5.5,34.8,.195
32,2017-03-10,N,TCU,CTOURN,W,84,63,"",127.0,95.3,66.1,.309,.455,.666,51.7,41.9,6.0,14.3,.673,8.7,16.7,.182,.434,10.6,23.5,.164
33,2017-03-11,N,West Virginia,CTOURN,W,80,74,"",114.1,105.6,70.1,.254,.322,.605,54.5,34.4,15.7,6.1,.593,14.3,29.6,.169,.589,16.9,21.4,.143
