Gtm,Date,Location,Opp_name,Type,Rslt,Tm,Opp_score,OT,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,eFG%_opp,TOV%_opp,ORB%_opp,FT/FGA_opp
1,2016-11-11,"",American,REG (Non-Conf),W,62,56,"",97.4,88.0,63.6,.481,.269,.485,66.1,35.0,4.7,6.9,.423,21.0,48.5,.346,.500,18.1,13.8,.077
2,2016-11-15,@,Georgetown,REG (Non-Conf),W,76,75,"",101.7,100.4,74.7,.379,.466,.555,50.8,42.3,8.0,20.0,.509,17.0,26.7,.293,.380,17.7,28.6,.740
3,2016-11-17,"","",REG (Non-Conf),W,93,45,"",120.1,58.1,77.5,.774,.435,.548,67.1,66.7,15.5,19.4,.492,12.4,50.0,.516,.340,29.6,7.1,.220
4,2016-11-20,"",Towson,REG (Non-Conf),W,71,66,"",98.5,91.6,72.1,.627,.510,.536,43.3,55.6,4.2,16.7,.441,15.3,20.0,.510,.405,14.0,37.8,.238
5,2016-11-22,"",Stony Brook,REG (Non-Conf),W,77,63,"",105.8,86.5,72.8,.702,.404,.614,47.1,52.2,6.9,10.0,.574,14.9,11.1,.489,.367,13.8,29.3,.250
6,2016-11-25,N,Richmond,REG (Non-Conf),W,88,82,OT,103.4,96.3,75.7,.507,.463,.529,54.1,40.7,8.2,6.8,.478,17.0,33.3,.358,.530,16.7,18.8,.164
7,2016-11-26,N,Kansas State,REG (Non-Conf),W,69,68,"",111.5,109.9,61.9,.345,.309,.539,49.2,56.0,4.8,20.0,.500,11.1,37.5,.255,.483,12.0,37.9,.167
8,2016-11-29,"",Pittsburgh,REG (Non-Conf),L,59,73,"",85.1,105.3,69.3,.197,.590,.442,47.9,57.1,2.9,16.7,.426,17.3,22.5,.115,.509,11.0,19.4,.333
9,2016-12-03,"",Oklahoma State,REG (Non-Conf),W,71,70,"",97.3,95.9,73.0,.492,.373,.488,48.1,45.8,5.5,11.9,.441,19.8,37.5,.322,.470,17.4,41.0,.121
10,2016-12-07,"",Howard,REG (Non-Conf),W,79,56,"",120.8,85.6,65.4,.190,.517,.625,58.1,69.0,6.1,15.8,.603,17.1,35.7,.155,.417,15.2,23.5,.204
11,2016-12-10,"",Saint Peter's,REG (Non-Conf),W,66,56,"",101.1,85.8,65.3,.659,.409,.571,48.4,65.0,6.1,7.9,.534,16.0,11.1,.432,.433,13.6,24.3,.067
12,2016-12-12,"",Jacksonville State,REG (Non-Conf),W,92,66,"",133.2,95.5,69.1,.745,.362,.723,50.9,59.3,10.1,8.1,.691,15.9,25.0,.574,.500,19.3,29.0,.222
13,2016-12-20,N,Charlotte,REG (Non-Conf),W,88,72,"",111.5,91.2,78.9,.527,.455,.640,57.9,59.3,10.1,4.4,.591,23.4,34.6,.418,.492,20.2,22.6,.237
14,2016-12-27,"",Illinois,REG (Conf),W,84,59,"",113.1,79.4,74.3,.305,.356,.622,50.8,48.5,9.4,10.8,.619,17.2,25.0,.186,.390,20.0,29.7,.220
15,2017-01-01,"",Nebraska,REG (Conf),L,65,67,"",89.9,92.7,72.3,.246,.385,.448,46.8,47.8,8.3,13.3,.438,18.1,33.3,.123,.456,18.1,37.1,.263
16,2017-01-07,@,Michigan,REG (Conf),W,77,70,"",120.9,109.9,63.7,.259,.278,.635,57.7,46.4,7.8,5.7,.611,15.4,33.3,.204,.571,12.9,21.4,.107
17,2017-01-10,"",Indiana,REG (Conf),W,75,72,"",108.1,103.8,69.4,.386,.333,.556,48.3,36.0,5.8,22.0,.500,10.6,30.0,.316,.500,17.0,33.3,.125
18,2017-01-14,@,Illinois,REG (Conf),W,62,56,"",91.7,82.8,67.6,.370,.407,.488,52.2,43.5,11.8,8.8,.481,14.8,20.6,.185,.438,16.5,15.2,.125
19,2017-01-19,@,Iowa,REG (Conf),W,84,76,"",106.7,96.6,78.7,.340,.434,.682,47.3,76.7,17.8,9.5,.670,25.4,16.7,.245,.407,16.3,38.0,.271
20,2017-01-24,"",Rutgers,REG (Conf),W,67,55,"",94.7,77.8,70.7,.365,.385,.549,50.7,65.2,9.9,11.8,.519,22.8,36.0,.250,.363,17.0,40.5,.161
21,2017-01-28,@,Minnesota,REG (Conf),W,85,78,"",123.3,113.2,68.9,.373,.305,.612,44.1,63.3,7.3,4.7,.602,9.2,23.5,.237,.492,12.3,35.3,.317
22,2017-01-31,@,Ohio State,REG (Conf),W,77,71,"",122.1,112.6,63.1,.309,.473,.610,53.6,55.6,1.6,13.5,.582,14.8,39.3,.236,.546,13.9,32.1,.222
23,2017-02-04,"",Purdue,REG (Conf),L,72,73,"",96.4,97.8,74.7,.483,.328,.505,48.6,60.9,5.4,24.4,.431,13.4,20.0,.379,.452,12.2,22.9,.254
24,2017-02-07,@,Penn State,REG (Conf),L,64,70,"",91.5,100.1,69.9,.458,.441,.446,47.8,65.0,10.0,6.5,.398,13.3,28.9,.288,.449,13.0,29.0,.531
25,2017-02-11,"",Ohio State,REG (Conf),W,86,77,"",124.8,111.7,68.9,.509,.527,.630,46.6,70.4,4.4,7.7,.600,9.3,24.1,.364,.554,17.8,31.0,.268
26,2017-02-15,@,Northwestern,REG (Conf),W,74,64,"",105.0,90.8,70.5,.315,.333,.596,54.1,55.6,8.5,10.8,.574,17.3,19.2,.222,.432,10.3,20.0,.220
