Gtm,Date,Location,Opp_name,Type,Rslt,Tm,Opp_score,OT,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,eFG%_opp,TOV%_opp,ORB%_opp,FT/FGA_opp
1,2016-11-11,"",Western Carolina,REG (Non-Conf),W,92,43,"",122.2,57.1,75.3,.581,.210,.582,59.5,48.4,12.0,23.5,.548,11.2,37.1,.387,.306,19.0,22.7,.030
2,2016-11-16,@,North Florida,REG (Non-Conf),W,94,56,"",129.9,77.4,72.4,.235,.294,.622,63.6,37.8,12.4,5.4,.596,11.7,46.4,.191,.402,17.2,23.7,.115
3,2016-11-19,"",Pennsylvania,REG (Non-Conf),W,74,62,"",101.8,85.3,72.7,.210,.323,.543,52.5,35.7,15.1,15.2,.500,19.0,36.7,.194,.473,24.3,32.3,.161
4,2016-11-24,N,Stanford,REG (Non-Conf),W,67,53,"",101.8,80.5,65.8,.480,.260,.546,46.7,30.4,12.2,10.3,.510,15.2,22.6,.320,.441,24.3,27.6,.157
5,2016-11-25,N,Iowa State,REG (Non-Conf),L,56,73,"",78.3,102.1,71.5,.440,.320,.463,51.5,33.3,9.8,4.8,.380,23.9,24.2,.360,.475,12.6,22.9,.246
6,2016-11-27,N,Florida,REG (Non-Conf),L,56,65,"",87.0,101.0,64.4,.148,.230,.429,50.8,34.8,6.2,4.7,.410,16.6,35.3,.098,.490,12.8,29.6,.269
7,2016-11-30,"",Rutgers,REG (Non-Conf),W,73,61,"",102.1,85.3,71.5,.407,.222,.566,61.9,34.6,9.8,17.0,.509,22.8,42.3,.333,.389,11.3,24.3,.190
8,2016-12-03,N,Wofford,REG (Non-Conf),W,74,57,"",112.0,86.3,66.1,.438,.313,.638,59.3,62.5,10.6,5.7,.573,21.6,40.0,.396,.405,15.6,26.5,.172
9,2016-12-06,"",South Carolina State,REG (Non-Conf),W,82,46,"",124.8,70.0,65.7,.276,.431,.625,63.8,77.4,9.1,14.6,.621,15.5,41.4,.172,.323,10.8,20.0,.097
10,2016-12-16,"",Florida Atlantic,REG (Non-Conf),W,76,56,"",114.0,84.0,66.7,.491,.345,.560,64.7,52.0,10.5,7.5,.527,14.0,43.8,.327,.360,12.1,16.7,.263
11,2016-12-22,"",George Washington,REG (Non-Conf),W,72,64,"",115.1,102.3,62.6,.333,.246,.545,48.4,40.0,8.0,8.8,.500,8.3,31.3,.263,.473,14.8,34.4,.196
12,2016-12-28,"",Columbia,REG (Non-Conf),W,78,67,"",104.3,89.6,74.8,.396,.377,.619,60.7,51.7,13.4,15.9,.623,24.1,33.3,.226,.509,20.4,7.7,.200
13,2016-12-31,"",NC State,REG (Conf),W,81,63,"",120.5,93.7,67.2,.354,.308,.533,55.9,25.8,13.4,6.5,.523,9.5,45.7,.200,.481,19.3,33.3,.204
14,2017-01-04,@,Syracuse,REG (Conf),L,55,70,"",89.1,113.5,61.7,.185,.481,.468,45.1,71.4,6.5,8.0,.491,19.2,29.4,.037,.659,21.7,23.5,.273
15,2017-01-12,"",Notre Dame,REG (Conf),L,62,67,"",91.0,98.3,68.2,.222,.286,.445,57.3,29.2,4.4,25.5,.429,15.7,41.0,.127,.410,6.4,25.0,.179
16,2017-01-14,@,Pittsburgh,REG (Conf),W,72,46,"",114.1,72.9,63.1,.056,.389,.650,61.4,56.7,9.5,16.7,.648,21.3,33.3,.037,.387,19.8,22.2,.094
17,2017-01-18,@,Wake Forest,REG (Conf),L,79,96,"",109.3,132.8,72.3,.417,.383,.550,48.2,53.8,4.2,3.0,.500,10.0,24.2,.317,.663,11.7,17.4,.519
18,2017-01-21,@,Duke,REG (Conf),L,58,70,"",85.9,103.7,67.5,.273,.291,.467,50.8,45.5,8.9,8.3,.464,21.5,29.7,.127,.510,13.7,21.4,.327
19,2017-01-25,"",Boston College,REG (Conf),W,78,77,"",104.3,103.0,74.8,.444,.333,.596,52.4,44.4,9.4,12.8,.556,18.7,20.0,.333,.540,14.8,18.2,.161
20,2017-01-28,"",North Carolina,REG (Conf),W,77,62,"",105.3,84.8,73.1,.536,.357,.548,53.7,60.9,10.9,16.7,.473,12.5,28.1,.429,.408,16.9,22.9,.217
21,2017-02-01,"",Florida State,REG (Conf),L,57,75,"",97.0,127.6,58.8,.524,.262,.543,47.8,26.3,8.5,2.9,.476,21.1,34.8,.405,.587,13.2,39.1,.269
22,2017-02-04,@,NC State,REG (Conf),W,84,79,"",129.5,121.8,64.9,.226,.339,.612,60.0,51.6,7.7,6.7,.589,12.7,42.9,.177,.677,16.4,18.2,.292
23,2017-02-08,"",Virginia Tech,REG (Conf),W,74,68,"",104.9,96.4,70.5,.203,.328,.527,50.0,51.7,8.5,15.2,.508,11.4,21.9,.141,.522,19.5,12.5,.435
24,2017-02-11,@,Louisville,REG (Conf),L,66,71,"",106.0,114.1,62.2,.404,.288,.532,46.0,56.5,6.4,14.3,.490,11.4,26.7,.288,.491,12.1,36.4,.286
25,2017-02-15,"",Georgia Tech,REG (Conf),W,70,61,"",110.9,96.6,63.1,.711,.316,.689,64.4,42.9,12.7,6.9,.632,22.8,21.1,.579,.567,18.3,3.8,.038
26,2017-02-18,"",Clemson,REG (Conf),W,71,65,"",115.2,105.4,61.7,.232,.339,.571,50.0,67.9,9.7,7.1,.554,10.1,28.6,.161,.483,9.6,32.4,.136
27,2017-02-20,@,Virginia,REG (Conf),W,54,48,OT,89.3,79.4,53.8,.537,.463,.525,54.2,60.0,6.6,7.7,.415,22.6,25.0,.488,.343,12.9,25.7,.255
28,2017-02-25,"",Duke,REG (Conf),W,55,50,"",82.8,75.2,66.5,.241,.138,.425,48.0,36.4,13.5,11.1,.388,12.2,27.3,.172,.356,15.6,35.7,.045
29,2017-02-27,@,Virginia Tech,REG (Conf),L,61,66,"",98.8,106.9,61.7,.347,.429,.534,51.1,71.4,9.7,5.9,.500,13.6,8.7,.245,.649,18.2,4.5,.486
30,2017-03-04,@,Florida State,REG (Conf),L,57,66,"",89.7,103.9,63.6,.442,.395,.548,44.6,50.0,6.3,5.3,.512,20.0,8.7,.302,.474,12.1,30.3,.211
31,2017-03-08,N,Syracuse,CTOURN,W,62,57,"",110.8,101.9,55.9,.235,.451,.547,52.9,59.1,7.2,8.7,.520,11.0,25.9,.176,.511,15.2,16.7,.273
32,2017-03-09,N,North Carolina,CTOURN,L,53,78,"",82.7,121.7,64.1,.302,.396,.437,44.1,36.8,10.9,11.1,.406,18.8,29.4,.189,.594,15.2,36.0,.283
