Gtm,Date,Location,Opp_name,Type,Rslt,Tm,Opp_score,OT,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,eFG%_opp,TOV%_opp,ORB%_opp,FT/FGA_opp
1,2016-11-11,"","",REG (Non-Conf),W,102,64,"",131.1,82.2,77.8,.414,.243,.609,65.3,59.0,5.1,9.7,.593,11.6,46.9,.271,.477,19.1,20.0,.031
2,2016-11-15,"",Murray State,REG (Non-Conf),W,87,81,"",119.2,111.0,73.0,.354,.277,.573,51.5,37.5,4.1,10.0,.538,10.6,34.3,.262,.516,13.2,30.3,.254
3,2016-11-19,"",Tennessee State,REG (Non-Conf),L,63,74,"",89.2,104.8,70.6,.339,.393,.484,39.6,54.2,9.9,10.5,.500,16.7,21.2,.125,.543,19.7,30.0,.489
4,2016-11-22,"",Toledo,REG (Non-Conf),W,80,70,"",111.3,97.4,71.9,.162,.147,.546,57.8,37.1,15.3,19.4,.537,9.8,34.5,.103,.509,17.4,22.9,.190
5,2016-11-25,N,UNC Wilmington,REG (Non-Conf),W,68,63,"",99.7,92.4,68.2,.800,.225,.616,51.7,62.5,17.6,7.7,.650,22.5,30.0,.400,.419,20.0,36.8,.177
6,2016-11-26,N,Toledo,REG (Non-Conf),W,73,70,OT,100.7,96.6,64.4,.554,.179,.516,37.9,44.0,9.7,7.7,.473,5.4,5.6,.357,.480,20.2,23.3,.469
7,2016-11-27,N,Evansville,REG (Non-Conf),W,66,55,"",101.6,84.7,65.0,.327,.269,.549,47.2,56.0,10.8,10.0,.529,13.0,17.2,.212,.463,24.3,16.7,.450
8,2016-11-30,@,Ole Miss,REG (Non-Conf),W,77,62,"",114.5,92.2,67.3,.200,.267,.586,44.1,75.9,10.4,4.0,.558,9.6,13.8,.167,.478,21.7,26.7,.422
9,2016-12-03,@,South Alabama,REG (Non-Conf),W,67,55,"",102.2,83.9,65.6,.212,.385,.585,64.8,76.9,13.7,11.5,.577,21.9,36.0,.135,.465,22.9,10.3,.349
10,2016-12-08,"",Vanderbilt,REG (Non-Conf),W,71,48,"",104.1,70.4,68.2,.213,.393,.528,56.1,53.6,14.7,8.8,.516,8.2,16.7,.131,.368,18.0,11.1,.170
11,2016-12-14,@,Belmont,REG (Non-Conf),W,79,66,"",124.5,104.0,63.5,.283,.333,.580,49.2,60.7,12.6,16.0,.542,5.5,24.2,.233,.556,18.6,23.3,.111
12,2016-12-17,@,VCU,REG (Non-Conf),L,77,80,"",111.8,116.1,68.9,.436,.255,.580,57.1,44.4,2.9,2.6,.564,15.3,27.6,.273,.579,6.8,17.6,.246
13,2016-12-21,"",Georgia State,REG (Non-Conf),L,56,64,"",87.1,99.5,64.3,.353,.510,.470,46.4,50.0,15.5,7.7,.422,16.8,23.3,.255,.587,23.9,26.9,.217
14,2017-01-01,"",UAB,REG (Conf),W,60,49,"",97.9,80.0,61.3,.362,.383,.545,53.4,47.6,11.4,5.9,.521,19.1,28.6,.234,.384,23.0,23.3,.372
15,2017-01-05,@,Rice,REG (Conf),W,80,77,"",114.6,110.3,69.8,.283,.283,.588,46.8,70.0,7.2,3.0,.575,11.7,21.2,.183,.557,18.3,24.1,.340
16,2017-01-07,@,North Texas,REG (Conf),W,79,68,"",118.6,102.0,66.6,.313,.313,.537,57.8,63.0,9.0,12.1,.477,6.4,33.3,.281,.553,12.9,10.7,.340
17,2017-01-12,"",Marshall,REG (Conf),W,69,57,"",92.4,76.4,74.7,.111,.236,.455,68.8,65.5,10.7,17.1,.438,19.2,46.3,.083,.417,18.1,7.7,.222
18,2017-01-14,"",Western Kentucky,REG (Conf),W,91,76,"",136.3,113.8,66.8,.293,.328,.689,63.3,69.4,12.0,2.9,.698,16.4,52.0,.172,.653,19.1,25.0,.245
19,2017-01-19,@,Florida International,REG (Conf),W,65,52,"",111.3,89.0,58.4,.362,.213,.590,58.8,62.5,12.0,9.5,.543,16.6,42.9,.298,.415,16.0,30.0,.151
20,2017-01-21,@,Florida Atlantic,REG (Conf),W,86,57,"",122.1,80.9,70.4,.188,.297,.617,46.5,33.3,18.5,9.5,.617,9.1,20.0,.109,.395,19.0,34.1,.129
21,2017-01-26,"",Southern Mississippi,REG (Conf),W,72,56,"",119.3,92.8,60.4,.034,.525,.601,54.9,56.7,13.3,9.7,.602,10.5,33.3,.017,.490,22.1,20.8,.188
22,2017-01-28,"",Louisiana Tech,REG (Conf),W,71,61,"",107.2,92.1,66.2,.190,.175,.517,57.6,32.3,4.5,17.1,.508,13.8,43.8,.111,.400,16.9,29.4,.420
23,2017-02-02,@,UTSA,REG (Conf),W,69,59,"",109.3,93.4,63.2,.259,.352,.569,56.7,64.0,6.3,5.1,.528,17.7,37.0,.222,.438,12.6,27.3,.179
24,2017-02-04,@,UTEP,REG (Conf),L,54,57,"",89.0,94.0,60.7,.222,.422,.543,59.6,63.6,6.6,5.9,.544,26.6,30.4,.111,.457,16.8,17.2,.326
25,2017-02-09,"",Old Dominion,REG (Conf),W,64,51,"",104.1,83.0,61.5,.231,.423,.555,50.0,54.5,13.0,8.8,.510,16.0,26.9,.212,.439,21.7,28.6,.163
26,2017-02-11,"",Charlotte,REG (Conf),W,70,55,"",100.2,78.8,69.8,.203,.234,.499,54.3,37.9,11.5,11.4,.477,9.1,20.0,.141,.413,16.3,11.4,.231
27,2017-02-16,@,Western Kentucky,REG (Conf),W,78,52,"",131.8,87.9,59.2,.190,.293,.617,58.2,71.0,10.1,3.7,.595,4.5,20.8,.155,.467,13.1,12.9,.196
28,2017-02-18,@,Marshall,REG (Conf),W,97,86,"",126.2,111.9,76.9,.400,.246,.627,53.2,35.3,7.8,2.5,.569,9.4,34.5,.354,.508,13.6,30.3,.328
29,2017-02-26,@,UAB,REG (Conf),W,66,64,"",108.4,105.1,60.9,.119,.339,.529,58.2,61.5,4.9,6.1,.517,13.8,35.5,.085,.533,14.2,12.5,.356
30,2017-03-02,"",Florida International,REG (Conf),W,70,67,"",106.7,102.2,65.6,.345,.309,.547,54.2,52.0,7.6,7.9,.500,13.5,29.0,.273,.538,15.5,17.9,.189
31,2017-03-04,"",Florida Atlantic,REG (Conf),W,93,59,"",125.6,79.7,74.0,.491,.193,.661,67.8,30.3,5.4,2.5,.605,12.5,27.3,.421,.349,13.0,8.1,.415
32,2017-03-09,N,UTSA,CTOURN,W,86,70,"",133.5,108.7,64.4,.321,.304,.666,45.2,60.6,7.8,13.5,.670,9.8,34.6,.196,.431,14.4,47.2,.345
33,2017-03-10,N,UTEP,CTOURN,W,82,56,"",112.4,76.8,72.9,.426,.344,.559,57.6,59.3,16.5,4.9,.508,10.9,28.1,.328,.412,21.9,14.7,.275
34,2017-03-11,N,Marshall,CTOURN,W,83,72,"",112.5,97.6,73.8,.482,.250,.603,54.2,46.7,8.1,8.1,.571,12.7,21.4,.339,.464,12.8,25.0,.116
