Gtm,Date,Location,Opp_name,Type,Rslt,Tm,Opp_score,OT,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,eFG%_opp,TOV%_opp,ORB%_opp,FT/FGA_opp
1,2016-11-11,@,St. Mary's (CA),REG (Non-Conf),L,63,81,"",107.2,137.8,58.8,.511,.362,.539,41.8,63.6,5.1,11.9,.521,12.0,24.1,.298,.645,8.8,38.5,.182
2,2016-11-14,"",Loyola Marymount,REG (Non-Conf),W,79,64,"",111.2,90.1,71.1,.521,.354,.660,55.6,70.4,7.0,10.9,.625,21.1,28.6,.396,.461,14.8,27.3,.078
3,2016-11-18,"",Oregon State,REG (Non-Conf),W,83,58,"",110.6,77.3,75.1,.500,.414,.578,54.7,67.9,14.7,2.1,.543,17.3,35.3,.345,.466,24.3,23.3,.051
4,2016-11-20,"",Iona,REG (Non-Conf),W,91,76,"",119.2,99.5,76.4,.567,.300,.598,51.3,60.0,9.2,14.3,.558,9.5,25.0,.400,.451,11.2,27.3,.169
5,2016-11-23,N,Oakland,REG (Non-Conf),W,82,78,"",109.8,104.4,74.7,.383,.333,.578,51.5,77.8,6.7,4.5,.542,14.5,32.4,.283,.508,15.0,28.1,.203
6,2016-11-25,N,Buffalo,REG (Non-Conf),W,67,62,"",94.2,87.2,71.1,.262,.525,.488,46.6,72.7,5.6,15.2,.451,15.9,25.0,.197,.397,13.5,32.4,.190
7,2016-11-26,N,Iona,REG (Non-Conf),L,73,75,"",101.0,103.7,72.3,.354,.431,.481,58.0,75.0,6.9,19.4,.431,9.5,33.3,.262,.578,16.9,10.0,.138
8,2016-11-29,"",Pacific,REG (Non-Conf),W,77,67,"",107.2,93.3,71.8,.577,.481,.581,49.3,72.7,1.4,16.7,.529,15.3,23.3,.423,.437,13.0,30.8,.070
9,2016-12-03,@,Bradley,REG (Non-Conf),W,91,69,"",126.5,95.9,72.0,.611,.426,.653,59.1,63.3,6.9,11.9,.657,14.7,36.7,.370,.484,17.2,22.2,.145
10,2016-12-11,@,Washington,REG (Non-Conf),W,87,85,"",119.6,116.9,72.7,.453,.359,.559,51.8,37.9,5.5,12.8,.508,14.3,42.4,.344,.649,17.0,34.8,.193
11,2016-12-14,"",UC Irvine,REG (Non-Conf),W,76,69,"",106.6,96.8,71.3,.397,.397,.508,45.2,76.0,8.4,8.7,.500,8.5,26.1,.206,.457,13.0,31.6,.087
12,2016-12-21,N,Towson,REG (Non-Conf),W,81,72,"",117.7,104.6,68.8,.612,.408,.640,55.7,45.8,5.8,8.9,.592,20.2,41.7,.469,.419,9.8,35.1,.323
13,2016-12-22,N,UC Santa Barbara,REG (Non-Conf),W,67,66,"",95.4,93.9,70.3,.574,.407,.487,53.7,54.5,2.8,8.7,.491,11.6,26.7,.259,.423,6.3,24.3,.085
14,2016-12-28,"",San Jose State,REG (Conf),W,80,55,"",108.0,74.3,74.1,.582,.291,.570,60.5,57.7,2.7,11.4,.527,14.6,25.0,.400,.308,7.3,16.3,.231
15,2016-12-31,@,Fresno State,REG (Conf),L,76,77,"",100.7,102.0,75.5,.217,.517,.574,48.6,46.2,5.3,11.1,.542,20.4,23.3,.183,.464,8.9,34.1,.188
16,2017-01-04,"",San Diego State,REG (Conf),W,72,69,"",104.8,100.4,68.7,.246,.431,.496,58.1,53.8,4.4,18.8,.469,9.9,34.3,.169,.485,9.1,20.5,.060
17,2017-01-07,@,New Mexico,REG (Conf),W,105,104,OT,114.2,113.2,81.7,.360,.427,.598,55.3,69.4,2.2,16.1,.580,12.0,20.0,.240,.534,5.2,14.6,.356
18,2017-01-14,@,Wyoming,REG (Conf),W,89,74,"",104.3,86.7,85.4,.578,.328,.546,60.0,42.3,9.4,10.7,.453,15.5,32.5,.484,.385,16.3,12.5,.443
19,2017-01-18,"",Air Force,REG (Conf),W,83,76,"",111.8,102.4,74.2,.400,.491,.634,41.3,73.3,8.1,13.3,.636,16.6,13.3,.236,.509,21.2,33.3,.293
20,2017-01-21,"",Fresno State,REG (Conf),L,76,81,"",108.6,115.8,70.0,.328,.362,.567,34.0,59.3,10.0,10.0,.534,10.7,14.3,.241,.598,19.3,40.9,.392
21,2017-01-25,@,Boise State,REG (Conf),W,76,57,"",110.8,83.1,68.6,.286,.429,.531,51.4,53.8,8.7,24.2,.484,8.9,27.0,.238,.404,15.9,21.2,.193
22,2017-01-28,"",New Mexico,REG (Conf),W,82,65,"",114.8,91.0,71.4,.540,.460,.653,54.2,69.2,16.8,0.0,.630,19.3,28.0,.380,.445,19.8,26.5,.291
