Gtm,Date,Location,Opp_name,Type,Rslt,Tm,Opp_score,OT,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,eFG%_opp,TOV%_opp,ORB%_opp,FT/FGA_opp
1,2016-11-11,"","",REG (Non-Conf),W,110,64,"",125.3,72.9,87.8,.225,.300,.621,63.6,41.5,18.2,4.3,.588,16.9,48.6,.200,.377,23.9,22.5,.231
2,2016-11-14,@,Eastern Kentucky,REG (Non-Conf),W,78,69,OT,107.2,94.9,64.7,.132,.263,.483,54.8,40.0,6.9,2.6,.480,9.0,36.6,.066,.425,14.0,21.9,.453
3,2016-11-20,"",East Tennessee State,REG (Non-Conf),W,68,59,"",98.7,85.6,68.9,.268,.339,.539,45.2,40.7,8.7,18.6,.518,13.7,22.6,.179,.482,23.3,32.3,.089
4,2016-11-25,N,Middle Tennessee,REG (Non-Conf),L,63,68,"",92.4,99.7,68.2,.210,.581,.462,48.3,61.9,4.4,6.5,.419,20.0,36.8,.177,.650,22.5,30.0,.400
5,2016-11-26,N,Evansville,REG (Non-Conf),W,65,62,"",95.9,91.4,67.8,.392,.490,.537,50.0,38.1,7.4,7.7,.510,21.9,31.3,.255,.500,22.0,30.0,.170
6,2016-11-27,N,Toledo,REG (Non-Conf),W,102,77,"",137.1,103.5,74.4,.418,.328,.635,49.2,55.3,16.1,10.5,.612,4.7,31.3,.299,.561,21.5,31.0,.228
7,2016-11-30,@,Western Michigan,REG (Non-Conf),W,97,92,"",123.5,117.1,78.6,.444,.460,.636,48.5,50.0,8.9,0.0,.603,13.6,33.3,.333,.578,17.2,37.1,.281
8,2016-12-03,"","",REG (Non-Conf),W,126,113,"",118.4,106.2,106.4,.700,.314,.675,60.5,76.2,7.5,7.6,.671,19.8,27.0,.457,.513,12.6,11.4,.405
9,2016-12-10,@,St. Bonaventure,REG (Non-Conf),W,81,80,"",112.8,111.4,71.8,.250,.453,.566,40.0,55.2,9.7,2.3,.555,8.9,18.2,.156,.552,16.2,33.3,.276
10,2016-12-14,@,Campbell,REG (Non-Conf),W,96,75,"",137.4,107.3,69.9,.299,.224,.627,62.8,51.4,7.2,3.3,.604,7.3,42.9,.224,.591,17.1,18.2,.523
11,2016-12-17,"",Radford,REG (Non-Conf),W,100,64,"",147.3,94.3,67.9,.156,.297,.727,45.5,41.9,19.1,6.1,.734,8.0,30.4,.094,.567,28.9,38.1,.289
12,2016-12-20,"",East Carolina,REG (Non-Conf),W,81,71,"",108.9,95.5,74.4,.299,.433,.529,55.6,36.7,10.8,12.5,.515,10.5,34.2,.179,.463,18.0,20.6,.389
13,2016-12-28,@,Clemson,REG (Non-Conf),L,73,87,"",98.4,117.3,74.2,.214,.443,.473,40.3,32.1,8.1,6.5,.457,12.5,26.8,.129,.574,16.0,38.5,.463
14,2016-12-31,@,Towson,REG (Conf),W,76,67,"",99.4,87.6,76.5,.323,.484,.531,47.1,61.5,11.8,8.2,.500,15.4,28.9,.226,.440,21.5,30.0,.276
15,2017-01-02,"",Elon,REG (Conf),W,79,63,"",118.3,94.3,66.8,.159,.507,.532,59.4,41.9,16.5,3.6,.529,10.8,42.5,.087,.569,24.9,17.2,.098
16,2017-01-05,@,Drexel,REG (Conf),W,90,72,"",114.4,91.5,78.7,.328,.344,.608,52.0,60.6,7.6,12.5,.586,11.9,20.0,.234,.432,14.2,26.7,.227
17,2017-01-07,@,Delaware,REG (Conf),W,91,81,"",134.9,120.1,67.5,.481,.596,.712,52.3,73.3,4.4,0.0,.702,15.8,40.9,.346,.644,19.7,36.4,.269
18,2017-01-12,"",William & Mary,REG (Conf),W,101,77,"",136.7,104.2,73.9,.229,.429,.651,52.3,43.6,16.2,4.1,.636,7.2,32.4,.171,.565,18.0,25.8,.113
19,2017-01-14,"",Hofstra,REG (Conf),W,84,76,"",121.9,110.3,68.9,.422,.453,.547,47.2,60.0,8.7,3.0,.484,4.9,30.0,.344,.588,16.5,31.3,.158
20,2017-01-19,@,College of Charleston,REG (Conf),W,65,59,"",84.0,76.2,77.4,.424,.458,.459,52.2,47.6,5.2,12.5,.407,15.5,18.6,.288,.318,12.5,18.4,.258
21,2017-01-21,"",Drexel,REG (Conf),W,87,74,"",116.4,99.0,74.7,.286,.442,.497,53.8,38.2,8.0,7.3,.500,6.4,38.3,.130,.500,14.8,22.6,.254
22,2017-01-26,@,James Madison,REG (Conf),W,87,76,"",128.6,112.3,67.7,.190,.603,.688,56.6,75.0,4.4,0.0,.690,14.8,26.9,.121,.573,13.9,14.8,.236
23,2017-01-28,@,William & Mary,REG (Conf),L,78,96,"",100.4,123.6,77.7,.266,.456,.438,54.2,57.1,5.1,14.3,.411,7.3,37.0,.165,.623,10.0,15.4,.328
24,2017-02-02,"",College of Charleston,REG (Conf),L,66,67,"",96.5,98.0,68.4,.469,.388,.551,53.6,52.0,7.3,17.5,.551,20.0,23.3,.245,.490,15.3,11.5,.388
25,2017-02-04,"",Delaware,REG (Conf),W,108,80,"",160.4,118.8,67.3,.385,.615,.878,50.0,75.0,10.4,18.6,.894,11.5,23.5,.288,.566,13.9,34.5,.180
26,2017-02-09,"",James Madison,REG (Conf),W,88,73,"",119.2,98.9,73.8,.304,.429,.687,48.2,48.4,8.1,11.8,.670,20.0,19.2,.232,.555,22.3,26.7,.218
27,2017-02-11,@,Elon,REG (Conf),L,76,77,"",106.9,108.3,71.1,.026,.377,.487,50.0,34.4,11.3,8.8,.494,9.3,35.0,.000,.548,16.2,31.3,.145
28,2017-02-16,@,Northeastern,REG (Conf),W,66,65,"",97.9,96.4,67.5,.257,.357,.420,51.5,41.7,8.9,0.0,.386,6.0,34.1,.171,.448,14.2,16.7,.458
29,2017-02-18,@,Hofstra,REG (Conf),W,83,76,"",118.4,108.4,70.1,.303,.288,.550,47.5,51.6,10.0,12.1,.515,7.4,31.4,.227,.500,15.4,30.8,.490
30,2017-02-23,"",Towson,REG (Conf),W,83,78,"",120.7,113.4,68.8,.410,.426,.569,45.8,51.9,8.7,10.5,.516,9.9,36.4,.328,.560,17.6,42.3,.440
31,2017-02-25,"",Northeastern,REG (Conf),W,74,65,"",99.9,87.8,74.1,.274,.355,.528,54.5,70.4,6.8,12.8,.492,15.6,22.2,.210,.426,12.5,17.1,.213
32,2017-03-04,N,Delaware,CTOURN,W,91,82,"",131.4,118.4,69.3,.596,.351,.622,54.5,65.5,5.8,11.4,.588,8.7,35.5,.421,.635,14.8,20.8,.308
33,2017-03-05,N,William & Mary,CTOURN,W,105,94,"",138.5,124.0,75.8,.589,.375,.732,60.0,54.5,7.9,9.1,.688,10.0,29.2,.500,.653,14.6,11.5,.288
34,2017-03-06,N,College of Charleston,CTOURN,W,78,69,"",115.5,102.2,67.5,.396,.472,.619,52.5,57.1,7.4,10.5,.623,18.2,28.6,.226,.518,16.0,27.3,.218
