Gtm,Date,Location,Opp_name,Type,Rslt,Tm,Opp_score,OT,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,eFG%_opp,TOV%_opp,ORB%_opp,FT/FGA_opp
1,2016-11-11,"",Lafayette,REG (Non-Conf),W,88,48,"",118.1,64.4,74.5,.179,.612,.605,65.8,45.5,10.7,12.1,.604,9.9,29.0,.104,.338,16.0,8.9,.062
2,2016-11-14,@,Purdue,REG (Non-Conf),W,79,76,"",107.1,103.1,73.7,.393,.304,.594,50.9,44.4,9.5,8.6,.545,14.2,21.4,.321,.561,18.5,18.5,.211
3,2016-11-17,N,Western Michigan,REG (Non-Conf),W,76,65,"",113.4,97.0,67.0,.511,.489,.651,44.9,50.0,17.9,8.8,.606,17.0,16.7,.404,.530,24.1,28.0,.240
4,2016-11-18,N,Wake Forest,REG (Non-Conf),W,96,77,"",152.6,122.4,62.9,.237,.525,.731,60.4,50.0,6.4,10.8,.712,8.4,36.0,.203,.569,5.9,17.9,.190
5,2016-11-20,N,UCF,REG (Non-Conf),W,67,57,"",104.7,89.0,64.0,.211,.456,.534,51.7,37.5,10.9,5.6,.482,13.8,31.0,.211,.491,18.0,27.6,.036
6,2016-11-23,"",College of Charleston,REG (Non-Conf),W,63,47,"",103.1,76.9,61.1,.500,.354,.530,52.5,61.9,9.8,9.4,.490,13.2,25.9,.333,.389,17.4,25.0,.093
7,2016-11-29,@,Pennsylvania,REG (Non-Conf),W,82,57,"",115.5,80.3,71.0,.469,.531,.684,55.7,59.3,11.3,13.8,.673,21.1,25.0,.327,.393,21.0,24.3,.232
8,2016-12-03,"",Saint Joseph's,REG (Non-Conf),W,88,57,"",126.7,82.1,69.4,.194,.548,.650,59.4,71.9,8.6,4.3,.645,12.9,33.3,.129,.379,15.0,23.8,.161
9,2016-12-06,N,La Salle,REG (Non-Conf),W,89,79,"",122.5,108.8,72.6,.239,.284,.597,53.4,44.1,4.1,10.5,.567,7.4,24.1,.194,.593,14.4,17.2,.153
10,2016-12-10,N,Notre Dame,REG (Non-Conf),W,74,66,"",120.0,107.1,61.7,.440,.320,.612,60.0,40.0,8.1,11.1,.540,13.0,38.5,.400,.517,12.9,20.7,.103
11,2016-12-13,"",Temple,REG (Non-Conf),W,78,57,"",112.8,82.4,69.2,.370,.463,.614,50.8,76.0,11.6,3.1,.556,14.8,25.0,.333,.450,22.3,31.4,.050
12,2016-12-21,"",American,REG (Non-Conf),W,90,48,"",135.1,72.1,66.6,.472,.396,.694,69.8,58.1,12.0,10.3,.660,13.4,33.3,.377,.431,19.3,6.3,.078
13,2016-12-28,"",DePaul,REG (Conf),W,68,65,"",102.5,98.0,66.3,.619,.619,.626,48.3,57.1,6.0,6.3,.595,20.5,12.0,.429,.454,9.3,24.2,.092
14,2016-12-31,@,Creighton,REG (Conf),W,80,70,"",114.3,100.0,70.0,.228,.474,.633,64.2,37.9,8.6,5.7,.596,19.2,37.0,.211,.542,14.9,7.7,.102
15,2017-01-04,@,Butler,REG (Conf),L,58,66,"",98.1,111.7,59.1,.333,.510,.491,44.9,36.8,3.4,6.5,.431,9.2,25.0,.275,.500,12.1,28.6,.294
16,2017-01-07,"",Marquette,REG (Conf),W,93,81,"",140.4,122.2,66.3,.449,.469,.782,49.0,75.0,12.1,12.5,.796,17.9,41.2,.306,.524,14.4,47.1,.238
17,2017-01-10,"",Xavier,REG (Conf),W,79,54,"",110.8,75.7,71.3,.346,.462,.652,50.0,67.9,9.8,3.8,.615,16.5,9.5,.288,.345,17.5,24.2,.241
18,2017-01-14,@,St. John's (NY),REG (Conf),W,70,57,"",99.2,80.8,70.6,.396,.396,.556,63.6,37.5,9.9,4.0,.519,23.2,39.3,.283,.480,23.2,11.1,.180
19,2017-01-16,"",Seton Hall,REG (Conf),W,76,46,"",122.1,73.9,62.2,.193,.456,.611,54.8,63.0,14.5,11.1,.579,11.4,37.0,.175,.355,19.9,31.4,.127
