Gtm,Date,Location,Opp_name,Type,Rslt,Tm,Opp_score,OT,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,eFG%_opp,TOV%_opp,ORB%_opp,FT/FGA_opp
1,2017-11-10,"",Robert Morris,REG (Non-Conf),W,95,64,"",119.2,80.3,79.7,.239,.269,.637,75.4,40.0,10.0,20.0,.634,20.3,61.5,.149,.431,20.5,15.4,.123
2,2017-11-12,"",Radford,REG (Non-Conf),W,82,72,"",106.1,93.2,77.3,.328,.403,.529,61.4,34.5,6.5,10.8,.493,16.2,38.9,.239,.500,17.3,14.7,.220
3,2017-11-16,"",Texas Southern,REG (Non-Conf),W,82,64,"",114.1,89.1,71.9,.246,.431,.565,58.7,63.3,7.0,12.9,.531,12.1,33.3,.200,.472,21.0,13.3,.264
4,2017-11-19,"",Northeastern,REG (Non-Conf),W,80,55,"",113.8,78.3,70.3,.482,.268,.581,56.1,46.4,11.4,16.7,.527,11.6,24.1,.375,.420,20.8,18.9,.143
5,2017-11-23,N,Gonzaga,REG (Non-Conf),L,59,86,"",84.9,123.7,69.5,.400,.364,.451,45.8,73.7,5.8,7.1,.400,18.6,26.5,.273,.698,17.4,28.0,.226
6,2017-11-24,N,Stanford,REG (Non-Conf),W,79,71,"",100.6,90.4,78.6,.410,.344,.542,56.9,52.0,3.8,7.5,.484,16.1,34.4,.328,.410,14.7,21.2,.344
7,2017-11-26,N,Butler,REG (Non-Conf),L,66,67,OT,82.5,83.7,71.1,.346,.288,.545,52.7,54.2,5.0,5.3,.510,28.4,17.9,.250,.406,15.1,26.1,.159
8,2017-11-29,"",Clemson,REG (Non-Conf),L,65,79,"",97.9,119.0,66.4,.291,.382,.519,50.0,62.5,4.5,12.1,.518,16.1,23.5,.145,.654,14.7,9.1,.212
9,2017-12-02,@,Wisconsin,REG (Conf),W,83,58,"",130.0,90.8,63.9,.404,.277,.741,63.0,61.3,15.7,13.6,.734,18.8,25.0,.298,.490,19.2,16.7,.204
10,2017-12-04,"",Michigan,REG (Conf),W,71,62,"",112.3,98.1,63.2,.644,.311,.604,50.8,54.5,6.3,12.9,.544,14.5,20.0,.489,.441,10.9,28.9,.169
11,2017-12-09,"",William & Mary,REG (Non-Conf),W,97,62,"",142.9,91.3,67.9,.426,.389,.747,61.7,54.3,10.3,8.3,.750,14.5,39.1,.296,.567,24.7,16.7,.058
12,2017-12-16,"",Appalachian State,REG (Non-Conf),W,80,67,"",107.8,90.3,74.2,.404,.246,.589,50.9,43.3,14.8,8.8,.553,13.9,20.0,.298,.500,22.4,21.4,.264
13,2017-12-19,"",The Citadel,REG (Non-Conf),W,94,65,"",122.8,84.9,76.5,.122,.473,.600,57.0,73.0,11.8,14.3,.588,13.3,41.7,.095,.415,17.6,30.2,.085
14,2017-12-23,N,North Carolina,REG (Non-Conf),L,72,86,"",92.4,110.3,78.0,.322,.271,.529,39.7,42.3,11.5,6.3,.483,17.1,9.4,.254,.570,19.8,29.0,.368
15,2017-12-30,"",Miami (OH),REG (Non-Conf),W,72,59,"",101.9,83.5,70.6,.418,.364,.546,52.4,43.5,5.7,18.5,.491,14.3,24.2,.327,.442,18.1,16.7,.100
16,2018-01-04,@,Iowa,REG (Conf),W,92,81,"",122.8,108.1,74.9,.348,.303,.598,50.0,45.7,8.0,9.8,.583,10.5,31.3,.227,.478,11.2,35.7,.235
17,2018-01-07,"",Michigan State,REG (Conf),W,80,64,"",117.4,93.9,68.1,.288,.254,.596,47.6,48.4,8.8,11.8,.585,8.2,14.3,.186,.449,14.4,25.7,.186
18,2018-01-11,"",Maryland,REG (Conf),W,91,69,"",136.8,103.7,66.5,.211,.509,.726,47.7,78.1,4.5,15.8,.711,12.6,19.2,.175,.433,8.8,33.3,.283
19,2018-01-14,@,Rutgers,REG (Conf),W,68,46,"",108.8,73.6,62.5,.172,.362,.542,58.0,51.9,6.4,14.6,.526,14.9,31.0,.121,.339,7.2,22.5,.102
20,2018-01-17,@,Northwestern,REG (Conf),W,71,65,"",105.3,96.4,67.4,.309,.309,.563,60.0,65.4,10.4,9.7,.527,14.8,28.6,.236,.517,13.7,12.5,.086
21,2018-01-20,N,Minnesota,REG (Conf),W,67,49,"",100.6,73.5,66.6,.152,.303,.473,55.6,40.7,15.0,15.2,.439,10.2,30.8,.136,.415,21.0,15.2,.213
