Gtm,Date,Location,Opp_name,Type,Rslt,Tm,Opp_score,OT,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,eFG%_opp,TOV%_opp,ORB%_opp,FT/FGA_opp
1,2017-11-10,@,Gonzaga,REG (Non-Conf),L,69,97,"",85.5,120.2,80.7,.319,.292,.416,39.0,19.2,11.2,6.4,.389,10.8,27.1,.181,.563,14.5,44.1,.222
2,2017-11-12,@,Washington State,REG (Non-Conf),L,84,86,OT,101.0,103.4,73.9,.305,.542,.622,48.8,51.7,7.2,16.7,.610,21.0,12.1,.203,.428,10.0,28.3,.276
3,2017-11-16,@,Ohio State,REG (Non-Conf),L,64,82,"",89.1,114.1,71.9,.283,.415,.532,41.3,54.5,7.0,8.1,.472,21.0,13.3,.264,.531,12.1,33.3,.200
4,2017-11-18,@,Syracuse,REG (Non-Conf),L,67,80,"",100.2,119.7,66.9,.449,.429,.563,39.6,72.7,7.5,6.1,.531,14.4,14.3,.306,.526,12.3,43.8,.351
5,2017-11-21,@,Kansas,REG (Non-Conf),L,71,114,"",94.4,151.6,75.2,.183,.451,.460,40.5,46.2,6.7,9.5,.451,13.5,31.1,.099,.673,7.7,47.1,.115
6,2017-11-24,@,Clemson,REG (Non-Conf),L,77,84,"",104.8,114.4,73.1,.313,.453,.524,40.0,46.2,9.5,6.5,.461,12.0,23.1,.281,.684,23.0,28.6,.347
7,2017-11-30,@,Oakland,REG (Non-Conf),L,87,97,"",105.2,117.3,82.7,.239,.310,.550,47.8,39.4,4.8,17.0,.514,15.0,21.6,.197,.560,9.2,21.9,.328
8,2017-12-02,@,Toledo,REG (Non-Conf),L,69,71,"",89.2,91.8,77.3,.262,.295,.503,56.5,43.5,9.1,16.1,.443,20.8,23.5,.246,.517,17.5,11.4,.190
9,2017-12-11,@,Oregon,REG (Non-Conf),L,68,74,"",93.7,102.0,72.6,.230,.410,.503,42.4,33.3,4.1,5.9,.451,11.7,12.1,.213,.492,14.7,27.3,.271
10,2017-12-14,@,Baylor,REG (Non-Conf),L,68,99,"",97.0,141.2,70.1,.288,.322,.507,46.3,50.0,8.6,4.5,.466,17.3,36.4,.220,.742,13.9,38.1,.113
11,2017-12-16,@,Wyoming,REG (Non-Conf),L,66,72,"",89.6,97.7,73.7,.344,.393,.465,43.4,31.8,10.9,11.5,.443,15.5,25.0,.197,.465,19.7,36.1,.333
12,2017-12-18,@,TCU,REG (Non-Conf),L,72,91,"",96.6,122.1,74.5,.279,.328,.521,34.7,48.1,1.3,8.5,.500,12.6,16.7,.180,.474,8.3,52.4,.218
13,2017-12-23,@,Brigham Young,REG (Non-Conf),L,52,73,"",75.4,105.8,69.0,.380,.300,.440,50.0,38.9,7.2,9.1,.410,22.4,25.0,.220,.476,8.8,27.8,.206
14,2018-01-01,"",Southern,REG (Conf),W,78,66,"",106.0,89.7,73.6,.250,.594,.545,50.6,51.9,5.4,19.6,.539,12.3,25.0,.141,.396,10.6,23.1,.194
15,2018-01-03,"",Alcorn State,REG (Conf),W,85,70,"",116.1,95.6,73.2,.542,.390,.573,71.0,60.0,8.2,6.3,.500,17.7,50.0,.441,.563,17.5,6.7,.125
16,2018-01-06,"",Prairie View A&M,REG (Conf),W,100,94,"",121.8,114.5,82.1,.741,.466,.638,59.1,46.4,6.1,16.3,.578,16.9,37.9,.569,.570,6.7,24.3,.183
17,2018-01-13,@,Jackson State,REG (Conf),L,80,85,OT,96.5,102.6,73.7,.607,.426,.509,48.8,41.7,2.4,2.2,.443,10.3,18.4,.426,.465,10.3,26.1,.268
18,2018-01-15,@,Grambling State,REG (Conf),L,78,79,"",93.4,94.6,83.5,.827,.288,.538,50.0,33.3,6.0,8.3,.433,19.0,27.3,.635,.465,17.6,28.6,.183
19,2018-01-20,"",Mississippi Valley State,REG (Conf),W,91,77,"",107.1,90.6,85.0,.509,.208,.691,59.4,61.8,5.9,22.0,.708,25.9,19.2,.302,.478,17.6,13.2,.194
20,2018-01-22,"",ArkansasâPine Bluff,REG (Conf),L,72,74,"",94.7,97.4,76.0,.684,.281,.477,59.4,33.3,9.2,2.6,.395,16.6,38.9,.474,.483,14.7,18.2,.267
21,2018-01-27,@,Alabama A&M,REG (Conf),W,58,56,"",82.0,79.2,70.7,.380,.260,.491,39.1,42.9,14.1,7.9,.460,18.0,6.7,.240,.443,23.0,32.4,.170
22,2018-01-29,@,Alabama State,REG (Conf),W,97,82,"",127.8,108.0,75.9,.857,.268,.615,58.0,37.0,5.3,3.8,.545,11.3,45.2,.643,.493,10.1,31.6,.169
23,2018-02-03,@,Prairie View A&M,REG (Conf),L,82,96,"",121.4,142.1,67.6,.653,.265,.639,49.0,14.8,3.0,0.0,.592,16.8,31.0,.490,.691,9.6,27.3,.364
24,2018-02-10,"",Jackson State,REG (Conf),W,86,75,"",116.3,101.4,74.0,.690,.293,.558,50.8,60.7,8.1,7.7,.526,6.1,21.4,.431,.492,11.4,22.6,.288
25,2018-02-12,"",Grambling State,REG (Conf),L,55,78,"",74.8,106.1,73.6,.309,.291,.436,32.8,47.6,10.9,7.4,.409,21.2,20.0,.182,.516,19.1,51.7,.206
26,2018-02-17,@,Mississippi Valley State,REG (Conf),W,72,71,"",102.7,101.2,70.1,.379,.517,.526,46.3,60.9,5.7,6.8,.483,13.8,20.0,.276,.532,11.9,25.0,.063
