Gtm,Date,Location,Opp_name,Type,Rslt,Tm,Opp_score,OT,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,eFG%_opp,TOV%_opp,ORB%_opp,FT/FGA_opp
1,2017-11-10,"",UNC Greensboro,REG (Non-Conf),W,60,48,"",97.6,78.1,61.5,.571,.381,.562,50.0,44.4,13.0,16.0,.476,19.6,29.2,.476,.333,22.2,36.1,.275
2,2017-11-13,"",Austin Peay,REG (Non-Conf),W,93,49,"",140.5,74.0,66.2,.462,.327,.733,60.4,51.5,12.1,15.6,.712,12.4,35.0,.365,.443,27.4,21.4,.227
3,2017-11-17,@,VCU,REG (Non-Conf),W,76,67,"",119.1,105.0,63.8,.082,.377,.600,43.9,51.6,12.5,3.1,.590,7.3,17.9,.066,.535,16.4,31.0,.105
4,2017-11-19,"",Monmouth,REG (Non-Conf),W,73,53,"",115.1,83.5,63.5,.420,.280,.609,56.1,53.8,14.2,18.5,.560,11.8,26.1,.340,.396,19.2,23.5,.313
5,2017-11-23,N,Vanderbilt,REG (Non-Conf),W,68,42,"",107.2,66.2,63.4,.100,.350,.541,47.8,77.8,4.7,23.5,.533,10.0,15.2,.067,.269,11.6,20.6,.269
6,2017-11-24,N,Rhode Island,REG (Non-Conf),W,70,55,"",111.0,87.2,63.1,.478,.261,.620,59.6,39.1,7.9,5.0,.554,16.3,18.2,.413,.480,13.7,10.0,.140
7,2017-11-27,"",Wisconsin,REG (Non-Conf),W,49,37,"",83.5,63.1,58.7,.000,.233,.408,56.3,30.4,10.2,7.1,.408,16.7,37.5,.000,.344,21.4,25.0,.083
8,2017-12-02,"",Lehigh,REG (Non-Conf),W,75,54,"",119.5,86.0,62.8,.190,.431,.593,55.6,70.0,17.5,13.0,.595,8.7,25.0,.103,.511,24.1,11.5,.128
9,2017-12-05,@,West Virginia,REG (Non-Conf),L,61,68,"",97.9,109.2,62.3,.413,.500,.554,43.4,57.9,8.0,16.0,.511,17.9,17.2,.304,.520,14.6,25.0,.320
10,2017-12-16,"",Davidson,REG (Non-Conf),W,80,60,"",125.6,94.2,63.7,.339,.339,.615,55.6,50.0,11.0,4.2,.589,8.4,23.1,.250,.560,19.6,14.3,.080
11,2017-12-19,"",Savannah State,REG (Non-Conf),W,78,47,"",110.7,66.7,70.5,.310,.328,.586,59.4,62.1,9.9,35.0,.560,15.3,31.0,.224,.377,23.3,17.1,.070
12,2017-12-22,"",Hampton,REG (Non-Conf),W,82,48,"",119.2,69.8,68.8,.344,.297,.551,57.8,48.3,10.2,15.8,.516,9.7,38.7,.250,.324,18.6,24.2,.241
13,2017-12-30,"",Boston College,REG (Conf),W,59,58,"",94.3,92.7,62.6,.103,.397,.485,52.4,43.5,11.2,20.0,.474,12.9,27.0,.069,.490,19.0,11.5,.135
14,2018-01-03,@,Virginia Tech,REG (Conf),W,78,52,"",114.5,76.4,68.1,.148,.410,.597,51.7,60.0,13.2,11.4,.590,8.4,14.3,.098,.383,21.6,15.6,.340
15,2018-01-06,"",North Carolina,REG (Conf),W,61,49,"",103.8,83.4,58.8,.170,.415,.533,38.8,66.7,11.9,19.4,.528,16.1,28.1,.094,.370,22.3,51.4,.167
16,2018-01-09,"",Syracuse,REG (Conf),W,68,61,"",113.6,101.9,59.8,.415,.509,.536,43.1,75.0,11.7,12.8,.462,9.9,33.3,.358,.433,14.4,48.6,.150
17,2018-01-14,"",NC State,REG (Conf),W,68,51,"",116.3,87.2,58.5,.390,.341,.700,51.0,69.6,13.7,5.0,.659,22.4,29.4,.341,.429,19.3,38.2,.054
18,2018-01-18,@,Georgia Tech,REG (Conf),W,64,48,"",107.6,80.7,59.5,.155,.224,.514,49.1,37.0,16.8,12.9,.491,10.1,32.3,.121,.464,27.0,29.2,.214
19,2018-01-21,@,Wake Forest,REG (Conf),W,59,49,"",102.3,84.9,57.7,.192,.327,.520,51.7,57.1,12.1,18.2,.471,11.0,24.1,.192,.413,18.6,20.7,.239
20,2018-01-23,"",Clemson,REG (Conf),W,61,36,"",95.5,56.4,63.9,.143,.339,.510,55.4,36.0,21.9,25.9,.509,15.5,23.1,.071,.351,28.0,16.7,.064
21,2018-01-27,@,Duke,REG (Conf),W,65,63,"",95.9,93.0,67.8,.136,.333,.462,39.1,46.2,11.8,7.3,.439,6.6,17.9,.106,.518,20.7,33.3,.089
22,2018-01-31,"",Louisville,REG (Conf),W,74,64,"",124.2,107.5,59.6,.167,.296,.635,47.8,44.8,10.1,0.0,.620,10.7,20.8,.130,.580,17.2,22.7,.120
23,2018-02-03,@,Syracuse,REG (Conf),W,59,44,"",105.3,78.5,56.0,.170,.489,.581,55.8,82.6,7.1,13.3,.564,15.1,18.2,.128,.373,9.8,16.7,.118
24,2018-02-07,@,Florida State,REG (Conf),W,59,55,"",99.3,92.6,59.4,.182,.309,.494,46.2,36.4,6.7,4.0,.464,9.1,21.4,.145,.467,16.9,25.0,.289
25,2018-02-10,"",Virginia Tech,REG (Conf),L,60,61,OT,99.1,100.8,53.8,.148,.623,.460,53.1,66.7,9.9,9.1,.434,5.8,24.2,.115,.539,15.4,16.1,.118
26,2018-02-13,@,Miami (FL),REG (Conf),W,59,50,"",100.9,85.5,58.5,.250,.354,.549,55.6,68.2,8.6,7.7,.521,15.7,23.8,.188,.447,16.1,16.7,.170
27,2018-02-21,"",Georgia Tech,REG (Conf),W,65,54,"",121.1,100.6,53.7,.375,.292,.575,53.7,52.2,9.3,10.5,.552,8.1,30.8,.250,.471,9.9,25.0,.118
28,2018-02-24,@,Pittsburgh,REG (Conf),W,66,37,"",120.6,67.6,54.7,.224,.327,.609,62.1,60.0,5.5,33.3,.592,11.4,28.0,.163,.315,13.5,12.1,.174
29,2018-03-01,@,Louisville,REG (Conf),W,67,66,"",104.0,102.5,64.4,.339,.250,.515,55.9,41.7,4.7,12.9,.482,14.5,33.3,.232,.478,11.8,15.4,.478
30,2018-03-03,"",Notre Dame,REG (Conf),W,62,57,"",103.3,95.0,60.0,.420,.220,.517,42.2,71.4,11.7,10.3,.470,7.7,12.5,.300,.425,10.3,28.1,.226
31,2018-03-08,N,Louisville,CTOURN,W,75,58,"",125.0,96.7,60.0,.119,.305,.602,56.9,41.9,8.3,7.1,.585,10.1,30.4,.102,.459,12.6,21.4,.265
32,2018-03-09,N,Clemson,CTOURN,W,64,58,"",98.7,89.4,64.9,.133,.300,.502,55.9,57.1,17.0,4.2,.508,9.9,30.0,.050,.398,17.8,17.2,.388
33,2018-03-10,N,North Carolina,CTOURN,W,71,63,"",121.9,108.1,58.3,.440,.340,.587,47.3,71.4,6.9,8.3,.510,6.2,19.2,.400,.510,12.3,27.6,.265
