Gtm,Date,Location,Opp_name,Type,Rslt,Tm,Opp_score,OT,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,eFG%_opp,TOV%_opp,ORB%_opp,FT/FGA_opp
1,2018-11-06,"",South Alabama,REG (Non-Conf),W,101,58,"",137.3,78.9,73.6,.189,.514,.626,62.5,63.2,12.2,33.3,.635,13.9,51.4,.095,.446,28.0,22.2,.370
2,2018-11-09,"",Washington,REG (Non-Conf),W,88,66,"",123.1,92.3,71.5,.329,.443,.544,65.0,55.2,11.2,12.9,.500,12.0,48.6,.257,.622,25.3,12.0,.222
3,2018-11-14,"","",REG (Non-Conf),W,103,52,"",122.0,61.6,84.4,.400,.413,.541,65.3,37.8,16.6,19.4,.513,10.4,45.7,.263,.333,19.7,16.3,.121
4,2018-11-19,N,Xavier,REG (Non-Conf),W,88,79,OT,113.0,101.4,69.2,.364,.530,.568,43.8,53.3,12.8,20.6,.538,13.4,31.6,.258,.475,22.5,42.9,.344
5,2018-11-20,N,Duke,REG (Non-Conf),L,72,78,"",101.1,109.5,71.2,.117,.416,.443,47.0,50.0,11.2,6.9,.435,10.0,35.4,.065,.509,14.6,37.1,.426
6,2018-11-21,N,Arizona,REG (Non-Conf),W,73,57,"",113.7,88.8,64.2,.300,.520,.639,57.1,37.0,6.2,9.1,.630,19.7,33.3,.200,.532,27.0,20.0,.149
7,2018-11-28,"",Saint Peter's,REG (Non-Conf),W,99,49,"",123.4,61.1,80.2,.267,.413,.586,54.7,69.4,19.9,26.7,.580,13.3,38.5,.160,.327,29.6,27.8,.288
8,2018-12-04,"",UNC Asheville,REG (Non-Conf),W,67,41,"",96.2,58.8,69.7,.375,.521,.592,57.7,82.6,18.7,46.2,.573,25.1,26.9,.250,.389,33.9,11.5,.133
9,2018-12-08,"",Dayton,REG (Non-Conf),W,82,72,"",117.3,103.0,69.9,.279,.541,.594,42.6,60.7,14.3,27.3,.557,12.6,31.3,.230,.580,27.5,44.8,.125
10,2018-12-15,N,UAB,REG (Non-Conf),W,75,71,OT,108.4,102.6,61.5,.596,.386,.513,52.1,45.5,2.9,20.6,.421,12.0,35.1,.474,.516,13.9,30.6,.095
11,2018-12-19,@,NC State,REG (Non-Conf),L,71,78,"",89.8,98.6,79.1,.194,.403,.524,55.9,43.3,13.9,9.7,.524,26.2,38.2,.097,.623,24.9,20.0,.226
12,2018-12-22,"",Murray State,REG (Non-Conf),W,93,88,"",125.8,119.0,74.0,.313,.516,.633,46.0,55.9,13.5,15.2,.633,16.0,37.5,.188,.595,19.7,45.2,.328
13,2018-12-29,"",North Florida,REG (Non-Conf),W,95,49,"",117.9,60.8,80.6,.375,.361,.560,57.4,67.6,24.8,29.2,.535,13.3,47.2,.250,.420,37.8,28.0,.140
14,2019-01-09,@,Ole Miss,REG (Conf),L,67,82,"",84.5,103.4,79.3,.254,.582,.446,46.4,50.0,7.6,17.6,.433,16.7,27.5,.134,.519,19.4,27.6,.509
15,2019-01-12,"",Georgia,REG (Conf),W,93,78,"",121.1,101.6,76.8,.250,.368,.611,53.4,47.1,11.7,13.8,.588,13.6,35.5,.191,.543,19.2,25.9,.259
16,2019-01-16,@,Texas A&M,REG (Conf),W,85,66,"",117.2,91.0,72.5,.132,.447,.526,62.3,50.0,13.8,26.9,.507,11.0,45.2,.105,.450,18.9,17.1,.420
17,2019-01-19,"",Kentucky,REG (Conf),L,80,82,"",115.8,118.7,69.1,.357,.536,.611,42.9,65.4,7.2,12.1,.580,14.4,22.6,.268,.604,17.0,32.0,.500
18,2019-01-22,@,South Carolina,REG (Conf),L,77,80,"",102.8,106.8,74.9,.426,.410,.525,46.9,36.0,9.3,8.7,.467,14.1,29.0,.328,.516,12.9,36.4,.219
19,2019-01-26,@,Mississippi State,REG (Conf),L,84,92,"",114.2,125.1,73.5,.469,.429,.701,47.2,46.2,9.5,12.0,.643,24.1,25.0,.429,.627,15.4,34.5,.418
20,2019-01-30,"",Missouri,REG (Conf),W,92,58,"",122.9,77.5,74.9,.232,.594,.601,52.1,60.6,6.7,15.6,.594,10.5,27.8,.145,.438,24.1,24.3,.161
21,2019-02-02,"",Alabama,REG (Conf),W,84,63,"",121.6,91.2,69.1,.241,.379,.650,51.9,50.0,18.8,10.7,.629,15.7,29.6,.190,.532,27.4,25.9,.277
22,2019-02-05,"",Florida,REG (Conf),W,76,62,"",114.7,93.6,66.3,.519,.481,.586,52.8,56.0,12.1,6.7,.567,13.4,33.3,.327,.500,23.4,21.7,.240
23,2019-02-09,@,Louisiana State,REG (Conf),L,78,83,"",104.3,111.0,74.8,.232,.679,.627,42.9,48.1,9.4,8.9,.625,23.4,22.6,.143,.445,10.5,43.5,.247
24,2019-02-13,"",Ole Miss,REG (Conf),L,55,60,"",87.2,95.2,63.1,.469,.408,.459,50.8,43.8,9.5,22.2,.378,18.9,30.3,.367,.500,18.5,26.7,.176
25,2019-02-16,@,Vanderbilt,REG (Conf),W,64,53,"",101.8,84.3,62.9,.592,.510,.510,36.9,52.9,15.9,16.0,.439,10.0,17.1,.429,.385,21.6,40.0,.333
26,2019-02-20,"",Arkansas,REG (Conf),W,79,56,"",106.1,75.2,74.5,.370,.611,.622,55.2,61.5,14.8,18.8,.639,24.0,28.6,.185,.362,16.8,25.6,.241
27,2019-02-23,@,Kentucky,REG (Conf),L,53,80,"",81.6,123.1,65.0,.190,.466,.419,33.3,42.1,9.2,3.2,.397,12.5,12.8,.121,.645,14.1,33.3,.164
28,2019-02-27,@,Georgia,REG (Conf),W,78,75,"",123.0,118.3,63.4,.172,.484,.563,44.2,44.8,12.6,10.0,.539,9.2,35.5,.141,.618,17.0,42.9,.235
29,2019-03-02,"",Mississippi State,REG (Conf),W,80,75,"",112.0,105.0,71.4,.451,.588,.646,33.9,66.7,12.6,16.0,.598,12.7,3.8,.373,.527,21.2,40.0,.309
30,2019-03-05,@,Alabama,REG (Conf),W,66,60,"",96.9,88.1,68.1,.233,.417,.495,49.2,33.3,16.1,10.0,.458,15.3,30.6,.183,.500,25.1,25.9,.224
