Gtm,Date,Location,Opp_name,Type,Rslt,Tm,Opp_score,OT,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,eFG%_opp,TOV%_opp,ORB%_opp,FT/FGA_opp
1,2018-11-06,"",Saint Francis (PA),REG (Non-Conf),W,82,67,"",106.1,86.7,77.3,.286,.486,.516,47.0,73.3,12.9,20.4,.479,12.2,32.6,.214,.409,21.5,37.5,.197
2,2018-11-09,@,West Virginia,REG (Non-Conf),W,99,94,OT,112.0,106.3,78.6,.400,.463,.520,50.6,53.1,9.0,9.1,.469,10.4,36.2,.300,.523,18.7,33.3,.379
3,2018-11-12,@,Southern Illinois,REG (Non-Conf),W,62,53,"",93.0,79.5,66.7,.194,.452,.458,55.4,54.5,9.0,10.3,.419,16.1,41.0,.161,.433,22.8,23.1,.154
4,2018-11-21,"",Dartmouth,REG (Non-Conf),W,110,71,"",132.8,85.7,82.8,.224,.263,.654,58.4,57.8,14.5,19.0,.638,7.7,26.5,.171,.440,16.6,16.3,.179
5,2018-11-24,"",Marist,REG (Non-Conf),W,76,49,"",115.5,74.5,65.8,.189,.604,.658,50.0,74.1,9.1,18.9,.660,19.5,19.2,.113,.382,21.4,27.8,.127
6,2018-11-30,N,Milwaukee,REG (Non-Conf),W,96,77,"",125.4,100.6,76.6,.229,.471,.619,53.4,57.1,5.2,17.1,.600,8.3,27.8,.171,.449,10.4,21.6,.217
7,2018-12-01,N,San Francisco,REG (Non-Conf),W,85,81,"",108.0,102.9,78.7,.299,.373,.556,47.8,39.4,7.6,9.3,.552,13.6,21.6,.164,.540,13.1,21.9,.206
8,2018-12-05,"","",REG (Non-Conf),W,89,55,"",120.8,74.7,73.7,.323,.242,.622,69.1,70.6,13.6,12.5,.589,17.3,48.1,.258,.510,28.6,10.7,.059
9,2018-12-08,@,St. Bonaventure,REG (Non-Conf),W,80,62,"",107.4,83.2,74.5,.400,.400,.560,50.8,55.6,9.4,10.0,.533,16.4,26.5,.267,.420,18.9,22.6,.268
10,2018-12-15,"",Southern Illinois,REG (Non-Conf),W,73,65,"",104.6,93.1,69.8,.242,.484,.528,43.4,70.4,4.3,18.8,.492,12.6,24.1,.194,.522,26.5,33.3,.400
11,2018-12-18,@,Syracuse,REG (Non-Conf),W,71,59,"",98.2,81.6,72.3,.323,.532,.497,58.0,52.2,12.4,2.9,.452,18.3,38.9,.242,.474,19.2,21.2,.088
12,2018-12-21,@,Marquette,REG (Non-Conf),L,85,103,"",107.4,130.1,79.2,.352,.437,.513,42.7,44.8,11.4,13.2,.493,8.8,25.6,.211,.627,13.4,34.4,.284
13,2018-12-29,@,Canisius,REG (Non-Conf),W,87,72,"",114.0,94.4,76.3,.258,.379,.587,53.3,45.5,3.9,11.8,.583,14.9,35.5,.152,.420,14.2,34.1,.203
14,2019-01-04,@,Eastern Michigan,REG (Conf),W,74,58,"",108.4,85.0,68.2,.407,.444,.574,48.7,55.6,7.3,5.4,.565,16.8,34.4,.241,.389,18.2,40.9,.143
15,2019-01-08,"",Toledo,REG (Conf),W,110,80,"",131.7,95.8,83.6,.157,.361,.617,53.6,58.1,15.6,10.5,.608,7.3,30.8,.108,.478,17.9,26.7,.239
16,2019-01-12,"",Miami (OH),REG (Conf),W,88,64,"",122.4,89.0,71.9,.538,.462,.539,51.5,63.0,9.7,19.2,.485,4.7,27.0,.385,.529,20.5,17.2,.196
17,2019-01-15,@,Western Michigan,REG (Conf),W,88,79,"",111.1,99.8,79.2,.294,.426,.568,53.0,38.7,8.8,13.3,.522,15.3,27.8,.250,.564,18.3,16.7,.309
18,2019-01-18,"",Eastern Michigan,REG (Conf),W,77,65,"",108.1,91.2,71.3,.288,.525,.574,55.6,85.2,9.8,3.0,.542,19.3,37.5,.220,.455,17.6,25.8,.273
19,2019-01-22,@,Northern Illinois,REG (Conf),L,75,77,"",92.0,94.4,81.6,.517,.500,.502,49.3,50.0,4.9,7.3,.442,16.7,19.0,.367,.537,21.6,6.9,.352
20,2019-01-25,@,Kent State,REG (Conf),W,88,79,"",112.4,100.9,78.3,.355,.419,.607,47.3,54.5,11.5,2.2,.613,14.2,20.0,.194,.500,15.5,28.2,.145
21,2019-01-29,"",Ball State,REG (Conf),W,83,59,"",105.2,74.8,78.9,.324,.419,.486,51.5,53.1,8.9,7.1,.480,8.6,31.3,.162,.338,19.3,28.6,.231
22,2019-02-01,@,Bowling Green,REG (Conf),L,88,92,"",108.6,113.5,81.1,.297,.484,.603,58.5,35.5,6.2,5.0,.578,19.8,30.3,.219,.576,10.6,12.5,.407
23,2019-02-09,"",Central Michigan,REG (Conf),W,90,76,"",111.5,94.2,80.7,.355,.387,.621,50.0,67.6,13.6,15.6,.613,17.2,25.8,.226,.517,23.1,27.3,.233
24,2019-02-12,@,Akron,REG (Conf),W,76,70,"",102.9,94.8,73.8,.500,.462,.591,58.1,25.0,9.5,2.6,.529,21.9,33.3,.404,.508,17.0,22.9,.062
25,2019-02-15,@,Toledo,REG (Conf),W,88,82,"",109.6,102.1,80.3,.470,.318,.545,53.1,34.5,5.0,6.5,.492,12.9,26.8,.348,.492,11.5,20.0,.277
26,2019-02-19,"",Ohio,REG (Conf),W,114,67,"",141.2,83.0,80.7,.250,.458,.708,66.2,58.5,8.7,8.0,.701,13.9,41.9,.181,.451,17.3,15.0,.197
27,2019-02-22,"",Kent State,REG (Conf),W,80,57,"",108.0,77.0,74.1,.310,.366,.491,45.9,61.3,17.6,9.1,.465,8.9,35.7,.197,.421,26.5,40.6,.158
28,2019-02-26,"",Akron,REG (Conf),W,77,64,"",110.3,91.7,69.8,.349,.397,.524,52.9,74.1,8.6,18.2,.492,9.8,34.2,.238,.466,18.9,25.0,.172
29,2019-03-01,@,Miami (OH),REG (Conf),W,77,69,"",101.3,90.8,76.0,.250,.500,.506,52.6,55.2,10.5,10.0,.507,14.6,31.7,.118,.433,16.5,24.3,.283
30,2019-03-05,@,Ohio,REG (Conf),W,82,79,"",108.9,104.9,75.3,.356,.576,.594,52.9,68.0,8.0,4.0,.551,18.8,28.1,.288,.515,13.0,26.3,.149
31,2019-03-08,"",Bowling Green,REG (Conf),W,84,73,"",110.9,96.4,75.7,.274,.356,.509,51.4,60.6,15.8,3.1,.486,8.8,31.8,.178,.519,19.8,20.0,.315
32,2019-03-14,N,Akron,CTOURN,W,82,46,"",109.4,61.4,75.0,.353,.397,.516,63.2,36.7,8.0,13.9,.500,9.2,30.8,.206,.271,15.1,10.4,.237
33,2019-03-15,N,Central Michigan,CTOURN,W,85,81,"",116.0,110.6,73.3,.364,.485,.549,63.2,48.4,8.2,15.0,.515,12.4,47.2,.258,.561,9.9,18.8,.106
34,2019-03-16,N,Bowling Green,CTOURN,W,87,73,"",114.4,96.0,76.1,.339,.532,.604,43.8,51.7,7.9,11.1,.573,11.1,18.2,.258,.444,14.3,35.0,.141
