Gtm,Date,Location,Opp_name,Type,Rslt,Tm,Opp_score,OT,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,eFG%_opp,TOV%_opp,ORB%_opp,FT/FGA_opp
1,2018-11-06,"",East Tennessee State,REG (Non-Conf),W,74,68,"",104.0,95.6,71.2,.509,.421,.523,46.3,40.9,9.8,19.6,.465,15.5,40.0,.368,.378,13.6,48.9,.162
2,2018-11-09,@,Montana,REG (Non-Conf),L,74,81,"",93.2,102.0,79.4,.333,.264,.444,54.5,28.6,13.9,16.7,.431,12.6,40.0,.167,.482,15.7,25.0,.509
3,2018-11-13,"",Mercer,REG (Non-Conf),W,62,60,"",94.2,91.2,65.8,.111,.648,.545,44.4,56.5,10.6,15.6,.565,19.8,18.8,.019,.457,17.2,29.0,.121
4,2018-11-19,N,St. Bonaventure,REG (Non-Conf),W,75,65,"",107.0,92.7,70.1,.203,.288,.580,50.0,50.0,18.5,22.6,.559,15.6,27.6,.153,.466,20.3,32.4,.190
5,2018-11-20,N,Creighton,REG (Non-Conf),L,68,93,"",86.6,118.5,78.5,.443,.311,.461,49.3,33.3,7.6,8.8,.426,18.7,29.7,.262,.652,16.2,28.1,.106
6,2018-11-21,N,Georgia,REG (Non-Conf),W,91,67,"",127.6,93.9,71.3,.262,.410,.663,40.7,55.9,9.8,5.7,.672,10.4,14.3,.148,.519,21.8,30.8,.226
7,2018-11-28,@,Tulane,REG (Non-Conf),W,80,76,"",111.4,105.8,71.8,.379,.483,.584,53.7,48.1,11.1,24.2,.569,13.8,32.1,.241,.569,18.9,23.1,.172
8,2018-12-01,@,Liberty,REG (Non-Conf),L,52,78,"",81.5,122.2,63.8,.380,.320,.440,34.5,35.0,14.1,11.1,.420,14.5,18.2,.200,.644,20.4,40.9,.212
9,2018-12-04,@,Alabama,REG (Non-Conf),W,83,80,"",108.3,104.4,76.6,.303,.348,.550,42.0,33.3,7.8,3.6,.515,10.7,11.1,.227,.554,12.4,24.2,.321
10,2018-12-12,"",Chattanooga,REG (Non-Conf),W,95,88,"",124.0,114.8,76.6,.673,.442,.692,49.2,56.7,7.8,19.2,.673,12.7,19.2,.481,.564,15.4,29.7,.129
11,2018-12-15,@,Kansas State,REG (Non-Conf),L,59,71,"",83.7,100.7,70.5,.176,.608,.534,42.6,40.9,18.4,18.5,.510,23.5,10.7,.137,.585,24.5,23.1,.170
12,2018-12-19,"",UNC Wilmington,REG (Non-Conf),W,86,71,"",123.0,101.5,69.9,.232,.482,.692,38.3,51.6,17.2,13.0,.679,15.0,16.7,.179,.604,26.3,39.1,.132
13,2018-12-29,"","",REG (Non-Conf),W,117,69,"",147.2,86.8,79.5,.306,.472,.710,50.0,53.7,15.1,14.3,.681,7.8,36.7,.264,.393,20.3,40.9,.200
14,2019-01-03,@,UT Arlington,REG (Conf),W,63,58,"",88.4,81.4,71.3,.974,.538,.552,40.0,56.3,12.6,16.1,.513,24.0,10.7,.590,.375,18.4,34.4,.286
15,2019-01-05,@,Texas State,REG (Conf),W,73,69,"",103.0,97.4,70.9,.460,.500,.599,48.7,47.8,5.6,17.9,.550,19.8,20.7,.360,.422,11.4,34.0,.234
16,2019-01-10,"",Louisiana,REG (Conf),W,89,76,"",120.7,103.1,73.7,.407,.424,.632,44.3,51.6,14.9,8.6,.636,14.6,25.8,.237,.470,16.8,41.0,.212
17,2019-01-12,"",LouisianaâMonroe,REG (Conf),W,74,73,"",100.9,99.6,73.3,.185,.431,.523,40.0,34.5,13.6,3.8,.515,13.5,18.9,.108,.456,19.1,36.4,.368
18,2019-01-17,@,South Alabama,REG (Conf),W,69,66,"",93.3,89.3,73.9,.458,.339,.480,55.8,39.1,2.7,22.2,.458,15.3,25.6,.254,.492,12.8,13.2,.136
19,2019-01-19,@,Troy,REG (Conf),L,75,77,"",112.2,115.2,66.8,.203,.508,.580,46.7,37.9,3.0,8.8,.593,12.2,25.8,.085,.552,11.7,31.0,.224
20,2019-01-24,"",Texas State,REG (Conf),L,68,81,"",102.9,122.6,66.1,.164,.545,.574,44.3,42.3,3.0,21.1,.573,14.4,17.2,.091,.575,10.3,31.3,.060
21,2019-01-26,"",UT Arlington,REG (Conf),W,77,71,"",108.7,100.2,70.9,.345,.431,.570,40.8,50.0,11.3,20.0,.534,9.4,21.9,.259,.444,15.3,43.6,.097
22,2019-02-02,"",Georgia Southern,REG (Conf),W,81,72,"",109.1,97.0,74.3,.283,.450,.595,48.4,30.0,8.1,10.8,.583,12.8,13.3,.183,.509,18.4,20.6,.268
23,2019-02-06,@,LouisianaâMonroe,REG (Conf),L,76,82,"",102.6,110.7,74.1,.164,.426,.578,42.9,51.7,8.1,14.3,.566,17.6,20.6,.115,.526,17.8,31.0,.362
24,2019-02-08,@,Louisiana,REG (Conf),L,72,76,"",103.0,108.7,69.9,.500,.340,.582,46.4,32.0,5.7,17.2,.560,16.2,16.0,.320,.500,15.2,29.0,.357
25,2019-02-13,"",Troy,REG (Conf),W,77,63,"",109.1,89.3,70.6,.389,.500,.602,51.6,53.8,14.2,7.1,.583,16.9,26.7,.259,.482,23.7,25.0,.182
26,2019-02-15,"",South Alabama,REG (Conf),W,90,81,"",115.3,103.7,78.1,.467,.483,.614,52.3,79.3,12.8,21.7,.592,13.0,23.5,.317,.564,21.2,16.1,.345
27,2019-02-21,@,Appalachian State,REG (Conf),W,80,75,"",117.4,110.1,68.2,.200,.450,.609,41.4,41.4,11.7,13.8,.583,7.1,12.9,.167,.593,19.6,25.9,.204
28,2019-02-23,@,Coastal Carolina,REG (Conf),L,82,95,"",99.3,115.0,82.6,.394,.424,.523,35.1,35.7,12.1,12.9,.485,10.3,10.5,.273,.543,15.3,41.0,.271
29,2019-02-28,"",Arkansas State,REG (Conf),W,76,60,"",111.9,88.4,67.9,.286,.536,.597,42.2,65.4,13.3,6.5,.589,13.6,20.7,.179,.422,21.9,40.0,.190
30,2019-03-02,"",Little Rock,REG (Conf),W,83,70,"",110.8,93.5,74.9,.226,.468,.605,49.1,56.7,18.7,6.9,.581,14.9,20.7,.177,.545,22.2,21.4,.161
31,2019-03-09,@,Georgia Southern,REG (Conf),W,90,85,"",119.1,112.5,75.6,.460,.381,.586,46.8,38.7,9.3,13.7,.563,9.4,32.4,.302,.478,13.8,40.0,.275
32,2019-03-16,N,Texas State,CTOURN,W,59,46,"",83.7,65.3,70.5,.491,.472,.451,51.3,52.9,14.2,17.1,.377,18.7,28.9,.358,.254,17.9,28.6,.246
33,2019-03-17,N,UT Arlington,CTOURN,W,73,64,"",100.5,88.1,72.6,.680,.440,.552,46.5,40.0,5.5,16.1,.480,13.1,13.3,.500,.414,15.3,29.3,.172
