Gtm,Date,Location,Opp_name,Type,Rslt,Tm,Opp_score,OT,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,eFG%_opp,TOV%_opp,ORB%_opp,FT/FGA_opp
1,2018-11-09,"",Austin Peay,REG (Non-Conf),W,95,67,"",123.5,87.1,77.0,.281,.391,.655,48.5,43.2,11.7,13.3,.633,14.2,23.1,.219,.415,20.1,35.0,.305
2,2018-11-11,"",Hartford,REG (Non-Conf),W,77,59,"",114.5,87.7,67.3,.136,.364,.548,55.7,46.7,22.3,13.8,.523,14.6,44.1,.121,.510,27.9,29.6,.184
3,2018-11-16,"",Long Beach State,REG (Non-Conf),W,79,51,"",104.9,67.7,75.3,.243,.311,.478,61.3,45.2,15.9,25.6,.446,12.7,44.2,.176,.391,24.4,18.9,.145
4,2018-11-19,N,Arizona State,REG (Non-Conf),L,67,72,"",96.9,104.1,69.2,.145,.435,.454,47.1,64.0,8.7,12.2,.420,11.9,33.3,.130,.509,15.3,35.5,.224
5,2018-11-21,N,St. Mary's (CA),REG (Non-Conf),W,61,57,"",99.6,93.0,61.3,.182,.436,.510,49.2,50.0,8.2,13.0,.482,11.8,21.4,.145,.419,7.1,28.6,.081
6,2018-11-26,"",Alcorn State,REG (Non-Conf),W,88,65,"",123.8,91.5,71.1,.259,.444,.725,59.3,72.7,7.0,3.4,.713,21.9,28.6,.204,.432,13.8,23.7,.237
7,2018-11-30,@,Dayton,REG (Non-Conf),W,65,58,"",94.5,84.3,68.8,.164,.361,.494,58.6,72.0,8.7,0.0,.467,19.6,37.1,.131,.474,18.5,20.0,.052
8,2018-12-04,"",McNeese State,REG (Non-Conf),W,90,77,"",129.1,110.5,69.7,.385,.477,.585,62.1,48.3,8.6,16.2,.554,11.5,47.1,.277,.650,19.3,16.7,.240
9,2018-12-08,N,Clemson,REG (Non-Conf),W,82,71,"",121.2,105.0,67.7,.212,.577,.716,54.7,78.6,7.4,2.9,.721,18.5,22.2,.135,.484,11.4,28.6,.177
10,2018-12-15,"",Cincinnati,REG (Non-Conf),W,70,59,"",110.0,92.7,63.7,.479,.479,.594,53.4,72.7,7.9,13.5,.583,18.1,37.0,.292,.402,17.2,32.3,.353
11,2018-12-19,"",Wofford,REG (Non-Conf),W,98,87,"",137.3,121.9,71.4,.735,.551,.741,55.6,46.4,12.6,25.7,.714,15.4,34.8,.571,.658,18.0,22.7,.211
12,2018-12-22,N,Wright State,REG (Non-Conf),W,67,63,"",108.1,101.7,62.0,.294,.412,.576,60.4,44.0,14.5,25.0,.559,17.1,36.0,.196,.548,17.7,17.9,.115
13,2018-12-29,"",Brigham Young,REG (Non-Conf),W,103,81,"",117.6,92.5,87.6,.314,.300,.640,54.7,47.4,11.4,17.5,.593,19.1,30.0,.286,.475,20.5,23.5,.400
14,2019-01-08,@,South Carolina,REG (Conf),L,82,87,OT,94.8,100.6,76.9,.359,.391,.547,46.3,58.6,9.2,15.5,.539,17.6,16.7,.203,.457,11.9,29.5,.160
15,2019-01-12,"",Ole Miss,REG (Conf),L,77,81,"",104.7,110.1,73.6,.250,.328,.538,56.5,36.7,10.9,14.8,.516,17.3,34.4,.172,.569,12.9,20.0,.259
16,2019-01-15,"",Florida,REG (Conf),W,71,68,"",115.5,110.6,61.5,.224,.347,.655,49.1,73.1,11.4,17.9,.633,19.3,27.3,.184,.508,13.6,36.4,.136
17,2019-01-19,@,Vanderbilt,REG (Conf),W,71,55,"",106.8,82.7,66.5,.237,.322,.541,57.1,48.1,6.0,10.0,.500,12.1,30.3,.203,.418,18.6,18.9,.286
18,2019-01-22,@,Kentucky,REG (Conf),L,55,76,"",77.5,107.0,71.0,.295,.328,.395,45.9,26.3,11.3,14.0,.336,17.7,35.0,.230,.508,18.7,41.2,.271
19,2019-01-26,"",Auburn,REG (Conf),W,92,84,"",125.1,114.2,73.5,.618,.545,.647,52.8,71.4,15.0,17.9,.627,15.4,34.5,.418,.643,24.1,25.0,.429
20,2019-01-29,@,Alabama,REG (Conf),L,79,83,"",100.9,106.0,78.3,.310,.268,.485,51.9,31.3,10.2,13.0,.472,13.8,38.1,.169,.500,12.3,31.4,.361
21,2019-02-02,@,Ole Miss,REG (Conf),W,81,75,"",111.0,102.8,73.0,.483,.293,.568,63.2,48.1,12.3,8.3,.534,17.4,43.3,.328,.553,17.0,14.8,.211
22,2019-02-06,"",Louisiana State,REG (Conf),L,88,92,OT,111.2,116.3,70.3,.407,.390,.625,44.3,50.0,13.9,11.3,.610,20.4,32.3,.271,.570,18.3,43.3,.297
23,2019-02-09,"",Kentucky,REG (Conf),L,67,71,"",105.0,111.3,63.8,.340,.302,.544,45.0,30.4,11.0,15.4,.500,12.8,23.3,.264,.535,12.1,33.3,.175
