Gtm,Date,Location,Opp_name,Type,Rslt,Tm,Opp_score,OT,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,eFG%_opp,TOV%_opp,ORB%_opp,FT/FGA_opp
1,2018-11-06,"",North Dakota State,REG (Non-Conf),W,73,56,"",109.9,84.3,68.5,.242,.394,.496,61.3,27.6,7.5,10.3,.477,9.8,38.5,.152,.446,15.4,13.9,.107
2,2018-11-09,"",UTEP,REG (Non-Conf),W,96,69,"",124.6,89.6,77.0,.260,.438,.585,59.4,47.2,6.5,2.5,.575,7.9,32.4,.164,.500,16.2,9.4,.190
3,2018-11-14,"",St. Mary's (CA),REG (Non-Conf),L,58,73,"",93.2,117.2,62.3,.418,.327,.440,48.5,30.0,4.8,3.1,.382,8.3,27.0,.291,.546,11.5,24.1,.259
4,2018-11-17,@,New Mexico,REG (Non-Conf),W,98,94,"",128.3,123.1,76.4,.736,.434,.685,62.0,40.0,7.9,3.1,.679,16.4,40.0,.491,.702,18.5,16.0,.404
5,2018-11-21,"","",REG (Non-Conf),W,92,65,"",117.3,82.9,78.4,.364,.455,.509,62.7,46.7,6.4,23.1,.461,10.9,43.5,.273,.520,24.5,6.9,.286
6,2018-11-28,@,UTEP,REG (Non-Conf),W,62,58,"",95.2,89.0,65.2,.280,.460,.547,44.6,54.5,6.1,5.9,.510,22.0,24.1,.220,.531,25.8,33.3,.146
7,2018-12-01,"",Washington State,REG (Non-Conf),W,69,63,"",103.5,94.5,66.7,.362,.586,.508,48.4,66.7,10.5,0.0,.457,11.7,30.6,.276,.565,23.9,28.6,.037
8,2018-12-04,"",New Mexico,REG (Non-Conf),W,100,65,"",121.2,78.8,82.5,.366,.423,.600,62.7,60.0,8.5,9.1,.577,14.4,38.2,.254,.359,12.1,20.4,.297
9,2018-12-08,N,Kansas,REG (Non-Conf),L,60,63,"",92.0,96.6,65.2,.182,.473,.502,50.0,80.0,9.2,10.8,.518,19.0,30.0,.055,.491,16.9,32.4,.103
10,2018-12-17,"",Northern Colorado,REG (Non-Conf),W,74,62,"",106.0,88.8,69.8,.298,.351,.569,56.3,41.4,7.2,5.7,.553,22.6,43.3,.193,.412,16.4,32.4,.263
11,2018-12-19,"",Cal State Northridge,REG (Non-Conf),W,92,57,"",136.9,84.8,67.2,.113,.521,.615,61.5,60.0,8.9,3.7,.599,9.7,38.2,.099,.480,17.5,12.9,.204
12,2018-12-22,N,Drake,REG (Non-Conf),L,63,66,"",92.4,96.8,68.2,.459,.541,.424,60.3,25.0,14.7,8.0,.377,16.8,48.8,.279,.520,19.7,18.2,.306
13,2018-12-23,N,Washington State,REG (Non-Conf),W,75,72,"",116.0,111.4,64.7,.200,.483,.571,54.5,55.2,9.3,3.8,.558,15.4,40.0,.133,.592,19.8,28.0,.286
14,2018-12-30,@,Colorado State,REG (Non-Conf),W,88,68,"",135.7,104.9,64.8,.088,.500,.621,58.3,51.4,12.3,3.1,.610,9.0,35.5,.074,.533,14.7,17.2,.444
15,2019-01-03,@,California Baptist,REG (Conf),L,76,82,"",103.5,111.7,73.4,.419,.351,.428,58.3,47.8,8.2,4.3,.358,8.3,47.8,.311,.556,20.5,23.1,.711
16,2019-01-10,"",Grand Canyon,REG (Conf),W,77,75,"",108.3,105.5,71.1,.317,.350,.558,46.4,46.7,4.2,8.8,.575,15.8,25.0,.133,.542,16.4,30.3,.186
17,2019-01-12,"",Cal State Bakersfield,REG (Conf),W,73,62,"",116.8,99.2,62.5,.660,.553,.591,49.3,66.7,3.2,9.1,.532,12.7,31.0,.489,.390,8.7,38.6,.132
18,2019-01-17,@,Seattle,REG (Conf),W,87,60,"",125.2,86.3,69.5,.448,.362,.618,57.6,38.7,8.6,4.5,.612,14.6,38.7,.276,.434,12.9,25.7,.115
19,2019-01-19,@,Utah Valley,REG (Conf),W,83,78,"",122.5,115.1,67.8,.714,.429,.632,57.1,47.8,10.3,7.4,.551,14.4,32.1,.592,.698,21.5,9.5,.419
20,2019-01-26,@,TexasâRio Grande Valley,REG (Conf),W,63,61,"",91.9,89.0,68.5,.471,.431,.505,64.3,77.3,13.1,5.1,.480,20.4,37.9,.275,.480,19.5,7.4,.235
21,2019-01-31,"",Kansas City,REG (Conf),W,70,54,"",120.1,92.7,58.3,.283,.509,.582,71.7,56.0,3.4,16.7,.557,20.0,57.1,.208,.400,9.6,15.6,.400
22,2019-02-02,"",Chicago State,REG (Conf),W,83,39,"",122.8,57.7,67.6,.188,.578,.595,60.3,56.7,7.4,10.8,.586,10.3,40.0,.125,.345,26.2,21.2,.018
23,2019-02-07,@,Cal State Bakersfield,REG (Conf),W,71,70,OT,97.7,96.4,64.6,.611,.426,.510,52.9,45.5,16.5,4.5,.454,19.6,43.2,.407,.475,21.0,35.5,.217
24,2019-02-09,@,Grand Canyon,REG (Conf),W,67,64,"",107.8,102.9,62.2,.172,.448,.534,60.3,61.5,6.4,3.8,.526,16.1,42.4,.103,.531,16.3,16.0,.245
25,2019-02-14,"",Utah Valley,REG (Conf),W,84,77,"",113.8,104.4,73.8,.355,.452,.580,53.0,55.2,5.4,6.7,.556,11.0,18.8,.242,.551,14.3,14.7,.203
26,2019-02-16,"",Seattle,REG (Conf),W,59,53,"",91.2,81.9,64.7,.563,.500,.485,55.0,52.9,7.7,18.8,.427,18.7,37.5,.375,.404,19.0,25.0,.212
27,2019-02-19,"","",REG (Non-Conf),W,80,42,"",116.4,61.1,68.7,.194,.537,.547,61.5,68.8,13.1,16.0,.537,8.7,28.9,.119,.358,18.3,7.5,.075
28,2019-02-23,"",TexasâRio Grande Valley,REG (Conf),W,88,79,"",120.2,107.9,73.2,.508,.492,.601,59.7,66.7,6.8,13.2,.585,17.9,45.5,.322,.529,15.2,24.1,.462
29,2019-02-28,@,Kansas City,REG (Conf),W,75,55,"",109.1,80.0,68.8,.153,.407,.593,66.7,66.7,13.1,10.0,.585,20.2,41.7,.102,.470,23.5,13.3,.160
30,2019-03-02,@,Chicago State,REG (Conf),W,92,58,"",126.4,79.7,72.8,.333,.500,.662,66.1,53.1,9.6,5.3,.633,15.8,39.3,.267,.464,19.4,9.7,.127
31,2019-03-09,"",California Baptist,REG (Conf),W,75,63,"",115.6,97.1,64.9,.250,.483,.559,50.7,66.7,3.1,14.3,.558,8.2,28.9,.133,.394,6.4,27.0,.167
32,2019-03-14,N,Chicago State,CTOURN,W,86,49,"",120.3,68.5,71.5,.344,.578,.578,67.2,56.7,7.0,8.8,.555,15.8,42.4,.234,.394,22.4,8.8,.255
33,2019-03-15,N,TexasâRio Grande Valley,CTOURN,W,79,72,"",117.4,107.0,67.3,.333,.481,.631,58.5,39.3,3.0,12.1,.620,12.6,28.0,.222,.538,16.2,14.3,.283
34,2019-03-16,N,Grand Canyon,CTOURN,W,89,57,"",128.9,82.6,69.0,.123,.600,.647,63.8,54.5,5.8,6.9,.638,12.7,30.0,.092,.442,11.1,10.3,.067
