Gtm,Date,Location,Opp_name,Type,Rslt,Tm,Opp_score,OT,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,eFG%_opp,TOV%_opp,ORB%_opp,FT/FGA_opp
1,2018-11-09,@,TexasâRio Grande Valley,REG (Non-Conf),W,91,76,"",110.4,92.2,82.4,.534,.397,.626,56.5,55.2,9.7,14.0,.595,17.1,25.8,.379,.486,16.3,18.4,.130
2,2018-11-12,@,UTSA,REG (Non-Conf),W,87,67,"",106.4,81.9,81.8,.159,.275,.586,52.6,37.1,9.8,11.4,.565,15.9,27.3,.130,.418,20.8,27.9,.082
3,2018-11-18,"",Wofford,REG (Non-Conf),W,75,64,"",105.3,89.9,71.2,.517,.310,.519,51.4,44.0,7.0,0.0,.483,8.8,21.9,.328,.453,11.4,23.7,.094
4,2018-11-21,N,Florida,REG (Non-Conf),W,65,60,"",92.6,85.5,70.2,.234,.281,.457,60.0,52.0,8.6,25.8,.422,16.4,35.9,.172,.483,13.5,13.9,.051
5,2018-11-22,N,Wisconsin,REG (Non-Conf),L,58,78,"",91.0,122.4,63.7,.216,.255,.516,48.1,29.2,7.8,18.9,.520,21.1,27.6,.098,.593,9.8,28.0,.136
6,2018-11-23,N,Dayton,REG (Non-Conf),W,65,54,"",99.9,83.0,65.4,.420,.360,.542,51.6,71.4,6.1,11.1,.480,11.8,18.5,.340,.367,10.6,22.9,.167
7,2018-11-27,"",North Texas,REG (Non-Conf),W,73,57,"",90.8,70.9,80.4,.623,.321,.531,50.0,48.0,10.0,9.3,.528,18.9,17.2,.321,.319,18.1,28.9,.188
8,2018-12-04,N,Notre Dame,REG (Non-Conf),W,85,80,"",113.5,106.8,74.9,.118,.426,.592,48.8,59.4,4.0,8.2,.581,13.3,19.4,.088,.466,3.5,27.3,.149
9,2018-12-08,"",Wichita State,REG (Non-Conf),W,80,48,"",108.4,65.1,73.8,.373,.424,.576,60.3,38.5,9.5,5.7,.525,20.6,39.4,.305,.282,17.8,24.4,.210
10,2018-12-15,"",Southern California,REG (Non-Conf),W,81,70,"",98.3,85.0,82.4,.410,.295,.556,52.6,46.7,8.5,4.3,.541,18.0,22.6,.246,.394,18.8,27.7,.273
11,2018-12-18,"",Creighton,REG (Non-Conf),W,83,70,"",104.4,88.1,79.5,.483,.293,.582,54.4,43.3,2.5,15.2,.560,16.4,23.5,.310,.516,19.6,14.7,.079
12,2018-12-21,@,Northwestern,REG (Non-Conf),W,76,69,OT,100.0,90.8,67.6,.133,.280,.476,57.3,59.4,7.9,7.0,.460,13.1,34.2,.093,.485,12.5,18.9,.076
13,2019-01-02,@,Kansas,REG (Conf),L,63,70,"",84.2,93.6,74.8,.210,.355,.462,48.1,36.0,6.7,4.8,.444,19.0,25.6,.129,.444,16.0,30.0,.222
14,2019-01-05,"",Oklahoma State,REG (Conf),W,74,64,"",99.3,85.9,74.5,.621,.483,.493,53.2,57.1,5.4,5.3,.422,13.8,30.0,.431,.391,10.8,23.1,.219
15,2019-01-08,@,Texas Tech,REG (Conf),L,59,66,"",86.3,96.5,68.4,.226,.468,.430,54.1,55.0,10.2,6.7,.395,16.9,32.4,.161,.500,17.4,12.5,.347
16,2019-01-12,"",TCU,REG (Conf),W,76,74,"",101.7,99.0,74.7,.455,.273,.568,47.2,51.9,10.7,20.0,.536,11.9,14.3,.309,.431,13.1,31.8,.167
17,2019-01-16,"",Kansas State,REG (Conf),L,61,74,"",95.9,116.3,63.6,.489,.383,.527,47.3,54.5,9.4,2.8,.521,21.6,29.6,.255,.586,14.0,35.7,.103
18,2019-01-19,@,Texas,REG (Conf),L,72,75,"",111.6,116.2,64.5,.213,.279,.536,47.0,29.6,7.7,9.1,.500,8.2,23.5,.180,.500,8.2,28.1,.364
19,2019-01-23,@,Oklahoma State,REG (Conf),W,70,61,"",112.1,97.7,62.5,.308,.346,.587,50.9,65.4,12.8,8.0,.558,9.1,17.9,.231,.538,17.8,12.0,.096
20,2019-01-26,"",Vanderbilt,REG (Non-Conf),W,86,55,"",114.7,73.3,75.0,.138,.354,.621,46.0,41.7,14.7,11.1,.608,13.7,14.3,.108,.412,25.1,28.6,.140
21,2019-01-28,"",Baylor,REG (Conf),L,47,77,"",68.5,112.2,68.7,.309,.364,.373,45.3,73.3,4.4,8.1,.309,18.2,21.6,.236,.632,16.2,22.2,.088
22,2019-02-02,@,West Virginia,REG (Conf),L,71,79,"",99.0,110.1,71.7,.580,.420,.557,40.0,57.1,9.8,2.7,.500,19.0,18.8,.420,.483,13.8,42.1,.373
