Gtm,Date,Location,Opp_name,Type,Rslt,Tm,Opp_score,OT,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,eFG%_opp,TOV%_opp,ORB%_opp,FT/FGA_opp
1,2018-11-06,"",Eastern Washington,REG (Non-Conf),W,66,34,"",91.6,47.2,72.1,.452,.274,.438,59.0,45.8,13.9,16.7,.411,10.7,35.3,.242,.271,23.2,22.7,.034
2,2018-11-10,"",Morehead State,REG (Non-Conf),W,84,70,"",103.7,86.4,81.0,.441,.235,.511,60.8,39.3,7.4,17.4,.434,14.5,40.0,.368,.450,13.7,20.5,.100
3,2018-11-15,N,Connecticut,REG (Non-Conf),L,76,83,"",97.6,106.5,77.9,.379,.333,.488,39.4,38.5,10.3,11.1,.439,11.4,20.0,.273,.596,21.9,38.7,.263
4,2018-11-16,N,Oregon,REG (Non-Conf),L,65,80,"",91.8,113.0,70.8,.608,.549,.494,40.7,66.7,16.9,3.2,.402,19.6,32.3,.471,.559,22.3,47.8,.451
5,2018-11-21,"",Colgate,REG (Non-Conf),W,77,56,"",116.7,84.8,66.0,.500,.333,.519,63.1,50.0,19.7,27.3,.492,10.8,47.2,.300,.471,21.2,17.2,.157
6,2018-11-28,@,Ohio State,REG (Non-Conf),W,72,62,"",113.7,97.9,63.3,.422,.533,.666,47.2,59.1,1.6,12.5,.611,18.2,16.7,.378,.391,13.8,27.6,.565
7,2018-12-01,"",Cornell,REG (Non-Conf),W,63,55,"",114.3,99.8,55.1,.500,.500,.606,54.5,42.9,12.7,21.1,.595,16.1,22.7,.310,.570,16.0,13.6,.140
8,2018-12-04,"",Northeastern,REG (Non-Conf),W,72,49,"",117.3,79.8,61.4,.283,.517,.529,60.3,76.9,13.0,22.7,.508,9.3,38.2,.183,.400,16.5,17.6,.180
9,2018-12-08,"",Georgetown,REG (Non-Conf),W,72,71,"",99.6,98.3,72.3,.379,.483,.526,43.7,52.0,13.8,15.6,.500,11.6,18.2,.241,.476,17.4,34.2,.175
10,2018-12-15,"",Old Dominion,REG (Non-Conf),L,62,68,"",89.4,98.1,69.3,.708,.458,.483,45.0,81.3,11.5,16.7,.417,15.8,16.7,.458,.550,21.2,26.7,.260
11,2018-12-18,"",Buffalo,REG (Non-Conf),L,59,71,"",81.6,98.2,72.3,.228,.386,.467,42.0,29.2,8.3,17.2,.474,19.2,21.2,.088,.452,18.3,38.9,.242
12,2018-12-22,"",Arkansas State,REG (Non-Conf),W,82,52,"",128.3,81.4,63.9,.647,.451,.615,59.0,50.0,12.5,28.6,.539,10.7,43.5,.529,.423,21.3,31.6,.154
13,2018-12-29,"",St. Bonaventure,REG (Non-Conf),W,81,48,"",116.6,69.1,69.5,.440,.340,.670,53.8,65.5,24.5,15.4,.640,17.7,27.3,.340,.389,30.2,26.7,.289
14,2019-01-05,@,Notre Dame,REG (Conf),W,72,62,"",107.9,92.9,66.7,.074,.426,.512,55.1,39.3,6.0,12.0,.500,11.3,33.3,.059,.440,13.1,23.1,.190
15,2019-01-09,"",Clemson,REG (Conf),W,61,53,"",89.1,77.4,68.5,.479,.542,.518,49.2,60.0,7.3,21.2,.479,20.3,17.9,.313,.406,20.8,25.7,.189
16,2019-01-12,"",Georgia Tech,REG (Conf),L,59,73,"",82.1,101.5,71.9,.368,.579,.440,47.2,72.2,13.9,13.3,.377,20.2,31.3,.281,.667,27.7,28.6,.405
17,2019-01-14,@,Duke,REG (Conf),W,95,91,OT,104.5,100.1,80.8,.238,.313,.534,47.8,37.1,3.3,13.5,.506,13.6,24.4,.175,.444,10.6,29.8,.250
18,2019-01-19,"",Pittsburgh,REG (Conf),W,74,63,"",102.4,87.2,72.3,.426,.481,.570,43.5,68.0,11.1,33.3,.574,17.7,22.6,.222,.423,18.3,39.5,.123
19,2019-01-24,"",Miami (FL),REG (Conf),W,73,53,"",119.0,86.4,61.3,.151,.566,.643,45.8,84.6,11.4,36.7,.623,9.6,15.4,.132,.407,16.2,30.3,.085
20,2019-01-26,@,Virginia Tech,REG (Conf),L,56,78,"",86.1,119.9,65.1,.255,.509,.454,44.2,35.0,12.3,11.1,.445,18.5,26.7,.127,.667,17.3,31.8,.292
21,2019-01-30,@,Boston College,REG (Conf),W,77,71,"",124.1,114.5,62.0,.288,.500,.651,50.0,37.9,9.7,4.3,.663,15.7,29.2,.154,.567,16.4,27.3,.444
22,2019-02-02,@,Pittsburgh,REG (Conf),W,65,56,"",106.1,91.4,61.3,.321,.415,.532,47.9,50.0,11.4,17.1,.481,12.8,32.3,.264,.360,14.0,40.0,.263
23,2019-02-05,"",Florida State,REG (Conf),L,62,80,"",84.9,109.5,73.1,.471,.392,.497,46.6,33.3,12.3,21.2,.461,23.3,28.1,.294,.645,25.7,30.8,.164
24,2019-02-09,"",Boston College,REG (Conf),W,67,56,"",100.4,83.9,66.8,.377,.358,.536,52.5,45.5,18.0,19.4,.481,15.0,32.1,.302,.398,20.2,30.3,.241
25,2019-02-13,@,NC State,REG (Conf),L,58,73,"",78.5,98.7,73.9,.367,.417,.412,43.1,38.1,13.5,9.7,.392,14.6,23.8,.183,.541,24.9,21.7,.408
26,2019-02-20,"",Louisville,REG (Conf),W,69,49,"",102.1,72.5,67.6,.281,.526,.534,52.2,54.5,7.4,19.2,.482,13.4,22.6,.246,.315,17.2,22.2,.278
27,2019-02-23,"",Duke,REG (Conf),L,65,75,"",95.9,110.6,67.8,.271,.329,.411,49.3,50.0,13.3,16.7,.379,6.0,38.6,.171,.517,16.3,35.5,.237
28,2019-02-26,@,North Carolina,REG (Conf),L,85,93,"",116.0,127.0,73.3,.383,.517,.599,37.7,58.6,6.8,9.1,.600,12.4,24.1,.217,.476,10.2,50.0,.548
29,2019-03-02,@,Wake Forest,REG (Conf),W,79,54,"",111.2,76.0,71.4,.316,.333,.603,49.1,41.9,21.1,17.2,.579,17.6,33.3,.228,.404,27.0,35.7,.231
30,2019-03-04,"",Virginia,REG (Conf),L,53,79,"",87.3,130.1,60.7,.193,.439,.426,48.4,42.1,14.8,15.4,.404,12.6,29.7,.123,.725,16.4,24.0,.098
31,2019-03-09,@,Clemson,REG (Conf),L,55,67,"",79.0,96.2,69.7,.354,.396,.490,40.3,44.4,11.5,12.5,.438,23.3,18.2,.271,.384,17.6,38.2,.429
32,2019-03-13,N,Pittsburgh,CTOURN,W,73,59,"",116.3,94.0,62.8,.396,.509,.580,50.0,60.9,17.5,18.8,.547,17.1,40.0,.283,.418,18.3,41.7,.236
33,2019-03-14,N,Duke,CTOURN,L,72,84,"",98.8,115.3,72.9,.423,.404,.576,43.5,28.0,11.0,9.7,.567,21.4,26.5,.250,.602,21.1,35.7,.352
