Gtm,Date,Location,Opp_name,Type,Rslt,Tm,Opp_score,OT,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,eFG%_opp,TOV%_opp,ORB%_opp,FT/FGA_opp
1,2018-11-09,"",Gardner-Webb,REG (Non-Conf),W,87,59,"",105.5,71.5,82.5,.302,.397,.604,56.9,62.5,19.4,12.5,.587,21.7,31.0,.206,.533,34.5,9.1,.244
2,2018-11-15,N,Ball State,REG (Non-Conf),W,73,64,"",114.1,100.1,64.0,.143,.413,.543,49.2,48.3,10.9,12.0,.516,10.6,33.3,.127,.510,19.3,34.5,.212
3,2018-11-16,N,Northeastern,REG (Non-Conf),W,88,60,"",143.4,97.8,61.4,.065,.435,.689,52.9,58.3,8.1,20.0,.694,12.3,34.6,.032,.576,24.3,28.0,.152
4,2018-11-18,N,Purdue,REG (Non-Conf),W,89,83,"",126.6,118.1,70.3,.473,.436,.661,41.2,50.0,8.5,3.6,.636,11.8,17.4,.345,.623,16.4,39.3,.115
5,2018-11-24,"",Saint Francis (PA),REG (Non-Conf),W,75,37,"",110.5,54.5,67.9,.158,.544,.612,49.2,74.1,10.3,8.3,.596,18.6,25.9,.123,.293,26.1,34.2,.052
6,2018-11-27,@,Penn State,REG (Non-Conf),L,62,63,"",98.8,100.4,62.8,.260,.380,.552,42.6,40.9,17.5,10.7,.540,20.0,26.7,.160,.518,21.0,41.9,.070
7,2018-12-01,"",Central Connecticut State,REG (Non-Conf),W,94,40,"",136.2,57.9,69.0,.159,.524,.694,58.9,77.8,13.0,11.5,.714,11.7,29.2,.063,.324,22.9,18.8,.093
8,2018-12-05,"",VMI,REG (Non-Conf),W,89,68,"",118.3,90.4,75.3,.431,.431,.637,57.6,63.3,5.3,8.6,.612,13.6,26.7,.310,.483,17.4,10.3,.167
9,2018-12-09,"",South Carolina State,REG (Non-Conf),W,81,44,"",120.2,65.3,67.4,.328,.414,.604,58.5,67.9,19.3,12.5,.578,16.2,43.3,.241,.349,24.5,28.6,.132
10,2018-12-15,N,Washington,REG (Non-Conf),W,73,61,"",106.9,89.3,68.3,.375,.393,.553,48.4,58.3,10.2,3.3,.500,14.3,30.8,.304,.450,18.4,38.9,.117
11,2018-12-19,"",North Carolina A&T,REG (Non-Conf),W,82,60,"",120.6,88.3,68.0,.279,.328,.594,66.1,46.7,5.9,10.3,.549,14.8,40.7,.246,.547,20.3,10.3,.038
12,2018-12-28,"",Maryland Eastern Shore,REG (Non-Conf),W,85,40,"",148.8,70.0,57.1,.409,.591,.809,66.7,75.9,7.0,10.0,.818,14.6,21.1,.295,.364,15.3,6.3,.182
13,2019-01-01,"",Notre Dame,REG (Conf),W,81,66,"",132.2,107.7,61.3,.091,.327,.706,44.4,57.6,8.2,4.5,.700,10.9,10.5,.073,.527,15.0,37.1,.125
14,2019-01-05,"",Boston College,REG (Conf),W,77,66,"",113.4,97.2,67.9,.463,.407,.584,55.4,52.0,7.4,9.5,.519,14.3,28.6,.389,.479,16.7,17.9,.417
15,2019-01-09,@,Georgia Tech,REG (Conf),W,52,49,"",82.1,77.4,63.3,.333,.474,.394,50.8,70.6,4.7,9.1,.342,10.8,25.0,.228,.526,28.3,8.7,.237
16,2019-01-15,@,Virginia,REG (Conf),L,59,81,"",104.5,143.5,56.5,.386,.477,.566,37.2,52.6,10.6,3.4,.511,14.7,20.8,.318,.708,13.9,42.1,.113
17,2019-01-19,"",Wake Forest,REG (Conf),W,87,71,"",127.5,104.0,68.3,.431,.510,.708,42.3,51.7,11.7,16.7,.676,15.2,18.2,.353,.458,17.5,40.0,.563
18,2019-01-21,@,North Carolina,REG (Conf),L,82,103,"",108.8,136.7,75.3,.262,.459,.598,48.4,77.8,10.6,3.0,.549,17.9,31.3,.246,.657,13.8,33.3,.224
19,2019-01-26,"",Syracuse,REG (Conf),W,78,56,"",119.9,86.1,65.1,.417,.625,.678,55.8,92.0,6.1,7.4,.667,17.3,31.8,.292,.445,18.5,26.7,.127
20,2019-01-30,@,Miami (FL),REG (Conf),W,82,70,"",112.5,96.0,72.9,.294,.373,.705,54.2,43.3,15.1,13.0,.676,20.5,10.0,.255,.518,20.3,14.3,.214
21,2019-02-02,@,NC State,REG (Conf),W,47,24,"",89.5,45.7,52.5,.289,.467,.459,53.6,50.0,15.2,11.5,.433,16.3,34.5,.178,.185,15.0,32.5,.074
22,2019-02-04,"",Louisville,REG (Conf),L,64,72,"",101.0,113.7,63.3,.467,.533,.582,44.4,65.0,6.3,19.2,.544,17.9,16.7,.333,.575,20.4,33.3,.208
23,2019-02-09,@,Clemson,REG (Conf),L,51,59,"",84.8,98.1,60.1,.321,.358,.418,54.1,53.3,15.0,5.6,.330,15.3,32.4,.302,.533,18.7,18.5,.217
24,2019-02-13,"",Georgia Tech,REG (Conf),W,76,68,"",120.9,108.2,62.9,.340,.566,.617,46.9,80.0,11.1,11.5,.594,12.8,26.9,.245,.538,14.5,30.4,.208
25,2019-02-16,@,Pittsburgh,REG (Conf),W,70,64,"",111.0,101.4,63.1,.634,.512,.656,55.1,66.7,9.5,4.8,.634,20.8,27.3,.439,.535,21.2,22.2,.419
26,2019-02-18,"",Virginia,REG (Conf),L,58,64,"",93.6,103.3,61.9,.224,.483,.452,49.1,39.1,14.5,8.7,.422,11.1,34.4,.155,.570,18.9,28.6,.140
27,2019-02-23,@,Notre Dame,REG (Conf),W,67,59,"",100.5,88.5,66.7,.596,.346,.502,63.4,42.1,7.5,6.3,.413,18.4,47.1,.462,.379,13.2,21.6,.259
28,2019-02-26,"",Duke,REG (Conf),W,77,72,"",121.5,113.6,63.4,.580,.520,.604,47.3,52.2,9.5,3.4,.540,7.3,21.4,.460,.570,16.9,25.9,.300
29,2019-03-05,@,Florida State,REG (Conf),L,64,73,OT,95.1,108.5,59.8,.283,.509,.532,54.4,50.0,4.5,0.0,.491,18.9,23.3,.226,.466,9.3,21.1,.328
30,2019-03-08,"",Miami (FL),REG (Conf),W,84,70,"",123.7,103.1,67.9,.220,.441,.644,50.8,65.5,2.9,0.0,.610,10.9,17.9,.203,.508,10.9,19.4,.169
31,2019-03-13,N,Miami (FL),CTOURN,W,71,56,"",117.4,92.6,60.5,.130,.500,.619,54.0,63.0,6.6,11.1,.602,13.6,25.9,.111,.411,11.3,25.0,.179
32,2019-03-14,N,Florida State,CTOURN,L,63,65,OT,93.1,96.0,60.2,.220,.322,.483,42.4,42.3,10.3,11.5,.475,12.1,16.7,.119,.491,17.3,26.7,.158
