Gtm,Date,Location,Opp_name,Type,Rslt,Tm,Opp_score,OT,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,eFG%_opp,TOV%_opp,ORB%_opp,FT/FGA_opp
1,2020-11-25,N,East Tennessee State,REG (Non-Conf),W,70,47,"",99.4,66.7,70.5,.551,.469,.566,44.1,70.0,11.4,10.0,.541,19.5,18.2,.347,.324,27.1,31.4,.275
2,2020-11-27,N,Austin Peay,REG (Non-Conf),W,80,72,"",106.4,95.8,75.2,.547,.170,.599,43.9,41.4,16.0,2.4,.594,18.3,19.2,.321,.500,21.3,35.5,.220
3,2020-11-28,N,Omaha,REG (Non-Conf),W,70,58,"",94.8,78.6,73.8,.345,.207,.519,51.6,57.7,12.2,0.0,.500,17.2,28.6,.207,.462,28.3,18.5,.192
4,2020-12-01,"","",REG (Non-Conf),W,81,51,"",99.3,62.5,81.6,.300,.471,.506,62.5,63.3,17.2,12.9,.493,19.2,43.6,.171,.400,33.7,15.2,.220
5,2020-12-05,"",Tarleton State,REG (Non-Conf),W,69,48,"",97.0,67.5,71.1,.393,.482,.519,49.2,65.2,14.1,7.4,.491,17.4,28.6,.250,.443,36.5,20.8,.486
6,2020-12-09,@,Texas Tech,REG (Non-Conf),L,44,51,"",66.7,77.4,65.9,.200,.400,.446,45.1,37.5,12.1,10.7,.422,28.9,15.0,.133,.302,20.9,35.5,.581
7,2020-12-12,"","",REG (Non-Conf),W,83,46,"",110.5,61.2,75.1,.310,.437,.510,54.7,64.5,18.6,6.5,.493,10.9,37.5,.183,.425,31.4,25.7,.019
8,2020-12-16,"","",REG (Non-Conf),W,95,73,"",114.1,87.7,83.3,.632,.250,.537,54.4,50.0,15.6,9.8,.500,11.1,39.0,.397,.535,28.1,22.2,.211
9,2020-12-22,@,Arkansas,REG (Non-Conf),L,72,85,"",98.4,116.1,73.2,.246,.361,.528,41.0,44.8,4.1,11.8,.516,15.0,25.0,.148,.517,15.1,41.4,.407
10,2020-12-29,"","",REG (Non-Conf),W,82,44,"",110.7,59.4,74.1,.377,.475,.570,64.1,58.1,16.2,18.5,.557,15.3,35.7,.230,.408,31.9,13.9,.082
11,2021-01-02,"",Lamar,REG (Conf),W,83,65,"",110.4,86.5,75.2,.304,.290,.525,56.7,70.0,14.6,9.7,.500,14.1,40.5,.203,.451,22.4,23.3,.373
12,2021-01-06,@,Houston Baptist,REG (Conf),W,66,63,"",91.9,87.7,71.8,.169,.338,.470,60.6,63.0,8.4,9.4,.438,15.6,36.1,.138,.451,19.6,10.0,.333
13,2021-01-16,"",Southeastern Louisiana,REG (Conf),W,76,42,"",104.7,57.9,72.6,.500,.444,.569,52.5,87.5,22.0,23.8,.528,17.3,28.1,.352,.361,37.0,18.5,.444
14,2021-01-20,@,Sam Houston State,REG (Conf),L,57,64,"",84.8,95.2,67.2,.246,.311,.418,39.7,91.3,8.9,8.3,.402,13.9,27.5,.131,.453,19.7,45.5,.302
15,2021-01-23,"",Central Arkansas,REG (Conf),W,93,58,"",120.7,75.3,77.1,.281,.484,.641,50.8,85.3,14.3,15.0,.625,14.2,26.7,.203,.426,28.0,25.8,.222
16,2021-01-27,"",Stephen F. Austin,REG (Conf),W,82,62,"",108.9,82.3,75.3,.460,.381,.534,46.8,46.2,9.3,10.9,.460,12.5,30.0,.381,.444,25.0,35.1,.259
17,2021-01-30,@,Incarnate Word,REG (Conf),W,75,67,"",116.3,103.9,64.5,.481,.442,.587,65.5,68.0,3.1,4.2,.538,15.8,42.9,.365,.509,11.6,13.3,.245
18,2021-02-06,@,Lamar,REG (Conf),W,77,62,"",121.4,97.8,63.4,.197,.361,.577,49.2,66.7,17.3,6.1,.582,9.5,27.3,.098,.600,24.6,25.0,.178
19,2021-02-08,@,Texas A&MâCorpus Christi,REG (Conf),W,82,69,"",119.3,100.4,68.7,.350,.250,.586,52.6,64.5,11.6,8.3,.567,10.3,31.3,.233,.520,21.5,20.0,.367
20,2021-02-10,"",Houston Baptist,REG (Conf),W,88,59,"",108.3,72.6,81.2,.254,.394,.553,54.8,78.8,22.2,11.4,.556,19.3,42.5,.127,.393,26.4,30.3,.268
21,2021-02-13,"",Texas A&MâCorpus Christi,REG (Conf),W,83,55,"",105.0,69.6,79.0,.482,.464,.603,49.2,70.4,16.4,16.2,.545,15.9,17.2,.393,.324,26.1,21.9,.431
22,2021-02-24,"",Sam Houston State,REG (Conf),W,86,72,"",118.9,99.5,72.3,.386,.333,.638,52.8,72.4,8.3,7.5,.596,17.2,29.6,.316,.525,15.5,23.1,.150
23,2021-02-27,@,Central Arkansas,REG (Conf),L,82,84,"",107.8,110.4,76.1,.355,.371,.566,45.6,82.1,11.8,2.8,.548,13.2,17.6,.226,.573,15.5,26.5,.382
24,2021-03-03,@,Stephen F. Austin,REG (Conf),W,63,61,"",88.7,85.9,71.0,.578,.289,.549,53.2,59.1,5.6,3.8,.533,27.7,26.9,.333,.463,20.7,14.3,.561
25,2021-03-06,"",Incarnate Word,REG (Conf),W,85,60,"",114.7,80.9,74.1,.206,.485,.569,60.9,73.3,18.9,17.2,.529,14.8,37.1,.191,.453,22.9,14.7,.226
26,2021-03-12,N,Lamar,CTOURN,W,93,71,"",129.4,98.8,71.9,.328,.328,.629,58.2,64.7,15.3,4.9,.602,11.9,37.9,.250,.580,21.1,19.2,.107
27,2021-03-13,N,Nicholls State,CTOURN,W,79,45,"",109.4,62.3,72.2,.172,.344,.571,61.4,65.5,16.6,8.1,.539,18.8,39.4,.156,.328,17.8,24.0,.047
