Gtm,Date,Location,Opp_name,Type,Rslt,Tm,Opp_score,OT,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,eFG%_opp,TOV%_opp,ORB%_opp,FT/FGA_opp
1,2020-11-29,"","",REG (Non-Conf),W,92,55,"",129.0,77.1,71.3,.139,.361,.599,67.7,60.0,14.0,5.3,.611,9.4,44.8,.056,.433,17.4,12.1,.050
2,2020-12-03,"","",REG (Non-Conf),W,123,52,"",161.8,68.4,76.0,.306,.333,.746,82.4,69.4,10.5,22.6,.757,10.8,63.0,.194,.409,20.4,4.9,.127
3,2020-12-07,"",Loyola Marymount,REG (Non-Conf),W,69,58,"",104.3,87.7,66.1,.360,.340,.589,38.5,66.7,9.1,13.3,.550,14.6,19.2,.280,.314,16.0,48.7,.356
4,2020-12-12,@,Loyola Marymount,REG (Non-Conf),L,76,81,"",106.6,113.7,71.3,.385,.462,.618,45.1,68.0,9.8,10.0,.587,15.2,14.3,.288,.632,20.5,17.4,.264
5,2020-12-19,@,Pepperdine,REG (Non-Conf),W,75,63,"",103.9,87.2,72.2,.418,.418,.569,56.9,80.0,8.3,5.1,.536,15.4,23.3,.291,.412,15.3,14.3,.281
6,2020-12-27,@,UC Irvine,REG (Conf),L,56,75,"",78.6,105.2,71.3,.464,.446,.410,45.9,38.9,9.8,2.0,.348,11.6,20.6,.304,.560,17.9,22.2,.172
7,2020-12-28,@,UC Irvine,REG (Conf),L,69,73,"",101.8,107.7,67.8,.358,.377,.556,46.0,47.6,7.4,2.7,.472,13.9,25.9,.358,.509,18.1,30.4,.333
8,2021-01-01,"",Cal State Fullerton,REG (Conf),W,81,63,"",113.3,88.2,71.5,.203,.234,.577,62.7,64.7,12.6,10.3,.578,13.6,38.7,.109,.518,22.1,10.7,.109
9,2021-01-02,"",Cal State Fullerton,REG (Conf),W,65,61,"",91.0,85.4,71.4,.474,.333,.465,50.0,80.0,19.6,12.9,.377,10.3,22.6,.386,.467,28.9,16.0,.422
10,2021-01-15,"",UC San Diego,REG (Conf),W,69,52,"",100.0,75.4,69.0,.152,.303,.488,63.6,58.6,14.5,7.7,.485,13.5,40.0,.076,.469,25.9,9.7,.122
11,2021-01-16,"",UC San Diego,REG (Conf),W,84,53,"",125.0,78.9,67.2,.194,.323,.620,62.9,70.6,4.5,10.3,.613,15.1,37.0,.129,.406,17.0,17.1,.189
12,2021-01-22,@,Cal State Northridge,REG (Conf),W,105,58,"",144.2,79.6,72.8,.359,.297,.701,63.1,56.4,20.6,5.7,.695,10.7,42.9,.250,.417,20.8,21.6,.133
13,2021-01-23,@,Cal State Northridge,REG (Conf),W,80,66,"",119.8,98.9,66.8,.460,.320,.657,55.6,48.1,3.0,2.5,.600,11.6,16.7,.400,.500,13.8,13.3,.200
14,2021-01-29,@,UC Davis,REG (Conf),W,72,51,"",107.6,76.2,66.9,.255,.275,.630,55.6,53.3,7.5,13.6,.637,17.3,17.4,.137,.336,15.5,22.5,.207
15,2021-01-30,@,UC Davis,REG (Conf),W,89,86,OT,112.6,108.8,70.3,.491,.386,.633,45.0,42.9,6.3,0.0,.588,16.6,17.2,.386,.508,14.8,29.0,.393
16,2021-02-12,@,Hawaii,REG (Conf),W,59,50,"",91.2,77.3,64.7,.250,.267,.439,52.5,50.0,9.3,16.7,.392,9.4,29.0,.200,.370,16.8,23.3,.185
17,2021-02-13,@,Hawaii,REG (Conf),W,81,74,OT,102.1,93.3,70.5,.426,.167,.624,51.0,44.8,8.8,11.8,.565,21.7,9.5,.370,.529,21.7,17.9,.392
18,2021-02-19,"",Cal State Bakersfield,REG (Conf),W,71,66,"",120.3,111.8,59.0,.278,.389,.581,49.1,70.8,11.9,12.8,.528,15.3,42.9,.259,.571,16.0,44.0,.036
19,2021-02-20,"",Cal State Bakersfield,REG (Conf),W,63,44,"",111.3,77.7,56.6,.425,.550,.655,51.1,100.0,14.1,6.7,.625,20.0,15.8,.325,.407,20.6,25.0,.209
20,2021-02-26,@,UC Riverside,REG (Conf),W,72,68,"",117.7,111.2,61.2,.302,.321,.594,53.8,50.0,3.3,4.9,.575,12.9,28.0,.208,.527,7.6,22.2,.182
21,2021-02-27,@,UC Riverside,REG (Conf),L,52,68,"",79.0,103.2,65.9,.269,.308,.443,45.3,31.6,13.7,5.1,.404,21.4,25.7,.192,.491,14.7,31.0,.232
22,2021-03-05,"",Cal Poly,REG (Conf),W,71,57,"",107.3,86.2,66.2,.382,.291,.546,55.6,73.1,18.1,2.6,.500,14.5,31.0,.291,.531,24.5,16.0,.102
23,2021-03-06,"",Cal Poly,REG (Conf),W,70,54,"",106.5,82.2,65.7,.197,.410,.525,60.3,73.1,15.2,10.0,.492,13.0,36.4,.164,.479,23.3,8.0,.167
24,2021-03-11,N,Long Beach State,CTOURN,W,95,87,"",118.5,108.5,80.2,.516,.339,.615,56.7,48.4,10.0,2.0,.556,14.4,35.5,.419,.549,11.5,20.7,.127
25,2021-03-12,N,UC Davis,CTOURN,W,71,55,"",108.4,84.0,65.5,.723,.277,.562,51.7,35.0,12.2,5.9,.457,8.7,11.1,.596,.462,17.4,12.9,.113
26,2021-03-13,N,UC Irvine,CTOURN,W,79,63,"",122.8,97.9,64.3,.328,.362,.589,54.2,41.4,12.4,0.0,.569,8.2,30.0,.224,.472,14.2,20.7,.222
