Gtm,Date,Location,Opp_name,Type,Rslt,Tm,Opp_score,OT,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,eFG%_opp,TOV%_opp,ORB%_opp,FT/FGA_opp
1,2020-11-25,@,Kansas State,REG (Non-Conf),W,80,70,"",123.0,107.7,65.0,.300,.383,.584,47.7,58.6,13.8,11.8,.542,9.3,35.5,.250,.518,17.6,41.2,.214
2,2020-11-27,N,South Dakota,REG (Non-Conf),W,69,53,"",104.8,80.5,65.9,.210,.274,.506,53.8,63.0,12.1,8.1,.492,10.5,28.1,.129,.392,16.8,21.2,.255
3,2020-12-03,"",Omaha,REG (Non-Conf),W,87,66,"",116.8,88.6,74.5,.203,.234,.620,54.2,48.6,6.7,5.1,.609,16.6,27.6,.141,.397,15.3,27.9,.345
4,2020-12-06,"","",REG (Non-Conf),W,97,53,"",122.8,67.1,79.0,.155,.423,.636,52.0,59.5,17.7,10.5,.620,12.6,26.5,.127,.375,25.3,26.8,.078
5,2020-12-09,"","",REG (Non-Conf),W,90,66,"",122.0,89.5,73.8,.138,.215,.650,63.9,47.5,10.8,18.9,.646,16.8,38.5,.092,.468,15.0,17.1,.111
6,2020-12-13,"",Air Force,REG (Non-Conf),W,81,53,"",122.6,80.2,66.1,.255,.436,.657,67.3,51.6,10.6,6.5,.655,17.4,40.0,.164,.388,17.0,10.0,.306
7,2020-12-18,@,South Dakota,REG (Non-Conf),W,75,57,"",105.0,79.8,71.5,.569,.353,.579,59.6,33.3,11.2,5.9,.539,17.8,28.0,.392,.469,24.3,11.1,.224
8,2020-12-20,"",Chicago State,REG (Non-Conf),W,111,67,"",149.1,90.0,74.5,.145,.368,.683,69.7,54.3,9.4,8.6,.684,11.9,54.8,.092,.492,17.6,17.1,.133
9,2020-12-22,"",North Dakota,REG (Non-Conf),W,88,55,"",123.4,77.1,71.3,.149,.194,.613,55.9,40.5,21.0,7.1,.612,15.3,40.6,.090,.380,26.9,25.9,.435
10,2020-12-27,@,Indiana State,REG (Conf),W,81,63,"",115.9,90.2,69.9,.148,.295,.620,55.6,48.5,5.7,0.0,.615,14.4,19.2,.098,.459,16.8,10.7,.367
11,2020-12-28,@,Indiana State,REG (Conf),W,73,66,"",108.1,97.8,67.5,.528,.302,.551,51.9,44.0,11.9,0.0,.509,12.0,28.6,.358,.560,23.4,20.8,.200
12,2021-01-03,"",Southern Illinois,REG (Conf),W,73,55,"",114.6,86.3,63.7,.182,.364,.611,52.8,42.9,12.6,11.4,.591,10.5,12.0,.145,.469,18.0,10.7,.184
13,2021-01-04,"",Southern Illinois,REG (Conf),W,86,55,"",129.4,82.8,66.4,.175,.263,.696,68.5,38.2,12.0,18.5,.675,21.6,54.5,.158,.433,19.1,21.9,.192
14,2021-01-26,@,Missouri State,REG (Conf),W,68,61,"",92.8,83.2,73.3,.309,.206,.436,44.4,24.0,10.9,9.3,.397,6.0,20.0,.206,.424,19.6,25.0,.186
15,2021-01-27,@,Missouri State,REG (Conf),W,78,73,"",109.6,102.5,71.2,.194,.224,.533,55.1,31.3,4.2,2.6,.507,12.0,35.3,.149,.402,11.2,25.7,.500
16,2021-01-31,"",Illinois State,REG (Conf),W,78,76,OT,98.6,96.1,70.3,.132,.395,.483,52.1,42.4,13.9,2.6,.461,12.9,33.3,.105,.517,20.8,25.0,.254
17,2021-02-01,"",Illinois State,REG (Conf),W,95,60,"",133.9,84.6,70.9,.206,.456,.636,54.0,71.4,16.9,12.1,.610,8.6,34.5,.176,.450,18.7,29.4,.100
18,2021-02-06,@,Valparaiso,REG (Conf),W,80,77,"",115.7,111.4,69.2,.258,.210,.575,64.3,39.4,2.9,8.3,.573,13.6,38.7,.145,.538,6.6,15.4,.108
19,2021-02-07,@,Valparaiso,REG (Conf),L,57,74,"",76.1,98.8,74.9,.270,.238,.401,47.9,43.5,6.7,11.1,.381,16.5,17.1,.143,.490,13.4,10.0,.471
20,2021-02-10,"",Northern Iowa,REG (Conf),W,80,59,"",116.5,85.9,68.7,.254,.254,.567,65.1,46.7,8.7,11.1,.524,12.4,37.9,.222,.455,13.9,11.8,.143
21,2021-02-13,"",Loyola Chicago,REG (Conf),L,54,81,"",89.2,133.8,60.6,.212,.250,.472,40.8,33.3,9.9,8.3,.433,10.9,18.5,.173,.691,14.5,31.8,.340
22,2021-02-14,"",Loyola Chicago,REG (Conf),W,51,50,OT,75.9,74.4,59.7,.246,.333,.401,37.9,26.3,16.4,13.2,.360,8.6,14.3,.175,.386,23.5,35.5,.105
23,2021-02-17,@,Northern Iowa,REG (Conf),W,77,69,"",125.7,112.7,61.3,.217,.417,.582,47.8,63.3,9.8,5.4,.575,4.3,32.3,.133,.492,10.3,38.9,.061
24,2021-02-21,"",Evansville,REG (Conf),W,85,71,"",138.7,115.9,61.3,.192,.404,.749,50.0,47.1,9.8,5.4,.760,12.4,21.1,.115,.560,11.5,29.6,.103
25,2021-02-22,"",Evansville,REG (Conf),W,74,63,"",123.1,104.8,60.1,.426,.383,.655,63.0,40.0,1.7,26.7,.617,17.5,33.3,.340,.519,9.4,13.3,.151
26,2021-02-26,@,Bradley,REG (Conf),W,80,71,"",122.8,109.0,65.2,.345,.400,.625,50.0,62.1,6.1,5.7,.636,8.6,20.7,.182,.541,12.1,24.2,.082
27,2021-02-27,@,Bradley,REG (Conf),L,61,67,"",95.6,105.0,63.8,.440,.340,.505,50.0,28.6,9.4,8.6,.440,16.6,25.0,.340,.474,11.1,29.4,.228
28,2021-03-06,N,Missouri State,CTOURN,W,71,69,"",109.4,106.3,64.9,.231,.246,.492,43.3,25.0,7.7,4.4,.454,2.7,22.2,.185,.508,12.2,32.3,.153
29,2021-03-07,N,Loyola Chicago,CTOURN,L,65,75,"",109.4,126.2,59.4,.218,.291,.535,44.0,45.8,10.1,0.0,.500,9.0,22.6,.182,.705,19.0,21.1,.295
