Gtm,Date,Location,Opp_name,Type,Rslt,Tm,Opp_score,OT,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,eFG%_opp,TOV%_opp,ORB%_opp,FT/FGA_opp
1,2020-12-02,"",North Florida,REG (Non-Conf),W,86,58,"",119.7,80.7,71.8,.300,.343,.538,62.1,59.4,16.7,26.1,.507,11.1,50.0,.214,.490,29.2,25.0,.180
2,2020-12-09,"",Indiana,REG (Non-Conf),W,69,67,OT,96.3,93.5,63.7,.304,.290,.437,50.6,52.0,11.2,9.5,.420,10.2,37.2,.159,.404,16.6,34.2,.368
3,2020-12-12,"",Florida,REG (Non-Conf),W,83,71,"",105.2,90.0,78.9,.556,.296,.608,47.3,65.4,10.1,11.1,.556,19.0,19.2,.426,.508,23.1,27.6,.186
4,2020-12-15,"",Georgia Tech,REG (Conf),W,74,61,"",113.2,93.3,65.4,.314,.333,.631,59.2,48.1,9.2,3.2,.608,18.2,30.4,.235,.480,17.1,15.4,.235
5,2020-12-19,"",UCF,REG (Non-Conf),L,74,86,"",105.9,123.1,69.9,.510,.451,.584,45.3,45.8,7.2,8.6,.569,18.1,28.6,.314,.583,16.4,36.0,.426
6,2020-12-21,"",Gardner-Webb,REG (Non-Conf),W,72,59,"",94.3,77.3,76.4,.525,.541,.472,65.3,52.4,7.9,32.0,.393,17.4,42.1,.393,.388,17.4,10.8,.241
7,2020-12-29,@,Clemson,REG (Conf),L,67,77,"",89.4,102.7,75.0,.145,.516,.505,42.5,50.0,10.7,15.4,.492,19.4,18.9,.097,.421,13.2,37.2,.381
8,2021-01-13,"",NC State,REG (Conf),W,105,73,"",151.1,105.0,69.5,.190,.310,.830,64.6,58.5,8.6,18.9,.810,14.8,37.5,.190,.532,14.1,21.9,.095
9,2021-01-16,"",North Carolina,REG (Conf),W,82,75,"",112.0,102.4,73.2,.540,.320,.653,49.0,50.0,13.7,15.8,.560,21.3,25.0,.520,.516,16.9,35.5,.177
10,2021-01-18,@,Louisville,REG (Conf),W,78,65,"",118.8,99.0,65.7,.161,.339,.584,51.5,61.3,12.2,12.2,.573,14.1,35.5,.113,.474,15.5,35.1,.193
11,2021-01-23,"",Clemson,REG (Conf),W,80,61,"",109.6,83.6,73.0,.233,.467,.600,54.0,58.6,8.2,26.9,.583,17.4,25.0,.167,.348,14.9,22.9,.393
12,2021-01-27,"",Miami (FL),REG (Conf),W,81,59,"",117.6,85.7,68.9,.226,.290,.590,67.2,34.4,7.3,12.9,.565,17.9,50.0,.177,.454,17.3,17.6,.185
13,2021-01-30,@,Georgia Tech,REG (Conf),L,65,76,"",87.4,102.2,74.4,.411,.250,.486,57.4,62.5,12.1,9.1,.455,23.9,42.4,.250,.500,15.9,25.0,.333
14,2021-02-13,"",Wake Forest,REG (Conf),W,92,85,OT,119.9,110.7,68.2,.593,.424,.608,54.5,63.0,9.1,21.2,.559,13.7,35.3,.441,.558,16.3,25.0,.300
15,2021-02-15,"",Virginia,REG (Conf),W,81,60,"",129.7,96.1,62.4,.224,.414,.631,56.6,58.6,14.4,8.3,.612,7.2,24.0,.172,.564,19.8,14.3,.149
16,2021-02-20,@,Pittsburgh,REG (Conf),W,79,72,"",107.3,97.8,73.6,.500,.241,.550,56.8,53.8,4.1,11.8,.483,13.3,34.4,.397,.412,9.3,26.2,.235
17,2021-02-24,@,Miami (FL),REG (Conf),W,88,71,"",122.8,99.1,71.7,.101,.362,.608,56.8,56.8,7.0,17.0,.601,13.2,41.9,.072,.400,9.2,32.6,.214
18,2021-02-27,@,North Carolina,REG (Conf),L,70,78,"",89.9,100.2,77.9,.299,.254,.458,45.7,30.8,20.5,13.5,.425,18.2,43.2,.194,.425,22.0,51.5,.450
19,2021-03-03,"",Boston College,REG (Conf),W,93,64,"",118.3,81.4,78.6,.206,.429,.672,51.6,54.3,11.4,27.6,.659,19.7,27.6,.159,.467,23.6,28.6,.133
20,2021-03-06,@,Notre Dame,REG (Conf),L,73,83,"",95.6,108.7,76.3,.313,.375,.497,47.9,30.8,10.5,3.7,.453,16.0,25.6,.234,.509,15.6,25.0,.519
21,2021-03-12,N,North Carolina,CTOURN,W,69,66,"",94.3,90.2,73.2,.415,.245,.544,47.9,45.8,10.9,14.0,.500,22.1,30.0,.302,.382,12.1,39.5,.206
22,2021-03-13,N,Georgia Tech,CTOURN,L,75,80,"",108.0,115.1,69.5,.280,.300,.662,60.7,42.9,1.4,12.8,.640,29.8,54.5,.220,.476,8.5,35.3,.339
