Gtm,Date,Location,Opp_name,Type,Rslt,Tm,Opp_score,OT,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,eFG%_opp,TOV%_opp,ORB%_opp,FT/FGA_opp
1,2021-11-09,"",Mercer,REG (Non-Conf),W,74,61,"",107.0,88.2,69.2,.400,.382,.565,63.5,50.0,17.4,10.0,.527,18.6,38.5,.291,.578,24.0,11.5,.039
2,2021-11-13,"",Gardner-Webb,REG (Non-Conf),W,86,69,"",120.0,96.3,71.7,.221,.397,.572,59.7,71.9,8.4,22.7,.566,10.7,33.3,.132,.575,20.5,10.3,.151
3,2021-11-17,"",Northern Iowa,REG (Non-Conf),W,93,80,"",119.8,103.1,77.6,.246,.348,.603,51.5,60.0,9.0,20.0,.580,6.1,18.2,.188,.530,14.1,17.1,.134
4,2021-11-22,N,Kansas State,REG (Non-Conf),W,72,64,"",97.2,86.4,74.0,.586,.379,.486,50.0,42.9,9.5,8.1,.388,13.9,28.9,.466,.398,16.7,28.9,.288
5,2021-11-23,N,Cincinnati,REG (Non-Conf),W,73,67,"",98.4,90.3,74.2,.485,.258,.450,56.8,52.2,8.1,8.6,.371,11.9,39.5,.364,.475,17.7,19.4,.186
6,2021-11-28,"",Pennsylvania,REG (Non-Conf),W,76,60,"",101.2,79.9,75.1,.254,.270,.538,61.8,53.1,10.7,10.0,.532,17.5,31.3,.143,.430,17.8,11.1,.193
7,2021-12-01,"",Central Arkansas,REG (Non-Conf),W,97,60,"",114.5,70.8,84.7,.356,.247,.568,62.5,55.0,18.9,14.7,.575,12.3,32.4,.178,.482,27.9,5.7,.127
8,2021-12-04,"",Little Rock,REG (Non-Conf),W,93,78,"",128.9,108.1,72.1,.433,.333,.643,49.2,58.8,11.1,5.7,.617,10.0,26.7,.317,.554,16.3,27.6,.286
9,2021-12-07,"",Charlotte,REG (Non-Conf),W,86,66,"",118.8,91.2,72.4,.313,.203,.585,63.2,41.2,12.4,9.4,.555,15.0,39.3,.234,.500,16.4,13.8,.179
10,2021-12-11,N,Oklahoma,REG (Non-Conf),L,66,88,"",91.0,121.4,72.5,.295,.393,.474,42.6,47.6,8.3,10.3,.402,14.7,21.1,.279,.676,19.6,21.7,.373
11,2021-12-18,N,Hofstra,REG (Non-Conf),L,81,89,"",100.6,110.5,80.6,.200,.477,.569,44.3,58.6,8.7,11.6,.538,17.4,13.5,.169,.531,12.7,21.2,.308
12,2021-12-21,"",Elon,REG (Non-Conf),W,81,55,"",121.0,82.2,67.0,.729,.458,.627,59.4,63.6,7.5,30.3,.542,16.7,33.3,.604,.424,13.6,21.6,.085
13,2021-12-29,@,Mississippi State,REG (Conf),L,68,81,"",94.5,112.5,72.0,.237,.458,.518,41.0,60.0,6.9,9.5,.492,19.6,24.1,.169,.500,13.2,43.8,.373
14,2022-01-04,"",Vanderbilt,REG (Conf),L,74,75,"",99.6,100.9,74.3,.519,.407,.550,45.8,56.0,14.8,14.8,.519,17.2,21.9,.333,.538,20.9,25.9,.365
